,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.04,136,49.4,0.099,0,20.729,1.74,R
1,0.06,76,49.674,0.096,0,22.078000000000003,0.012,R
2,0.08,14,50.358000000000004,0.096,0,28.872,0.0,R
3,0.1,14,50.303000000000004,0.099,0,29.769000000000002,0.0,R
4,0.12,30,50.187,0.10099999999999999,0,26.686999999999998,0.0,R
5,0.14,67,49.693000000000005,0.096,0,24.434,0.0,R
6,0.16,64,50.126000000000005,0.099,0,29.866999999999997,0.0,R
7,0.18,37,50.364,0.095,0,30.538,0.0,R
8,0.2,50,50.309,0.095,0,27.627,0.0,R
9,0.22,68,50.071000000000005,0.099,0,27.413,0.0,R
10,0.24,74,49.998000000000005,0.096,0,25.276999999999997,0.0,R
11,0.26,89,49.748000000000005,0.095,0,23.97,0.0,R
12,0.28,86,49.851000000000006,0.095,0,22.566,0.0,R
13,0.3,77,49.906000000000006,0.095,0,21.016,0.0,R
14,0.32,61,49.595,0.099,0,21.186999999999998,0.0,R
15,0.34,54,49.668,0.10800000000000001,0,21.303,0.0,R
16,0.36,62,49.967,0.13699999999999998,0,21.741999999999997,0.0,R
17,0.38,59,50.071000000000005,0.195,0,20.881999999999998,0.0,R
18,0.4,54,50.096000000000004,0.209,0,20.925,0.0,R
19,0.42,52,50.144,0.249,0,21.303,0.0,R
20,0.44,53,50.15,0.284,0,21.309,0.0,R
21,0.46,50,50.218,0.284,0,21.125999999999998,0.0,R
22,0.48,52,50.163000000000004,0.256,0,21.498,0.0,R
23,0.5,55,50.102,0.215,0,21.285,0.0,A
24,0.52,54,50.144,0.20800000000000002,0,21.608,0.0,A
25,0.54,44,50.297,0.209,0,21.95,0.0,A
26,0.56,38,50.315,0.237,0,22.682,0.0,A
27,0.58,36,50.333999999999996,0.27899999999999997,0,22.798000000000002,0.0,A
28,0.6,31,50.346000000000004,0.298,0,21.608,0.0,A
29,0.62,32,50.327,0.256,0,21.456,0.0,A
30,0.64,33,50.297,0.20800000000000002,0,21.95,0.0,A
31,0.66,37,50.211999999999996,0.215,0,23.018,0.0,A
32,0.68,23,50.401,0.215,0,20.516,0.0,A
33,0.7,39,49.876000000000005,0.267,0,22.951,0.0,A
34,0.72,41,49.809,0.262,0,23.701999999999998,0.0,A
35,0.74,42,49.79600000000001,0.21100000000000002,0,23.793000000000003,0.0,A
36,0.76,46,49.723,0.198,0,22.927,0.0,A
37,0.78,41,49.79,0.171,0,21.858,0.0,A
38,0.8,46,49.693000000000005,0.185,0,22.103,0.0,A
39,0.82,44,49.748000000000005,0.20600000000000002,0,21.675,0.0,A
40,0.84,39,49.809,0.23199999999999998,0,21.430999999999997,0.0,A
41,0.86,42,49.754,0.272,0,21.565,0.0,A
42,0.88,116,51.486999999999995,0.247,0,23.421,0.0,A
43,0.9,113,51.773999999999994,0.237,0,23.519000000000002,0.0,A
44,0.92,103,51.718999999999994,0.226,0,23.506999999999998,0.0,A
45,0.94,104,51.713,0.215,0,23.750999999999998,0.0,A
46,0.96,103,51.805,0.214,0,23.775,0.0,A
47,0.98,105,51.805,0.221,0,23.482,0.0,A
48,1.0,119,51.56,0.22399999999999998,0,23.183000000000003,0.0,A
49,1.02,132,51.408,0.22399999999999998,0,22.31,0.0,A
50,1.04,135,51.402,0.221,0,21.712,0.0,A
51,1.06,124,51.457,0.215,0,21.193,0.0,A
52,1.08,123,51.457,0.217,0,21.131999999999998,0.0,A
53,1.1,124,51.506,0.22899999999999998,0,21.028000000000002,0.0,A
54,1.12,114,51.608999999999995,0.256,0,21.803,0.0,A
55,1.14,104,51.683,0.278,0,22.176,0.0,A
56,1.16,98,51.718999999999994,0.284,0,24.752,0.0,A
57,1.18,105,51.676,0.282,0,25.886999999999997,0.0,A
58,1.2,105,51.731,0.287,0,24.366999999999997,0.0,A
59,1.22,105,51.646,0.27,0,21.523000000000003,0.0,A
60,1.24,108,51.646,0.284,0,21.224,0.0,A
