,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,8,2.1180000000000003,5.109,0,11.512,72.18,AM
1,0.04,395,2.4290000000000003,5.0969999999999995,0,33.01,72.253,AM
2,0.06,359,2.5639999999999996,5.115,0,32.949,72.192,AM
3,0.08,388,2.57,5.109,0,32.919000000000004,72.058,AM
4,0.1,405,2.594,5.115,0,32.98,72.192,AM
5,0.12,382,2.655,5.109,0,33.004,73.095,AM
6,0.14,355,2.79,5.103,0,32.992,74.26100000000001,AM
7,0.16,465,2.887,5.103,0,33.053000000000004,73.956,AM
8,0.18,392,2.887,5.103,0,33.773,75.983,AM
9,0.2,358,2.826,5.103,0,33.975,79.108,AM
10,0.22,321,2.7039999999999997,5.109,0,34.03,81.275,AM
11,0.24,375,2.57,5.103,0,34.292,83.027,AM
12,0.26,372,2.5639999999999996,5.0969999999999995,0,34.445,84.363,AM
13,0.28,414,2.582,5.103,0,34.457,84.07,AM
14,0.3,382,2.5639999999999996,5.103,0,34.408,83.478,AM
15,0.32,388,2.576,5.103,0,34.121,83.03299999999999,AM
16,0.34,345,2.551,5.115,0,33.969,84.27799999999999,AM
17,0.36,454,2.576,5.103,0,33.760999999999996,83.06299999999999,AM
18,0.38,398,2.594,5.109,0,33.529,82.89200000000001,AM
19,0.4,329,2.582,5.109,0,33.431999999999995,81.51899999999999,AM
20,0.42,485,2.6,5.0969999999999995,0,33.157,81.28699999999999,AM
21,0.44,395,2.6060000000000003,5.115,0,32.888000000000005,80.377,AM
22,0.46,312,2.594,5.109,0,30.038,78.937,AM
23,0.48,392,2.5639999999999996,5.127000000000001,0,29.555999999999997,79.383,AM
24,0.5,293,2.49,5.127000000000001,0,29.47,78.876,AM
25,0.52,299,2.271,5.103,0,28.480999999999998,78.528,AM
26,0.54,281,2.112,5.115,0,28.396,77.411,AM
27,0.56,260,2.075,5.115,0,28.535999999999998,76.953,AM
28,0.58,257,2.057,5.109,0,28.555,75.702,AM
29,0.6,291,2.0269999999999997,5.109,0,28.566999999999997,75.171,AM
30,0.62,269,1.996,5.115,0,28.456999999999997,75.72,AM
31,0.64,268,1.911,5.109,0,29.031,74.994,AM
32,0.66,225,1.77,5.127000000000001,0,29.128,74.866,AM
33,0.68,196,1.7209999999999999,5.109,0,29.153000000000002,75.854,AM
34,0.7,253,1.6909999999999998,5.109,0,29.531,75.964,AM
35,0.72,289,1.63,5.109,0,29.495,75.098,AM
36,0.74,253,1.6480000000000001,5.109,0,29.495,75.415,AM
37,0.76,345,1.6480000000000001,5.109,0,29.464000000000002,75.29899999999999,AM
38,0.78,244,1.636,5.127000000000001,0,29.36,75.372,AM
39,0.8,345,1.6540000000000001,5.109,0,29.379,74.756,AM
40,0.82,282,1.618,5.103,0,29.073,74.908,AM
41,0.84,302,1.605,5.109,0,29.116,75.036,AM
42,0.86,247,1.605,5.127000000000001,0,29.006,75.085,AM
43,0.88,341,1.605,5.103,0,29.488000000000003,75.128,AM
44,0.9,259,1.618,5.109,0,29.464000000000002,75.098,AM
45,0.92,274,1.605,5.109,0,29.495,74.792,AM
46,0.94,218,1.599,5.109,0,29.189,75.32300000000001,AM
47,0.96,203,1.599,5.115,0,28.596999999999998,75.488,AM
48,0.98,241,1.599,5.115,0,29.025,76.48899999999999,AM
49,1.0,185,1.599,5.115,0,29.086,76.038,AM
50,1.02,360,1.599,5.127000000000001,0,29.066999999999997,75.65899999999999,AM
51,1.04,188,1.599,5.115,0,29.061,76.282,AM
52,1.06,237,1.5930000000000002,5.109,0,29.073,76.12899999999999,AM
53,1.08,386,1.599,5.109,0,28.793000000000003,76.044,AM
54,1.1,218,1.587,5.109,0,28.976,75.25,AM
55,1.12,296,1.5630000000000002,5.115,0,28.963,75.433,MC
56,1.14,252,1.557,5.109,0,29.269000000000002,75.946,MC
57,1.16,208,1.569,5.103,0,29.525,75.189,MC
