,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,9,1.087,5.1579999999999995,0,1.392,12.360999999999999,MC
1,0.04,398,1.141,5.14,0,39.584,29.33,MC
2,0.06,415,1.2819999999999998,5.1579999999999995,0,38.657,31.13,MC
3,0.08,406,1.4769999999999999,5.127000000000001,0,39.908,33.205999999999996,MC
4,0.1,409,1.587,5.132999999999999,0,41.245,33.883,MC
5,0.12,448,1.715,5.1579999999999995,0,40.445,34.414,MC
6,0.14,380,1.911,5.132999999999999,0,40.36,34.646,MC
7,0.16,462,2.045,5.115,0,40.622,35.959,MC
8,0.18,423,2.075,5.127000000000001,0,39.896,36.306999999999995,MC
9,0.2,387,2.149,5.17,0,39.743,36.215,MC
10,0.22,343,2.289,5.14,0,40.085,37.241,MC
11,0.24,397,2.387,5.132999999999999,0,40.909,38.699,MC
12,0.26,545,2.478,5.14,0,37.729,36.88,MC
13,0.28,302,2.533,5.127000000000001,0,35.623000000000005,36.258,MC
14,0.3,212,2.326,5.132999999999999,0,32.54,41.129,MC
15,0.32,145,2.02,5.132999999999999,0,28.39,42.428999999999995,MC
16,0.34,57,1.5319999999999998,5.132999999999999,0,26.54,41.214,MC
17,0.36,35,1.111,5.14,0,26.674,40.445,MC
18,0.38,43,0.995,5.127000000000001,0,26.674,40.811,MC
19,0.4,27,0.812,5.132999999999999,0,26.741999999999997,39.084,MC
20,0.42,27,0.6709999999999999,5.127000000000001,0,26.778000000000002,39.493,MC
21,0.44,28,0.629,5.132999999999999,0,26.815,40.39,MC
22,0.46,29,0.629,5.146,0,27.070999999999998,41.983000000000004,MC
23,0.48,48,0.629,5.146,0,30.599,73.681,MC
24,0.5,32,0.629,5.146,0,31.588,78.54,MC
25,0.52,65,0.629,5.132999999999999,0,31.283,82.251,MC
26,0.54,89,0.629,5.164,0,30.679000000000002,78.66199999999999,MC
27,0.56,120,0.647,5.146,0,30.844,80.793,MC
28,0.58,93,0.647,5.146,0,30.905,80.39,MC
29,0.6,100,0.653,5.132999999999999,0,31.105999999999998,78.113,MC
30,0.62,85,0.659,5.164,0,30.77,79.785,MC
31,0.64,96,0.6709999999999999,5.132999999999999,0,30.654,78.009,MC
32,0.66,137,0.7509999999999999,5.14,0,30.642,76.227,MC
33,0.68,109,0.72,5.14,0,30.569000000000003,74.139,MC
34,0.7,137,0.769,5.146,0,30.404,74.96300000000001,MC
35,0.72,130,0.812,5.115,0,29.971,72.839,MC
36,0.74,101,0.861,5.127000000000001,0,29.983,72.863,MC
37,0.76,160,0.903,5.14,0,30.276,74.73100000000001,MC
38,0.78,94,0.9279999999999999,5.14,0,30.435,77.045,MC
39,0.8,98,0.9520000000000001,5.14,0,30.496,78.565,MC
40,0.82,116,0.9159999999999999,5.127000000000001,0,30.612,81.28699999999999,MC
41,0.84,97,0.922,5.14,0,30.563000000000002,82.404,MC
42,0.86,166,0.958,5.14,0,30.441,81.855,MC
43,0.88,129,0.9520000000000001,5.146,0,30.428,82.34899999999999,MC
44,0.9,112,0.946,5.14,0,30.319000000000003,81.824,MC
45,0.92,187,0.9640000000000001,5.14,0,30.044,77.411,MC
46,0.94,139,0.9890000000000001,5.1579999999999995,0,29.805999999999997,73.846,MC
47,0.96,165,0.9640000000000001,5.146,0,30.05,75.586,MC
48,0.98,165,0.995,5.14,0,29.94,71.57600000000001,MC
49,1.0,141,1.013,5.146,0,29.763,70.69,MC
50,1.02,169,1.044,5.127000000000001,0,29.701999999999998,70.178,MC
51,1.04,178,1.025,5.1579999999999995,0,29.739,70.788,MC
52,1.06,157,1.038,5.132999999999999,0,29.701999999999998,69.689,MC
53,1.08,149,1.05,5.127000000000001,0,29.641,69.097,MC
54,1.1,156,1.044,5.127000000000001,0,29.623,69.311,MC
55,1.12,172,1.056,5.127000000000001,0,29.574,70.581,MC
56,1.14,152,1.056,5.115,0,29.561999999999998,70.37899999999999,MC
57,1.16,213,1.08,5.132999999999999,0,29.555999999999997,69.86,MC
58,1.18,175,1.05,5.14,0,29.531,70.3,MC
59,1.2,199,1.074,5.164,0,29.574,71.46600000000001,MC
60,1.22,170,1.08,5.14,0,29.47,70.092,MC
61,1.24,53,1.135,5.115,0,10.328,67.16199999999999,MC
62,1.26,7,1.685,5.132999999999999,0,22.340999999999998,62.059,MC
63,1.28,176,1.3430000000000002,5.132999999999999,0,28.414,60.74100000000001,MC
64,1.3,203,1.294,5.127000000000001,0,28.524,60.582,MC
65,1.32,200,1.2819999999999998,5.14,0,28.548000000000002,61.961999999999996,MC
66,1.34,171,1.227,5.132999999999999,0,28.585,62.963,MC
67,1.36,177,1.227,5.132999999999999,0,28.555,63.335,MC
68,1.38,150,1.196,5.14,0,28.566999999999997,62.486999999999995,MC
69,1.4,175,1.209,5.14,0,28.396,63.28,MC
70,1.42,160,1.166,5.14,0,28.121,62.981,MC
71,1.44,191,1.178,5.127000000000001,0,28.67,64.525,MC
72,1.46,154,1.16,5.14,0,28.677,64.77,MC
73,1.48,200,1.166,5.1579999999999995,0,28.719,66.149,MC
74,1.5,131,1.148,5.1579999999999995,0,28.901999999999997,79.749,MC
75,1.52,124,1.129,5.14,0,29.066999999999997,95.271,MC
76,1.54,139,1.117,5.146,0,29.104,97.23700000000001,MC
77,1.56,118,1.111,5.132999999999999,0,29.092,99.99600000000001,MC
78,1.58,118,1.105,5.127000000000001,0,29.165,100.14200000000001,MC
79,1.6,136,1.099,5.127000000000001,0,29.269000000000002,100.667,MC
80,1.62,101,1.08,5.132999999999999,0,29.195,100.515,MC
81,1.64,101,1.068,5.146,0,29.464000000000002,97.54799999999999,MC
82,1.66,45,1.025,5.146,0,30.081,96.98,MC
83,1.68,31,0.922,5.14,0,30.673000000000002,97.664,MC
84,1.7,89,0.83,5.14,0,29.849,76.208,MC
85,1.72,67,0.83,5.127000000000001,0,29.788,70.208,MC
86,1.74,70,0.812,5.132999999999999,0,30.154,71.60600000000001,MC
87,1.76,63,0.775,5.146,0,30.093000000000004,79.169,MC
88,1.78,78,0.745,5.146,0,30.006999999999998,79.846,MC
89,1.8,68,0.769,5.14,0,29.945999999999998,75.854,MC
90,1.82,44,0.732,5.132999999999999,0,30.276,73.95,MC
91,1.84,52,0.69,5.146,0,30.281999999999996,73.156,MC
92,1.86,41,0.684,5.132999999999999,0,30.459,73.132,MC
93,1.88,37,0.653,5.132999999999999,0,30.428,72.92399999999999,MC
94,1.9,42,0.653,5.127000000000001,0,30.435,74.17,MC
95,1.92,43,0.647,5.14,0,30.398000000000003,76.501,MC
96,1.94,50,0.647,5.127000000000001,0,30.233,77.777,MC
97,1.96,48,0.6409999999999999,5.132999999999999,0,30.226999999999997,75.555,MC
98,1.98,44,0.647,5.14,0,30.135,74.505,MC
99,2.0,45,0.647,5.132999999999999,0,30.215,74.743,MC
100,2.02,47,0.653,5.132999999999999,0,30.281999999999996,75.543,MC
101,2.04,43,0.653,5.14,0,30.366999999999997,76.703,MC
102,2.06,58,0.647,5.132999999999999,0,30.068,78.809,MC
103,2.08,53,0.647,5.132999999999999,0,30.16,80.646,MC
104,2.1,33,0.6409999999999999,5.132999999999999,0,30.281999999999996,74.652,MC
105,2.12,52,0.647,5.127000000000001,0,30.337,73.541,MC
106,2.14,65,0.6409999999999999,5.14,0,30.05,74.957,MC
107,2.16,71,0.647,5.1579999999999995,0,29.739,73.51,MC
108,2.18,111,0.6709999999999999,5.127000000000001,0,29.403000000000002,69.561,MC
109,2.2,69,0.69,5.132999999999999,0,29.604,70.123,MC
110,2.22,73,0.708,5.14,0,29.794,73.468,MC
111,2.24,53,0.6779999999999999,5.14,0,30.355,72.186,MC
112,2.26,34,0.684,5.14,0,30.129,72.583,MC
113,2.28,36,0.653,5.132999999999999,0,30.258000000000003,71.27,MC
114,2.3,28,0.647,5.132999999999999,0,30.325,69.207,MC
115,2.32,45,0.629,5.14,0,30.226999999999997,69.421,MC
116,2.34,63,0.629,5.132999999999999,0,30.203000000000003,68.255,MC
117,2.36,34,0.6409999999999999,5.14,0,30.233,66.936,MC
118,2.38,53,0.647,5.127000000000001,0,30.006999999999998,67.28399999999999,MC
119,2.4,57,0.653,5.132999999999999,0,29.916,66.43,MC
120,2.42,45,0.659,5.14,0,29.976999999999997,65.935,MC
121,2.44,69,0.653,5.14,0,29.958000000000002,68.22399999999999,MC
122,2.46,32,0.653,5.132999999999999,0,30.129,68.292,MC
123,2.48,42,0.647,5.14,0,30.215,67.699,MC
124,2.5,47,0.6409999999999999,5.14,0,30.031999999999996,67.791,MC
125,2.52,47,0.6409999999999999,5.14,0,29.951999999999998,67.541,MC
126,2.54,1,1.044,5.132999999999999,0,27.517,63.744,MC
127,2.56,19,0.6409999999999999,5.14,0,30.226999999999997,67.669,MC
128,2.58,21,0.6409999999999999,5.14,0,30.258000000000003,63.268,MC
129,2.6,19,0.629,5.14,0,30.281999999999996,63.665,MC
130,2.62,21,0.629,5.127000000000001,0,30.276,65.301,MC
131,2.64,19,0.629,5.127000000000001,0,30.281999999999996,68.676,MC
132,2.66,19,0.629,5.132999999999999,0,30.203000000000003,68.652,MC
133,2.68,24,0.629,5.14,0,30.111,68.707,MC
134,2.7,19,0.623,5.132999999999999,0,30.221,63.714,MC
135,2.72,14,0.623,5.127000000000001,0,30.233,66.21600000000001,MC
136,2.74,23,0.629,5.132999999999999,0,30.142,70.416,MC
137,2.76,21,0.623,5.132999999999999,0,30.111,67.48,MC
138,2.78,25,0.629,5.127000000000001,0,30.061999999999998,67.358,MC
139,2.8,22,0.629,5.14,0,30.245,65.008,MC
140,2.82,18,0.623,5.14,0,30.258000000000003,67.419,MC
141,2.84,18,0.623,5.132999999999999,0,30.184,68.346,MC
142,2.86,22,0.623,5.132999999999999,0,30.184,67.175,MC
143,2.88,19,0.623,5.132999999999999,0,30.135,66.851,MC
144,2.9,27,0.629,5.132999999999999,0,30.044,64.324,MC
145,2.92,25,0.623,5.127000000000001,0,30.123,63.378,MC
146,2.94,18,0.629,5.132999999999999,0,30.105,64.77600000000001,MC
147,2.96,28,0.623,5.14,0,30.000999999999998,65.453,MC
148,2.98,26,0.623,5.132999999999999,0,29.958000000000002,64.44,MC
149,3.0,18,0.629,5.14,0,30.038,65.179,MC
150,3.02,29,0.629,5.132999999999999,0,29.983,65.166,MC
151,3.04,16,0.629,5.127000000000001,0,30.068,64.922,MC
152,3.06,28,0.623,5.115,0,30.006999999999998,67.16199999999999,MC
153,3.08,38,0.629,5.127000000000001,0,29.945999999999998,66.42399999999999,MC
154,3.1,22,0.629,5.127000000000001,0,29.976999999999997,62.352,MC
155,3.12,25,0.629,5.127000000000001,0,30.006999999999998,63.946000000000005,MC
156,3.14,18,0.629,5.127000000000001,0,30.019000000000002,63.793,MC
157,3.16,19,0.623,5.127000000000001,0,30.081,60.643,MC
158,3.18,18,0.623,5.132999999999999,0,30.05,62.511,MC
159,3.2,19,0.629,5.14,0,30.044,61.65,MC
160,3.22,17,0.629,5.132999999999999,0,30.074,61.687,MC
161,3.24,19,0.629,5.132999999999999,0,30.031999999999996,63.163999999999994,MC
162,3.26,19,0.623,5.14,0,29.989,64.367,MC
163,3.28,28,0.623,5.146,0,30.000999999999998,64.678,MC
164,3.3,16,0.629,5.14,0,30.000999999999998,63.817,MC
165,3.32,17,0.623,5.14,0,30.038,62.505,MC
166,3.34,18,0.623,5.132999999999999,0,30.038,60.845,MC
167,3.36,25,0.623,5.127000000000001,0,29.951999999999998,64.794,MC
168,3.38,26,0.629,5.132999999999999,0,29.989,63.225,MC
169,3.4,28,0.623,5.132999999999999,0,29.958000000000002,63.023999999999994,MC
170,3.42,26,0.629,5.127000000000001,0,29.836,62.566,MC
171,3.44,32,0.629,5.127000000000001,0,29.897,62.474,MC
172,3.46,26,0.629,5.14,0,29.91,61.479,MC
173,3.48,26,0.629,5.132999999999999,0,29.916,59.917,MC
174,3.5,25,0.629,5.132999999999999,0,29.983,59.545,MC
175,3.52,24,0.623,5.132999999999999,0,29.94,60.448,MC
176,3.54,20,0.629,5.132999999999999,0,30.006999999999998,58.769,MC
177,3.56,17,0.629,5.146,0,30.061999999999998,59.276,MC
178,3.58,21,0.629,5.132999999999999,0,29.958000000000002,61.638000000000005,MC
179,3.6,26,0.623,5.14,0,29.897,62.12,MC
180,3.62,34,0.629,5.132999999999999,0,29.708000000000002,62.847,MC
181,3.64,29,0.629,5.146,0,29.745,62.333999999999996,MC
182,3.66,50,0.629,5.164,0,29.756999999999998,62.663999999999994,MC
183,3.68,23,0.629,5.146,0,29.805999999999997,59.978,MC
184,3.7,34,0.623,5.14,0,29.794,62.383,MC
185,3.72,40,0.623,5.132999999999999,0,29.695999999999998,62.028999999999996,MC
186,3.74,16,0.629,5.132999999999999,0,29.897,60.417,MC
187,3.76,42,0.629,5.127000000000001,0,29.945999999999998,60.826,MC
188,3.78,24,0.623,5.127000000000001,0,29.879,60.9,MC
189,3.8,39,0.629,5.127000000000001,0,29.695999999999998,60.472,MC
190,3.82,43,0.6409999999999999,5.115,0,29.531,61.174,MC
191,3.84,25,0.629,5.115,0,30.013,60.863,MC
192,3.86,29,0.629,5.132999999999999,0,29.866999999999997,61.333,MC
193,3.88,26,0.629,5.132999999999999,0,29.726,62.358000000000004,MC
194,3.9,39,0.623,5.115,0,29.58,61.486000000000004,MC
195,3.92,52,0.629,5.132999999999999,0,29.403000000000002,60.863,MC
196,3.94,51,0.629,5.127000000000001,0,29.543000000000003,59.532,MC
197,3.96,29,0.629,5.115,0,29.671999999999997,60.619,MC
198,3.98,48,0.629,5.127000000000001,0,29.561999999999998,61.29,MC
199,4.0,0,1.148,5.14,0,30.642,61.961999999999996,MC
200,4.02,21,0.6709999999999999,5.132999999999999,0,32.736,59.258,MC
201,4.04,21,0.653,5.14,0,32.821,60.31399999999999,MC
202,4.06,27,0.647,5.14,0,32.534,61.589,MC
203,4.08,29,0.6409999999999999,5.14,0,32.51,61.211000000000006,MC
204,4.1,20,0.629,5.14,0,32.888000000000005,59.062,MC
205,4.12,24,0.6409999999999999,5.132999999999999,0,32.785,60.582,MC
206,4.14,20,0.629,5.14,0,32.919000000000004,58.891000000000005,MC
207,4.16,17,0.629,5.14,0,32.949,58.891000000000005,MC
208,4.18,19,0.629,5.146,0,32.913000000000004,61.486000000000004,MC
209,4.2,26,0.623,5.1579999999999995,0,32.852,60.906000000000006,MC
210,4.22,22,0.617,5.14,0,32.858000000000004,61.315,MC
211,4.24,21,0.623,5.1579999999999995,0,32.949,61.376000000000005,MC
212,4.26,23,0.623,5.146,0,32.913000000000004,62.365,MC
213,4.28,25,0.623,5.146,0,32.809,63.488,MC
214,4.3,32,0.623,5.146,0,32.736,62.535,MC
215,4.32,15,0.623,5.146,0,32.961999999999996,60.631,MC
216,4.34,10,0.617,5.146,0,33.065,59.166000000000004,MC
217,4.36,22,0.617,5.14,0,32.937,63.756,MC
218,4.38,16,0.623,5.146,0,32.961999999999996,61.479,MC
219,4.4,14,0.617,5.14,0,33.035,61.144,MC
220,4.42,17,0.617,5.1579999999999995,0,32.992,64.98899999999999,MC
221,4.44,17,0.617,5.1579999999999995,0,32.961999999999996,63.097,MC
222,4.46,18,0.617,5.146,0,32.974000000000004,61.18,MC
223,4.48,15,0.617,5.146,0,32.98,61.223,MC
224,4.5,15,0.617,5.1579999999999995,0,32.961999999999996,62.816,MC
225,4.52,18,0.623,5.146,0,32.974000000000004,62.908,MC
226,4.54,24,0.617,5.14,0,32.968,64.898,MC
227,4.56,20,0.623,5.14,0,32.919000000000004,67.388,MC
228,4.58,33,0.623,5.146,0,32.73,67.956,MC
229,4.6,26,0.623,5.1579999999999995,0,32.827,64.959,MC
230,4.62,18,0.623,5.146,0,32.943000000000005,68.26100000000001,MC
231,4.64,25,0.623,5.146,0,32.907,71.038,MC
232,4.66,27,0.623,5.14,0,32.785,72.55199999999999,MC
233,4.68,23,0.629,5.14,0,32.846,69.757,MC
234,4.7,23,0.617,5.14,0,32.943000000000005,69.952,MC
235,4.72,21,0.623,5.146,0,32.846,73.553,MC
236,4.74,27,0.617,5.14,0,32.876,68.688,MC
237,4.76,27,0.623,5.14,0,32.858000000000004,66.393,MC
238,4.78,25,0.623,5.146,0,32.791,64.39699999999999,MC
239,4.8,33,0.623,5.14,0,32.791,60.472,MC
240,4.82,22,0.623,5.14,0,32.87,56.92,MC
241,4.84,27,0.623,5.146,0,32.900999999999996,57.701,MC
242,4.86,18,0.623,5.14,0,32.98,58.275,MC
243,4.88,11,0.623,5.14,0,32.992,61.26,MC
244,4.9,20,0.617,5.146,0,32.98,62.938,MC
245,4.92,23,0.623,5.14,0,32.919000000000004,65.71,MC
246,4.94,30,0.623,5.1579999999999995,0,32.815,63.39,MC
247,4.96,40,0.623,5.146,0,32.687,66.051,MC
248,4.98,17,0.623,5.146,0,32.882,61.693000000000005,MC
249,5.0,20,0.623,5.1579999999999995,0,32.98,63.163999999999994,MC
250,5.02,15,0.617,5.1579999999999995,0,32.968,62.883,MC
251,5.04,12,0.623,5.1579999999999995,0,32.998000000000005,60.74100000000001,MC
252,5.06,12,0.623,5.1579999999999995,0,33.023,60.784,MC
253,5.08,14,0.623,5.146,0,32.968,60.173,MC
254,5.1,13,0.617,5.1579999999999995,0,32.98,61.18,MC
255,5.12,12,0.617,5.14,0,33.004,63.468999999999994,MC
256,5.14,12,0.617,5.1579999999999995,0,33.01,64.88600000000001,MC
257,5.16,13,0.623,5.146,0,32.968,69.543,MC
258,5.18,13,0.623,5.1579999999999995,0,32.974000000000004,67.736,MC
259,5.2,12,0.623,5.14,0,32.974000000000004,65.044,MC
260,5.22,15,0.623,5.146,0,32.974000000000004,63.158,MC
261,5.24,18,0.623,5.14,0,32.992,61.657,MC
262,5.26,14,0.623,5.146,0,32.974000000000004,62.426,MC
263,5.28,12,0.623,5.14,0,32.974000000000004,63.225,MC
264,5.3,13,0.623,5.132999999999999,0,32.98,62.352,MC
265,5.32,18,0.623,5.132999999999999,0,32.974000000000004,62.968999999999994,MC
266,5.34,15,0.623,5.14,0,33.096,62.181000000000004,MC
267,5.36,13,0.623,5.14,0,32.919000000000004,60.20399999999999,MC
268,5.38,14,0.623,5.132999999999999,0,32.943000000000005,61.223,MC
