,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,7.02,87,55.119,0.092,0,0.0,24.88,AM
1,7.04,44,56.676,0.098,0,0.0,35.678000000000004,AM
2,7.06,34,56.865,0.092,0,0.0,37.82,AM
3,7.08,28,56.474,0.092,0,0.0,34.311,AM
4,7.1,23,56.34,0.092,0,0.0,31.82,AM
5,7.12,12,56.145,0.092,0,0.0,26.131,AM
6,7.14,8,55.894,0.092,0,0.0,23.206999999999997,AM
7,7.16,13,56.01,0.092,0,0.0,27.131999999999998,AM
8,7.18,20,56.261,0.092,0,0.0,31.410999999999998,AM
9,7.2,23,56.291000000000004,0.092,0,0.0,31.893,AM
10,7.22,30,56.321999999999996,0.092,0,0.0,31.941999999999997,AM
11,7.24,41,56.346000000000004,0.092,0,0.0,35.006,AM
12,7.26,66,56.45,0.092,0,0.0,37.039,AM
13,7.28,78,56.461999999999996,0.092,0,0.0,37.051,AM
14,7.3,82,56.266999999999996,0.092,0,0.0,34.958,AM
15,7.32,77,56.261,0.098,0,0.0,32.632,AM
16,7.34,80,56.254,0.092,0,0.0,36.63,AM
17,7.36,85,56.157,0.092,0,0.0,38.553000000000004,AM
18,7.38,88,55.882,0.098,0,0.0,37.894,AM
19,7.4,92,55.717,0.092,0,0.0,34.274,AM
20,7.42,103,55.687,0.092,0,0.0,29.098000000000003,AM
21,7.44,93,55.699,0.092,0,0.0,28.206999999999997,AM
22,7.46,101,55.748000000000005,0.092,0,0.0,29.592,AM
23,7.48,107,55.705,0.092,0,0.0,31.660999999999998,AM
24,7.5,40,56.224,0.092,0,0.0,25.075,AM
25,7.52,122,55.375,0.092,0,0.0,23.805999999999997,AM
26,7.54,116,55.223,0.098,0,0.0,23.781,AM
27,7.56,111,55.253,0.092,0,0.0,25.21,AM
28,7.58,109,55.278,0.092,0,0.0,26.125,AM
29,7.6,97,55.62,0.092,0,0.0,29.983,AM
30,7.62,96,55.687,0.092,0,0.0,30.311999999999998,AM
31,7.64,94,55.766000000000005,0.092,0,0.0,32.119,AM
32,7.66,107,55.607,0.092,0,0.0,32.431,AM
