,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,28,54.417,5.2860000000000005,0,20.638,1.6909999999999998,S
1,0.04,32,54.393,5.237,0,21.491999999999997,1.5319999999999998,S
2,0.06,47,54.20399999999999,5.249,0,22.285999999999998,1.453,S
3,0.08,62,54.141999999999996,5.237,0,21.486,1.4469999999999998,S
4,0.1,59,54.155,5.317,0,21.84,1.4340000000000002,S
5,0.12,55,54.173,5.353,0,23.151999999999997,1.41,S
6,0.14,57,54.13,5.359,0,22.706999999999997,1.416,S
7,0.16,45,54.283,5.359,0,22.005,1.41,S
8,0.18,40,55.168,5.39,0,22.53,1.392,S
9,0.2,6,41.123000000000005,5.256,0,16.865,6.385,S
10,0.22,45,53.257,5.377999999999999,0,21.346,1.953,S
11,0.24,57,53.086000000000006,5.377999999999999,0,20.418,1.66,S
12,0.26,55,53.135,5.433,0,18.831,1.544,S
13,0.28,54,53.056000000000004,5.4510000000000005,0,20.54,1.495,S
14,0.3,71,52.909,5.475,0,19.612000000000002,1.453,S
15,0.32,67,52.934,5.475,0,21.851999999999997,1.4340000000000002,S
16,0.34,71,52.897,5.494,0,19.423,1.4469999999999998,S
17,0.36,75,52.873000000000005,5.468999999999999,0,16.462,1.4769999999999999,S
18,0.38,74,52.971000000000004,5.475,0,15.455,1.4409999999999998,S
19,0.4,74,52.879,5.4510000000000005,0,15.663,1.4469999999999998,S
20,0.42,85,52.708,5.468999999999999,0,15.761,1.4709999999999999,S
21,0.44,90,52.72,5.468999999999999,0,16.743,1.4709999999999999,S
22,0.46,103,52.684,5.481,0,16.969,1.4709999999999999,S
23,0.48,97,52.562,5.475,0,14.814,1.465,S
24,0.5,107,52.446000000000005,5.475,0,14.668,1.495,S
25,0.52,121,52.403,5.468999999999999,0,12.647,1.4709999999999999,S
26,0.54,120,52.323,5.462999999999999,0,11.414000000000001,1.514,S
27,0.56,133,52.269,5.481,0,13.41,1.5319999999999998,S
28,0.58,134,52.128,5.481,0,14.039000000000001,1.544,S
