,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,150,30.489,0.195,0,33.194,1.148,SL
1,0.02,163,30.599,0.165,0,33.510999999999996,1.148,SL
2,0.03,224,30.66,0.134,0,34.195,1.16,SL
3,0.04,51,30.721,0.153,0,35.202,1.141,SL
4,0.05,61,30.752,0.165,0,35.299,1.099,SL
5,0.06,110,30.825,0.128,0,36.532,1.129,SL
6,0.07,351,30.831,0.134,0,37.515,1.111,SL
7,0.08,163,30.844,0.14,0,39.56,1.074,SL
8,0.09,92,30.795,0.153,0,40.293,1.074,SL
9,0.1,118,30.807,0.10400000000000001,0,40.573,1.068,SL
10,0.11,189,30.807,0.171,0,41.666000000000004,1.08,SL
11,0.12,469,30.764,0.153,0,41.855,1.08,SL
12,0.13,150,30.795,0.183,0,42.105,1.068,SL
13,0.14,58,30.831,0.14,0,42.716,1.08,SL
14,0.15,120,30.831,0.14,0,44.138000000000005,1.068,SL
15,0.16,138,30.862,0.128,0,44.486000000000004,1.068,SL
16,0.17,108,30.929000000000002,0.122,0,44.382,1.068,SL
17,0.18,73,31.045,0.079,0,45.388999999999996,1.056,SL
18,0.19,39,31.21,0.128,0,45.933,1.05,SL
19,0.2,330,31.283,0.159,0,46.165,1.044,SL
20,0.21,100,31.331999999999997,0.134,0,45.975,1.05,SL
21,0.22,74,31.533,0.159,0,47.77,1.0190000000000001,SL
22,0.23,36,31.715999999999998,0.128,0,48.161,1.013,SL
23,0.24,26,31.478,0.14,0,46.958,0.885,SL
24,0.25,37,31.265,0.128,0,46.867,0.812,SL
25,0.26,50,30.99,0.128,0,47.007,0.861,SL
26,0.27,15,31.221999999999998,0.128,0,46.409,0.812,SL
27,0.28,48,31.026999999999997,0.153,0,45.858999999999995,0.812,SL
28,0.29,68,30.038,0.134,0,41.263000000000005,0.8059999999999999,SL
29,0.3,124,29.971,0.061,0,39.31,0.8240000000000001,SL
30,0.31,175,29.958000000000002,0.11,0,39.431999999999995,0.7809999999999999,SL
31,0.32,59,29.945999999999998,0.153,0,39.461999999999996,0.8420000000000001,SL
32,0.33,25,30.013,0.14,0,39.603,0.836,SL
33,0.34,78,30.099,0.128,0,39.047,0.836,SL
34,0.35,91,30.221,0.159,0,39.829,0.812,SL
35,0.36,182,30.195999999999998,0.159,0,40.274,0.7809999999999999,SL
36,0.37,58,30.233,0.14,0,40.299,0.8420000000000001,SL
37,0.38,30,30.233,0.14,0,40.415,0.836,SL
38,0.39,68,30.305999999999997,0.159,0,40.207,0.861,SL
39,0.4,100,30.288,0.14,0,40.653,0.855,SL
40,0.41,45,30.294,0.165,0,41.55,0.855,SL
41,0.42,29,30.319000000000003,0.134,0,41.263000000000005,0.855,SL
42,0.43,42,30.288,0.14,0,40.573,0.836,SL
43,0.44,95,30.311999999999998,0.10400000000000001,0,40.018,0.855,SL
44,0.45,413,30.337,0.128,0,39.804,0.861,SL
45,0.46,47,30.281999999999996,0.14,0,40.36,0.867,SL
46,0.47,28,30.250999999999998,0.159,0,40.482,0.836,SL
47,0.48,43,30.281999999999996,0.153,0,40.14,0.83,SL
48,0.49,308,30.245,0.201,0,39.755,0.812,SL
49,0.5,122,30.195999999999998,0.183,0,39.951,0.812,AS
50,0.51,30,30.276,0.165,0,40.293,0.855,AS
51,0.52,24,30.264,0.11,0,41.056000000000004,0.867,AS
52,0.53,484,30.276,0.092,0,40.366,0.836,AS
53,0.54,202,30.233,0.214,0,40.354,0.855,AS
54,0.55,104,30.288,0.128,0,39.774,0.8909999999999999,AS
55,0.56,33,30.250999999999998,0.153,0,40.836,0.885,AS
56,0.57,40,30.66,0.159,0,41.483000000000004,0.873,AS
57,0.58,91,30.77,0.201,0,41.08,0.903,AS
58,0.59,499,30.734,0.201,0,41.66,0.9520000000000001,AS
59,0.6,50,30.233,0.18899999999999997,0,40.451,0.8909999999999999,AS
60,0.61,38,30.068,0.165,0,41.19,0.897,AS
61,0.62,42,30.019000000000002,0.153,0,42.99,0.873,AS
62,0.63,85,30.000999999999998,0.183,0,42.403999999999996,0.885,AS
63,0.64,158,30.031999999999996,0.171,0,42.685,0.9520000000000001,AS
64,0.65,360,30.038,0.171,0,42.038000000000004,0.7809999999999999,AS
65,0.66,33,30.031999999999996,0.165,0,43.351000000000006,0.855,AS
66,0.67,29,30.038,0.171,0,41.513000000000005,0.8909999999999999,AS
67,0.68,107,30.013,0.183,0,40.17,0.873,AS
68,0.69,322,29.885,0.18899999999999997,0,39.249,0.9159999999999999,AS
69,0.7,42,30.044,0.153,0,39.346,0.885,AS
70,0.71,28,30.093000000000004,0.159,0,40.396,0.867,AS
71,0.72,349,30.129,0.10400000000000001,0,41.727,0.873,AS
72,0.73,102,30.019000000000002,0.183,0,41.605,0.897,AS
73,0.74,73,30.093000000000004,0.159,0,40.378,0.861,AS
74,0.75,35,30.061999999999998,0.159,0,41.062,0.873,AS
75,0.76,25,30.074,0.183,0,40.811,0.867,AS
76,0.77,278,29.976999999999997,0.165,0,40.701,0.885,AS
77,0.78,443,30.006999999999998,0.195,0,40.988,0.867,AS
78,0.79,44,29.989,0.14,0,41.208,0.885,AS
79,0.8,32,29.971,0.134,0,40.805,0.885,AS
80,0.81,70,29.916,0.159,0,40.488,0.8909999999999999,AS
81,0.82,263,29.885,0.153,0,40.47,0.946,AS
82,0.83,130,29.897,0.159,0,41.495,0.903,AS
83,0.84,71,29.91,0.195,0,41.007,0.873,AS
84,0.85,43,29.879,0.165,0,40.14,0.9159999999999999,AS
85,0.86,136,29.885,0.165,0,39.468,0.903,AS
86,0.87,597,29.879,0.14,0,40.634,0.9159999999999999,AS
87,0.88,508,29.855,0.128,0,40.177,0.855,AS
