,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,517,33.828,0.069,0,8.918,0.8059999999999999,R
1,0.04,548,33.828,0.069,0,8.918,0.8059999999999999,R
2,0.06,517,33.834,0.07200000000000001,0,8.869,0.8059999999999999,R
3,0.08,508,33.969,0.07,0,8.747,0.732,R
4,0.1,518,33.908,0.07,0,8.668,0.7390000000000001,R
5,0.12,509,33.847,0.069,0,8.68,0.763,R
6,0.14,503,33.853,0.069,0,8.832,0.69,R
7,0.16,491,33.999,0.076,0,9.248,0.6709999999999999,R
8,0.18,438,34.292,0.07200000000000001,0,10.609000000000002,0.598,R
9,0.2,428,34.781,0.076,0,12.373,0.5920000000000001,R
10,0.22,402,35.043,0.079,0,13.325,0.5489999999999999,R
11,0.24,369,35.354,0.07,0,15.309000000000001,0.5489999999999999,R
12,0.26,355,35.647,0.07200000000000001,0,15.277999999999999,0.537,R
13,0.28,392,35.739000000000004,0.069,0,15.901,0.531,R
14,0.3,427,35.568000000000005,0.07200000000000001,0,16.194000000000003,0.47600000000000003,R
15,0.32,371,35.354,0.07200000000000001,0,15.235999999999999,0.494,R
16,0.34,331,35.739000000000004,0.069,0,15.357999999999999,0.433,R
17,0.36,279,36.685,0.066,0,19.258,0.305,R
18,0.38,267,36.941,0.069,0,20.339000000000002,0.159,R
19,0.4,254,37.332,0.073,0,22.908,0.11,R
20,0.42,225,37.662,0.07,0,22.768,0.061,R
21,0.44,201,38.199,0.069,0,26.217,0.043,R
22,0.46,185,38.181,0.07200000000000001,0,28.793000000000003,0.0,R
23,0.48,180,38.29,0.076,0,28.304000000000002,0.0,R
24,0.5,159,38.614000000000004,0.076,0,29.147,0.0,R
25,0.52,158,38.925,0.084,0,29.256,0.0,R
26,0.54,104,39.321999999999996,0.08900000000000001,0,27.236,0.0,R
27,0.56,15,40.714,0.249,0,19.698,0.0,R
28,0.58,65,39.81,0.336,0,30.581,0.0,R
29,0.6,90,39.45,0.331,0,33.31,0.0,R
30,0.62,113,39.224000000000004,0.325,0,29.665,0.0,R
31,0.64,131,39.102,0.32,0,29.818,0.0,R
32,0.66,115,39.279,0.316,0,31.13,0.0,R
