,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,513,58.397,0.31,0,8.424,4.828,SL
1,0.04,513,58.397,0.31,0,8.424,4.828,SL
2,0.06,515,58.525,0.299,0,8.436,4.803999999999999,SL
3,0.08,512,58.507,0.301,0,8.228,4.773,SL
4,0.1,504,58.586000000000006,0.284,0,8.179,4.7669999999999995,SL
5,0.12,507,58.543,0.287,0,8.149,4.731,SL
6,0.14,500,58.611000000000004,0.27899999999999997,0,8.594,4.6819999999999995,SL
7,0.16,497,58.647,0.285,0,9.339,4.6819999999999995,SL
8,0.18,475,58.69,0.285,0,10.42,4.645,SL
9,0.2,428,58.891000000000005,0.276,0,11.939,4.468,SL
10,0.22,339,59.532,0.272,0,13.716,4.1080000000000005,SL
11,0.24,408,59.978,0.282,0,16.151,3.4610000000000003,SL
12,0.26,338,59.831,0.284,0,18.037,3.113,SL
13,0.28,416,59.928999999999995,0.295,0,18.526,2.79,SL
14,0.3,382,59.606,0.27899999999999997,0,17.824,2.8080000000000003,SL
15,0.32,348,59.96,0.278,0,17.891,2.753,SL
16,0.34,317,60.338,0.287,0,20.497,2.423,SL
17,0.36,295,60.538999999999994,0.298,0,24.447,1.996,SL
18,0.38,292,60.771,0.302,0,22.316,1.6540000000000001,SL
19,0.4,284,60.863,0.32,0,21.767,1.422,SL
20,0.42,273,60.93,0.32,0,27.114,1.251,SL
21,0.44,330,60.56399999999999,0.322,0,22.53,1.135,SL
22,0.46,324,60.411,0.32,0,22.17,1.325,SL
23,0.48,314,60.32,0.32,0,21.546999999999997,1.4340000000000002,SL
24,0.5,303,60.538999999999994,0.325,0,22.846999999999998,1.453,SL
25,0.52,294,60.826,0.33,0,25.374000000000002,1.288,SL
26,0.54,313,60.582,0.324,0,22.383000000000003,1.2570000000000001,SL
27,0.56,329,60.375,0.322,0,21.535,1.2819999999999998,SL
28,0.58,332,60.228,0.325,0,20.522,1.3730000000000002,SL
29,0.6,320,60.387,0.324,0,20.833000000000002,1.483,SL
30,0.62,321,60.43,0.322,0,20.155,1.4340000000000002,SL
31,0.64,324,60.20399999999999,0.325,0,20.186,1.4709999999999999,SL
32,0.66,327,60.32,0.325,0,20.662,1.4769999999999999,SL
33,0.68,331,60.277,0.325,0,20.479,1.4409999999999998,SL
34,0.7,314,60.405,0.325,0,22.249000000000002,1.483,SL
35,0.72,317,60.398999999999994,0.32799999999999996,0,20.339000000000002,1.4709999999999999,SL
36,0.74,317,60.478,0.325,0,19.826,1.4469999999999998,SL
37,0.76,337,60.356,0.324,0,19.032,1.4340000000000002,SL
38,0.78,360,60.111999999999995,0.322,0,18.025,1.483,SL
39,0.8,363,59.891999999999996,0.325,0,17.988,1.6969999999999998,SL
40,0.82,312,60.143,0.32799999999999996,0,19.972,1.77,SL
41,0.84,317,60.723,0.325,0,24.3,1.5930000000000002,SL
42,0.86,309,60.381,0.32799999999999996,0,22.011,1.465,SL
43,0.88,356,60.228,0.32799999999999996,0,22.346999999999998,1.5319999999999998,SL
44,0.9,341,60.123999999999995,0.324,0,20.332,1.6969999999999998,SL
45,0.92,339,60.283,0.322,0,22.103,1.715,SL
46,0.94,356,59.928999999999995,0.322,0,27.791999999999998,1.746,SL
47,0.96,365,59.978,0.324,0,32.174,1.807,SL
48,0.98,341,60.131,0.32,0,33.499,1.8619999999999999,SL
49,1.0,375,59.818999999999996,0.324,0,21.773000000000003,1.923,SL
50,1.02,252,60.593999999999994,0.314,0,25.808000000000003,1.88,SL
51,1.04,242,61.425,0.314,0,37.491,1.19,SL
52,1.06,254,61.382,0.322,0,36.569,0.83,SL
53,1.08,218,61.284,0.32799999999999996,0,32.974000000000004,0.653,SL
54,1.1,187,61.895,0.32799999999999996,0,28.493000000000002,0.287,SL
55,1.12,89,63.195,0.32799999999999996,0,23.14,0.0,SL
56,1.14,51,63.891000000000005,0.32799999999999996,0,22.988000000000003,0.0,SL
57,1.16,33,64.007,0.325,0,27.656999999999996,0.0,SL
58,1.18,65,63.726000000000006,0.33,0,28.89,0.0,SL
59,1.2,244,61.132,0.33,0,26.778000000000002,0.0,SL
60,1.22,235,61.071000000000005,0.33,0,25.802,0.0,SL
61,1.24,240,61.077,0.33,0,24.476999999999997,0.0,SL
62,1.26,399,59.276,0.322,0,14.960999999999999,4.169,SL
63,1.28,399,59.276,0.322,0,14.960999999999999,4.169,SL
64,1.3,43,63.408,0.32799999999999996,0,25.008000000000003,1.05,SL
65,1.32,91,63.523999999999994,0.33,0,23.384,0.0,SL
66,1.34,50,63.305,0.33,0,27.315,0.0,SL
67,1.36,52,63.43899999999999,0.32799999999999996,0,27.419,0.0,SL
68,1.38,55,63.488,0.32799999999999996,0,27.296999999999997,0.0,SL
69,1.4,83,63.073,0.32799999999999996,0,28.414,0.0,SL
70,1.42,77,63.036,0.325,0,30.166,0.0,SL
71,1.44,111,62.951,0.325,0,28.811,0.0,SL
72,1.46,146,62.456,0.33,0,26.081999999999997,0.0,SL
73,1.48,157,62.211999999999996,0.32799999999999996,0,31.008000000000003,0.0,SL
74,1.5,156,62.291000000000004,0.325,0,29.756999999999998,0.0,SL
75,1.52,153,62.297,0.325,0,32.339,0.0,SL
76,1.54,183,61.931000000000004,0.32799999999999996,0,31.845,0.0,SL
77,1.56,197,61.73,0.33,0,29.311,0.0,SL
78,1.58,179,61.657,0.325,0,26.388,0.0,SL
79,1.6,111,62.548,0.325,0,30.898000000000003,0.0,SL
80,1.62,91,62.913999999999994,0.32799999999999996,0,32.705,0.0,SL
81,1.64,81,63.091,0.325,0,33.7,0.0,SL
82,1.66,91,62.913999999999994,0.325,0,32.278,0.0,SL
83,1.68,99,63.005,0.325,0,33.705999999999996,0.0,SL
84,1.7,116,62.626999999999995,0.325,0,32.18,0.0,SL
85,1.72,138,62.388999999999996,0.325,0,32.693000000000005,0.0,SL
86,1.74,150,62.248999999999995,0.32799999999999996,0,30.874000000000002,0.0,SL
87,1.76,129,62.431999999999995,0.32799999999999996,0,29.91,0.0,SL
88,1.78,134,62.383,0.32799999999999996,0,31.112,0.0,SL
89,1.8,154,62.157,0.32799999999999996,0,28.785999999999998,0.0,SL
90,1.82,149,62.2,0.325,0,28.579,0.0,SL
91,1.84,175,61.998000000000005,0.33,0,29.305,0.0,SL
92,1.86,191,61.65,0.33,0,27.541,0.0,SL
93,1.88,199,61.65,0.324,0,22.725,0.0,SL
94,1.9,158,62.023,0.325,0,26.680999999999997,0.0,SL
95,1.92,162,62.09,0.325,0,29.36,0.0,SL
96,1.94,174,61.895,0.32799999999999996,0,29.073,0.0,SL
97,1.96,204,61.724,0.33,0,27.12,0.0,SL
98,1.98,186,61.809,0.32799999999999996,0,29.043000000000003,0.0,SL
99,2.0,190,61.681000000000004,0.331,0,30.715,0.0,SL
100,2.02,200,61.711000000000006,0.32799999999999996,0,34.536,0.0,SL
101,2.04,186,61.724,0.331,0,30.16,0.0,SL
102,2.06,221,61.504,0.32799999999999996,0,39.31,0.0,SL
103,2.08,290,60.918,0.32799999999999996,0,40.439,0.0,SL
104,2.1,287,60.387,0.33,0,25.002,0.14,SL
105,2.12,69,63.488,0.32799999999999996,0,26.656,0.043,SL
106,2.14,79,63.494,0.33,0,23.397,0.0,SL
107,2.16,127,62.968999999999994,0.33,0,22.066,0.0,SL
108,2.18,163,62.626999999999995,0.33,0,22.53,0.0,SL
109,2.2,208,61.84,0.33,0,21.584,0.0,SL
110,2.22,200,61.901,0.33,0,21.486,0.0,SL
111,2.24,199,61.809,0.331,0,20.003,0.0,SL
112,2.26,180,62.2,0.33,0,22.816999999999997,0.0,SL
113,2.28,188,62.145,0.33,0,23.659000000000002,0.0,SL
114,2.3,254,61.364,0.32799999999999996,0,22.816999999999997,0.0,SL
