,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,10,25.441,0.20800000000000002,0,11.207,10.224,SL
1,0.04,9,25.496,0.27899999999999997,0,6.745,11.341,SL
2,0.06,407,39.023,0.31,0,6.568,10.413,SL
3,0.08,721,55.9,0.305,0,8.43,6.379,SL
4,0.1,692,55.626000000000005,0.308,0,8.155,4.37,SL
5,0.12,690,55.76,0.307,0,8.392999999999999,3.04,SL
6,0.14,686,55.913000000000004,0.29100000000000004,0,8.704,1.972,SL
7,0.16,655,56.083999999999996,0.285,0,8.381,1.27,SL
8,0.18,534,56.358000000000004,0.278,0,8.802,0.69,SL
9,0.2,498,57.268,0.278,0,11.213,0.183,SL
10,0.22,495,58.11600000000001,0.276,0,14.717,0.0,SL
11,0.24,509,58.08,0.299,0,14.833,0.0,SL
12,0.26,531,57.762,0.316,0,13.862,0.0,SL
13,0.28,539,57.591,0.308,0,13.349,0.0,SL
14,0.3,462,57.683,0.324,0,14.655999999999999,0.0,SL
15,0.32,514,58.415,0.325,0,20.583000000000002,0.0,SL
16,0.34,579,57.597,0.33,0,17.598,0.0,SL
17,0.36,536,57.207,0.33,0,12.77,0.0,SL
18,0.38,514,57.683,0.325,0,13.337,0.0,SL
19,0.4,478,57.878,0.33,0,15.638,0.0,SL
20,0.42,399,58.537,0.32799999999999996,0,15.919,0.0,SL
21,0.44,443,59.288000000000004,0.33,0,17.457,0.0,SL
22,0.46,402,58.666000000000004,0.331,0,18.526,0.0,SL
23,0.48,330,59.746,0.331,0,22.921,0.0,SL
24,0.5,349,59.941,0.33299999999999996,0,26.858,0.0,SL
25,0.52,371,59.941,0.331,0,30.123,0.0,SL
26,0.54,435,58.922,0.33,0,26.076,0.0,SL
27,0.56,428,58.8,0.331,0,18.805999999999997,0.0,SL
28,0.58,313,59.496,0.331,0,26.534000000000002,0.0,SL
29,0.6,38,63.591,0.331,0,26.717,0.0,SL
30,0.62,31,63.823,0.331,0,33.023,0.0,SL
31,0.64,45,63.067,0.33299999999999996,0,32.547,0.0,SL
32,0.66,44,63.32899999999999,0.331,0,33.554,0.0,SL
33,0.68,45,63.42100000000001,0.33299999999999996,0,33.516999999999996,0.0,SL
34,0.7,55,63.482,0.33299999999999996,0,36.178000000000004,0.0,SL
35,0.72,52,63.378,0.33299999999999996,0,38.528,0.0,SL
36,0.74,71,63.042,0.33299999999999996,0,40.042,0.0,SL
37,0.76,93,62.755,0.33299999999999996,0,39.071999999999996,0.0,SL
38,0.78,124,62.566,0.33299999999999996,0,36.398,0.0,SL
39,0.8,105,62.603,0.33299999999999996,0,43.106,0.0,SL
40,0.82,123,62.358000000000004,0.33299999999999996,0,44.26,0.0,SL
41,0.84,67,63.121,0.33299999999999996,0,36.508,0.0,SL
42,0.86,71,63.091,0.33299999999999996,0,45.266999999999996,0.0,SL
43,0.88,120,62.505,0.33299999999999996,0,37.247,0.0,SL
44,0.9,113,61.516000000000005,0.33299999999999996,0,42.71,0.0,SL
45,0.92,149,60.593999999999994,0.331,0,43.021,0.0,SL
46,0.94,99,60.99100000000001,0.33299999999999996,0,38.211,0.0,SL
47,0.96,61,61.541000000000004,0.33299999999999996,0,41.861000000000004,0.0,SL
48,0.98,45,61.846000000000004,0.33299999999999996,0,35.592,0.0,SL
49,1.0,49,61.876000000000005,0.33299999999999996,0,32.632,0.0,S
50,1.02,52,61.748000000000005,0.33299999999999996,0,32.534,0.0,S
51,1.04,67,61.65,0.336,0,28.982,0.0,S
52,1.06,77,61.516000000000005,0.336,0,31.954,0.0,S
53,1.08,93,61.29,0.336,0,34.72,0.0,S
54,1.1,114,61.04600000000001,0.337,0,33.273,0.0,S
55,1.12,127,60.869,0.33299999999999996,0,28.401999999999997,0.0,S
56,1.14,11,62.456,0.32799999999999996,0,23.011999999999997,0.0,S
57,1.16,31,61.663000000000004,0.33,0,20.894000000000002,0.0,S
58,1.18,251,58.312,0.33,0,20.332,0.0,S
59,1.2,207,59.441,0.32799999999999996,0,26.906,0.0,S
60,1.22,205,59.728,0.331,0,27.456,0.0,S
61,1.24,264,59.178000000000004,0.32799999999999996,0,22.634,0.0,S
62,1.26,270,58.8,0.32799999999999996,0,22.176,0.0,S
63,1.28,26,61.943000000000005,0.33,0,16.847,0.0,S
64,1.3,279,58.666000000000004,0.32799999999999996,0,28.616,0.0,S
65,1.32,350,58.019,0.331,0,26.32,0.0,S
66,1.34,353,57.787,0.331,0,21.15,0.0,S
67,1.36,353,57.878,0.33,0,22.590999999999998,0.0,S
