,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,12,66.164,0.409,0,23.065,0.87,B
1,0.02,23,65.916,0.415,0,19.506,0.706,B
2,0.03,58,65.275,0.439,0,33.954,0.652,B
3,0.04,70,65.381,0.42700000000000005,0,32.912,0.66,B
4,0.05,81,65.153,0.446,0,34.259,0.6409999999999999,B
5,0.06,88,65.08800000000001,0.42700000000000005,0,33.049,0.633,B
6,0.07,104,64.798,0.415,0,35.711999999999996,0.6409999999999999,B
7,0.08,93,64.744,0.415,0,35.125,0.629,B
8,0.09,109,64.721,0.433,0,35.815,0.622,B
9,0.1,100,64.596,0.433,0,36.948,0.637,B
10,0.11,111,64.805,0.446,0,38.551,0.6409999999999999,B
11,0.12,100,64.729,0.446,0,38.009,0.633,B
12,0.13,81,64.939,0.439,0,36.674,0.629,B
13,0.14,82,65.095,0.439,0,39.981,0.629,B
14,0.15,68,65.225,0.47,0,41.496,0.614,B
15,0.16,70,65.343,0.45799999999999996,0,41.137,0.61,B
16,0.17,51,65.637,0.439,0,38.005,0.584,B
17,0.18,52,65.59899999999999,0.47,0,37.624,0.5760000000000001,B
18,0.19,44,65.645,0.47,0,33.675,0.546,B
19,0.2,33,65.763,0.45799999999999996,0,32.55,0.523,B
20,0.21,50,65.679,0.47,0,37.318000000000005,0.504,B
21,0.22,46,65.546,0.47,0,36.994,0.496,B
22,0.23,49,65.561,0.46399999999999997,0,37.181,0.469,B
23,0.24,54,65.435,0.494,0,42.125,0.45799999999999996,B
24,0.25,48,65.492,0.47,0,38.44,0.45799999999999996,B
25,0.26,60,65.351,0.47600000000000003,0,40.714,0.446,B
26,0.27,67,65.21,0.525,0,41.641000000000005,0.45,B
27,0.28,71,65.267,0.488,0,39.832,0.462,B
28,0.29,59,65.40100000000001,0.488,0,39.79,0.45799999999999996,B
29,0.3,62,65.263,0.47600000000000003,0,38.329,0.462,B
30,0.31,82,65.248,0.494,0,38.097,0.465,B
31,0.32,78,64.992,0.525,0,41.107,0.465,B
32,0.33,86,64.92,0.519,0,40.649,0.47700000000000004,B
33,0.34,79,65.164,0.494,0,47.089,0.48100000000000004,B
34,0.35,110,64.92399999999999,0.494,0,47.573,0.496,B
35,0.36,82,65.191,0.531,0,67.361,0.523,B
36,0.37,145,63.431999999999995,0.519,0,48.992,0.519,B
37,0.38,238,63.73,0.537,0,48.641000000000005,0.561,B
38,0.39,215,62.65,0.525,0,40.351,0.599,B
39,0.4,246,62.951,0.501,0,53.574,0.591,B
40,0.41,301,62.226000000000006,0.488,0,28.365,0.595,B
41,0.42,286,62.111999999999995,0.494,0,26.674,0.603,B
42,0.43,287,62.111999999999995,0.519,0,25.296999999999997,0.629,B
43,0.44,301,61.978,0.47600000000000003,0,24.878,0.652,B
44,0.45,308,61.61600000000001,0.488,0,25.82,0.6679999999999999,B
45,0.46,314,61.868,0.47600000000000003,0,26.461,0.679,B
46,0.47,336,61.406000000000006,0.519,0,23.119,0.691,B
47,0.48,343,61.218999999999994,0.47,0,19.579,0.725,B
48,0.49,349,61.108999999999995,0.562,0,18.362000000000002,0.782,B
49,0.5,328,61.123999999999995,0.58,0,17.576,0.809,B
50,0.51,312,61.25,0.555,0,15.825,0.87,B
51,0.52,310,61.372,0.5489999999999999,0,14.687999999999999,0.858,B
52,0.53,249,61.81399999999999,0.537,0,14.421,0.9,B
53,0.54,234,62.268,0.562,0,15.661,0.9,B
54,0.55,208,62.955,0.617,0,19.003,0.961,B
55,0.56,229,62.948,0.6779999999999999,0,20.070999999999998,0.927,B
56,0.57,241,62.551,0.6709999999999999,0,19.781,0.977,B
57,0.58,251,62.574,0.684,0,19.27,0.98,B
58,0.59,251,62.226000000000006,0.69,0,17.957,0.9840000000000001,B
59,0.6,273,62.15,0.684,0,17.175,1.03,SL
60,0.61,196,66.068,0.684,0,28.693,0.9159999999999999,SL
61,0.62,120,63.82899999999999,0.6779999999999999,0,29.704,0.809,SL
62,0.63,174,63.394,0.653,0,24.58,0.7859999999999999,SL
63,0.64,163,62.93600000000001,0.659,0,22.539,0.8009999999999999,SL
64,0.65,160,63.748999999999995,0.659,0,23.378,0.805,SL
65,0.66,158,63.626999999999995,0.684,0,25.74,0.82,SL
66,0.67,104,64.245,0.659,0,25.37,0.809,SL
67,0.68,33,65.584,0.6709999999999999,0,30.551,0.7440000000000001,SL
68,0.69,27,65.893,0.659,0,29.234,0.6559999999999999,SL
69,0.7,18,66.003,0.684,0,25.541,0.591,SL
70,0.71,14,66.07600000000001,0.684,0,24.191,0.47700000000000004,SL
71,0.72,423,30.436,0.397,0,20.46,7.42,SL
72,0.73,29,65.50399999999999,0.433,0,28.784000000000002,2.403,SL
73,0.74,17,65.332,0.501,0,30.734,0.946,SL
74,0.75,23,65.244,0.531,0,33.763000000000005,0.706,SL
75,0.76,26,65.275,0.555,0,35.045,0.618,SL
76,0.77,27,65.202,0.5489999999999999,0,36.418,0.5529999999999999,SL
77,0.78,32,65.145,0.5489999999999999,0,38.486,0.47700000000000004,SL
78,0.79,39,65.072,0.5489999999999999,0,39.497,0.439,SL
79,0.8,44,65.069,0.58,0,39.485,0.408,SL
80,0.81,43,65.008,0.586,0,40.332,0.42,SL
81,0.82,37,65.153,0.586,0,41.403999999999996,0.41200000000000003,SL
82,0.83,41,65.10300000000001,0.58,0,44.437,0.401,SL
83,0.84,41,65.0,0.586,0,40.977,0.385,SL
84,0.85,24,65.378,0.58,0,34.06,0.374,SL
85,0.86,27,65.408,0.586,0,31.149,0.366,SL
86,0.87,23,65.431,0.586,0,30.398000000000003,0.355,SL
87,0.88,28,65.263,0.58,0,31.656999999999996,0.34700000000000003,SL
88,0.89,29,65.305,0.58,0,33.061,0.35100000000000003,SL
89,0.9,32,65.21,0.586,0,33.385,0.34299999999999997,SL
90,0.91,52,64.95,0.586,0,36.376,0.34299999999999997,SL
91,0.92,53,64.905,0.58,0,36.059,0.332,SL
92,0.93,64,64.691,0.58,0,31.615,0.34299999999999997,SL
93,0.94,62,64.695,0.617,0,33.389,0.34700000000000003,SL
94,0.95,63,64.672,0.5920000000000001,0,32.056999999999995,0.35100000000000003,SL
95,0.96,68,64.577,0.586,0,35.045,0.366,SL
96,0.97,79,64.447,0.598,0,35.773,0.374,SL
97,0.98,94,64.191,0.617,0,34.385,0.36200000000000004,SL
98,0.99,103,63.89,0.617,0,33.431,0.385,SL
99,1.0,135,63.661,0.5920000000000001,0,29.86,0.385,SL
100,1.01,177,63.26,0.617,0,27.453000000000003,0.401,SL
101,1.02,508,58.32,0.525,0,12.837,4.91,SL
102,1.03,508,58.32,0.525,0,12.837,4.91,SL
103,1.04,508,58.32,0.525,0,12.837,4.91,SL
104,1.05,508,58.32,0.525,0,12.837,4.91,SL
105,1.06,508,58.32,0.525,0,12.837,4.91,SL
106,1.07,424,58.32,0.525,0,12.837,4.91,SL
107,1.08,360,58.693999999999996,0.488,0,18.178,4.8069999999999995,SL
108,1.09,314,59.303999999999995,0.507,0,17.957,4.586,SL
109,1.1,166,61.772,0.47,0,27.365,4.09,SL
110,1.11,93,63.81399999999999,0.46399999999999997,0,29.500999999999998,3.2889999999999997,SL
111,1.12,58,64.493,0.519,0,26.671,2.449,SL
112,1.13,64,64.5,0.501,0,25.828000000000003,1.881,SL
113,1.14,65,64.283,0.519,0,25.511,1.5830000000000002,SL
114,1.15,49,64.462,0.525,0,23.828000000000003,1.3430000000000002,SL
115,1.16,116,63.787,0.501,0,24.458000000000002,1.251,SL
116,1.17,143,63.302,0.507,0,22.364,1.202,SL
117,1.18,166,62.958999999999996,0.501,0,21.509,1.171,SL
118,1.19,172,62.722,0.525,0,20.395,1.1640000000000001,SL
119,1.2,170,62.703,0.507,0,19.781,1.1640000000000001,SL
120,1.21,166,62.86,0.5489999999999999,0,21.173000000000002,1.148,SL
121,1.22,166,62.787,0.562,0,22.951,1.1179999999999999,SL
122,1.23,196,62.57,0.555,0,23.831999999999997,1.1179999999999999,SL
123,1.24,202,62.253,0.598,0,23.329,1.114,SL
124,1.25,233,61.998000000000005,0.617,0,22.416999999999998,1.133,SL
125,1.26,243,61.792,0.537,0,21.391,1.1179999999999999,SL
126,1.27,262,61.62,0.5489999999999999,0,20.372,1.156,SL
127,1.28,262,61.479,0.537,0,19.899,1.156,SL
128,1.29,281,61.387,0.562,0,20.070999999999998,1.186,SL
129,1.3,288,61.25,0.568,0,19.678,1.175,SL
130,1.31,302,61.193000000000005,0.537,0,19.819000000000003,1.213,SL
131,1.32,322,60.872,0.598,0,19.144000000000002,1.2209999999999999,SL
132,1.33,314,60.765,0.5489999999999999,0,18.201,1.263,SL
133,1.34,313,60.754,0.58,0,18.045,1.2590000000000001,SL
134,1.35,307,60.735,0.598,0,17.992,1.2670000000000001,SL
135,1.36,310,60.815,0.586,0,18.087,1.278,SL
136,1.37,314,60.72,0.519,0,17.896,1.301,SL
137,1.38,317,60.623999999999995,0.586,0,18.682000000000002,1.3430000000000002,SL
138,1.39,317,60.548,0.5920000000000001,0,19.189,1.3619999999999999,SL
139,1.4,334,60.486999999999995,0.598,0,18.301,1.3619999999999999,SL
140,1.41,337,60.43,0.647,0,17.534000000000002,1.412,SL
141,1.42,345,60.258,0.5920000000000001,0,17.250999999999998,1.4609999999999999,SL
142,1.43,340,60.227,0.617,0,16.885,1.48,SL
143,1.44,347,60.128,0.568,0,16.702,1.526,SL
144,1.45,334,60.166000000000004,0.684,0,16.755,1.545,SL
145,1.46,368,60.166000000000004,0.659,0,17.587,1.5530000000000002,SL
146,1.47,363,59.979,0.6779999999999999,0,16.485,1.545,SL
147,1.48,366,59.926,0.684,0,15.786,1.5759999999999998,SL
