,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,6,34.463,0.0,0,35.141,0.0,L
1,0.04,34,57.481,0.0,0,40.744,0.0,L
2,0.06,33,57.518,0.0,0,40.628,0.0,L
3,0.08,43,57.317,0.0,0,40.634,0.0,L
4,0.1,34,57.61,0.0,0,40.659,0.0,L
5,0.12,41,57.451,0.0,0,40.817,0.0,L
6,0.14,52,58.025,0.0,0,41.696000000000005,0.0,L
7,0.16,58,58.507,0.0,0,42.026,0.0,L
8,0.18,72,58.543,0.0,0,41.818999999999996,0.0,L
9,0.2,63,58.885,0.0,0,41.953,0.0,L
10,0.22,70,58.995,0.0,0,42.685,0.0,L
11,0.24,62,59.788999999999994,0.0,0,45.06,0.0,L
12,0.26,47,60.192,0.0,0,47.477,0.0,L
13,0.28,43,60.288999999999994,0.0,0,50.041000000000004,0.0,L
14,0.3,34,60.56399999999999,0.0,0,51.255,0.0,L
15,0.32,33,60.478,0.0,0,51.976000000000006,0.0,L
16,0.34,31,60.527,0.0,0,53.391999999999996,0.0,L
17,0.36,25,60.613,0.0,0,53.05,0.0,L
18,0.38,26,60.50899999999999,0.0,0,54.435,0.0,L
19,0.4,25,60.50899999999999,0.0,0,55.455,0.0,L
20,0.42,26,60.369,0.0,0,56.077,0.0,L
21,0.44,27,60.35,0.0,0,57.213,0.0,L
22,0.46,23,60.387,0.0,0,57.353,0.0,L
23,0.48,28,60.265,0.0,0,58.8,0.0,L
24,0.5,26,60.35,0.0,0,58.452,0.0,C
25,0.52,30,60.222,0.0,0,58.495,0.0,C
26,0.54,33,60.093999999999994,0.0,0,61.15,0.0,C
27,0.56,34,60.106,0.0,0,61.467,0.0,C
28,0.58,38,59.831,0.0,0,64.745,0.0,C
29,0.6,36,59.838,0.0,0,68.505,0.0,C
30,0.62,35,59.763999999999996,0.0,0,69.958,0.0,C
31,0.64,35,33.34,0.0,0,26.686999999999998,16.487000000000002,C
32,0.66,20,55.278,0.0,0,45.341,0.0,C
33,0.68,24,55.15,0.0,0,46.494,0.0,C
34,0.7,24,55.211000000000006,0.0,0,46.83,0.0,C
35,0.72,26,55.15,0.0,0,46.335,0.0,C
36,0.74,25,55.101000000000006,0.0,0,47.446000000000005,0.0,C
37,0.76,23,55.18600000000001,0.0,0,47.172,0.0,C
38,0.78,31,54.881,0.0,0,46.299,0.0,C
39,0.8,19,55.18600000000001,0.0,0,47.916000000000004,0.0,C
40,0.82,25,55.076,0.0,0,46.348,0.0,C
41,0.84,27,54.942,0.0,0,47.282,0.0,C
42,0.86,27,54.863,0.0,0,50.828,0.0,C
43,0.88,37,54.783,0.0,0,46.86,0.0,C
44,0.9,29,54.924,0.0,0,46.012,0.0,C
45,0.92,21,49.534,0.0,0,47.63,0.0,C
46,0.94,1,25.46,0.0,0,34.213,0.0,C
47,0.96,14,55.461000000000006,0.0,0,38.650999999999996,0.0,C
48,0.98,9,55.229,0.0,0,39.876999999999995,0.0,C
49,1.0,30,54.765,0.0,0,42.099,0.0,C
50,1.02,17,55.04,0.0,0,41.086000000000006,0.0,C
51,1.04,15,55.101000000000006,0.0,0,41.056000000000004,0.0,C
52,1.06,9,55.217,0.0,0,39.053000000000004,0.0,C
53,1.08,12,55.15,0.0,0,39.468,0.0,C
54,1.1,11,55.15,0.0,0,39.694,0.0,C
55,1.12,4,55.339,0.0,0,37.936,0.0,C
56,1.14,31,56.218,0.0,0,41.965,0.0,C
57,1.16,24,56.328,0.006,0,41.91,0.0,C
58,1.18,25,56.328,0.006,0,41.635,0.0,C
59,1.2,16,56.461999999999996,0.0,0,43.534,0.0,C
60,1.22,12,56.553999999999995,0.0,0,43.387,0.0,C
61,1.24,26,56.285,0.0,0,42.551,0.0,C
62,1.26,20,56.407,0.006,0,41.159,0.0,C
63,1.28,21,56.352,0.0,0,41.153,0.0,C
64,1.3,33,56.169,0.0,0,39.688,0.0,C
65,1.32,14,56.505,0.0,0,40.238,0.0,C
66,1.34,13,56.45,0.0,0,42.696999999999996,0.0,C
67,1.36,19,56.34,0.0,0,40.244,0.0,C
68,1.38,17,56.413000000000004,0.0,0,38.119,0.0,C
