,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.04,158,49.784,30.195999999999998,0,28.158,1.8130000000000002,AL
1,0.06,158,53.66,30.19,0,28.06,1.8130000000000002,AL
2,0.08,156,55.809,30.195999999999998,0,27.975,1.8130000000000002,AL
3,0.1,150,56.828,30.215,0,28.213,1.807,AL
4,0.12,150,57.549,30.203000000000003,0,28.445,1.807,AL
5,0.14,150,57.854,30.203000000000003,0,28.585,1.788,AL
6,0.16,148,58.153,30.221,0,28.78,1.801,AL
7,0.18,146,58.232,30.226999999999997,0,29.0,1.801,AL
8,0.2,147,58.391000000000005,30.226999999999997,0,29.379,1.7819999999999998,AL
9,0.22,148,58.458,30.226999999999997,0,29.641,1.776,AL
10,0.24,145,58.464,30.226999999999997,0,29.891,1.776,AL
11,0.26,142,58.58,30.233,0,30.093000000000004,1.776,AL
12,0.28,144,58.69,30.245,0,30.557,1.7269999999999999,AL
13,0.3,145,58.659,30.258000000000003,0,30.862,1.758,AL
14,0.32,147,58.666000000000004,30.281999999999996,0,30.892,1.7209999999999999,AL
15,0.34,148,58.605,30.343000000000004,0,30.916999999999998,1.6969999999999998,AL
16,0.36,147,58.556000000000004,30.441,0,30.99,1.7519999999999998,AL
17,0.38,145,58.519,30.531999999999996,0,31.179000000000002,1.746,AL
18,0.4,137,58.635,30.691,0,31.301,1.7269999999999999,AL
19,0.42,135,58.69,30.807,0,31.35,1.6969999999999998,AL
20,0.44,135,58.708,31.105999999999998,0,31.57,1.666,AL
21,0.46,131,58.861000000000004,31.423000000000002,0,31.997,1.6540000000000001,AL
22,0.48,129,58.995,31.759,0,32.125,1.5930000000000002,AL
23,0.5,127,59.056000000000004,32.186,0,32.229,1.5630000000000002,AL
24,0.52,126,59.129,32.54,0,32.565,1.526,AL
25,0.54,123,59.136,32.998000000000005,0,33.194,1.514,AL
26,0.56,115,59.19,33.67,0,34.28,1.508,AL
27,0.58,111,59.215,34.195,0,35.678000000000004,1.5019999999999998,AL
28,0.6,108,59.318999999999996,34.988,0,37.356,1.4469999999999998,AL
29,0.62,102,59.551,35.568000000000005,0,38.626,1.41,AL
30,0.64,102,59.641999999999996,35.605,0,40.335,1.386,AL
31,0.66,100,59.696999999999996,35.629,0,41.58,1.361,AL
32,0.68,100,59.678999999999995,35.836999999999996,0,42.826,1.349,AL
33,0.7,98,59.673,36.935,0,43.448,1.3430000000000002,MC
34,0.72,95,59.715,37.387,0,43.1,1.3119999999999998,MC
35,0.74,90,59.758,38.01,0,44.242,1.3,MC
36,0.76,75,60.051,39.359,0,45.395,1.288,MC
37,0.78,57,60.46,41.452,0,47.44,1.251,MC
38,0.8,36,61.101000000000006,39.371,0,53.868,1.166,MC
39,0.82,23,61.711000000000006,37.125,0,52.281000000000006,0.9520000000000001,MC
40,0.84,20,61.998000000000005,34.799,0,53.63,0.885,MC
41,0.86,22,61.968,32.852,0,56.114,0.855,MC
42,0.88,26,61.778999999999996,32.363,0,57.231,0.836,MC
43,0.9,25,61.778999999999996,32.229,0,56.132,0.836,MC
44,0.92,20,62.023,31.79,0,55.089,0.8240000000000001,MC
45,0.94,18,61.974,31.729,0,54.1,0.812,MC
46,0.96,17,62.035,31.655,0,54.251999999999995,0.8059999999999999,MC
47,0.98,17,62.023,31.497,0,52.757,0.8,MC
48,1.0,20,61.772,31.393,0,56.523,0.8,MC
49,1.02,19,61.76,31.564,0,60.283,0.8059999999999999,MC
50,1.04,19,61.687,31.721999999999998,0,61.071000000000005,0.794,MC
51,1.06,16,61.754,31.893,0,62.297,0.8,MC
52,1.08,17,61.748000000000005,31.814,0,58.299,0.8,MC
53,1.1,20,61.65,31.784000000000002,0,61.272,0.794,MC
54,1.12,18,61.638000000000005,31.515,0,61.998000000000005,0.794,MC
55,1.14,17,61.626000000000005,31.204,0,66.051,0.794,MC
56,1.16,15,61.638000000000005,31.105999999999998,0,63.756,0.794,MC
57,1.18,15,61.669,30.984,0,58.702,0.794,MC
58,1.2,16,61.577,30.965999999999998,0,59.678999999999995,0.794,MC
59,1.22,14,61.602,30.984,0,62.755,0.8,MC
60,1.24,13,61.589,31.21,0,58.263000000000005,0.794,MC
61,1.26,14,61.516000000000005,31.088,0,60.093999999999994,0.7809999999999999,MC
62,1.28,17,61.394,31.069000000000003,0,59.575,0.8,MC
63,1.3,15,61.382,31.051,0,60.747,0.794,MC
64,1.32,20,61.15,31.1,0,64.03699999999999,0.8,MC
65,1.34,17,61.174,31.283,0,64.061,0.794,MC
66,1.36,19,61.113,31.82,0,65.929,0.8059999999999999,MC
67,1.38,21,61.113,31.776999999999997,0,64.293,0.8059999999999999,MC
68,1.4,16,61.144,31.875,0,64.867,0.8059999999999999,MC
69,1.42,35,59.166000000000004,30.428,0,47.275,1.599,MC
70,1.44,6,59.623999999999995,30.691,0,48.331,1.227,MC
71,1.46,11,59.16,30.74,0,50.761,1.135,MC
72,1.48,11,58.36600000000001,31.021,0,51.108999999999995,1.19,MC
73,1.5,11,58.519,31.13,0,47.581,1.209,MC
74,1.52,12,58.666000000000004,31.075,0,48.288999999999994,1.209,MC
75,1.54,14,58.977,31.24,0,47.263000000000005,1.111,MC
76,1.56,11,58.849,30.953000000000003,0,46.879,1.013,MC
77,1.58,22,58.391000000000005,30.746,0,42.655,1.148,MC
78,1.6,12,58.879,30.746,0,44.437,1.0190000000000001,MC
79,1.62,35,58.812,30.74,0,45.933,1.025,MC
80,1.64,17,59.391999999999996,30.953000000000003,0,47.477,0.922,MC
81,1.66,15,58.373000000000005,31.166999999999998,0,42.032,1.013,MC
82,1.68,10,58.849,31.204,0,41.117,1.038,MC
83,1.7,4,58.672,31.533,0,43.625,0.983,MC
84,1.72,12,58.147,30.935,0,42.153999999999996,1.117,MC
85,1.74,29,58.8,30.721,0,47.898,1.111,MC
86,1.76,22,58.995,30.691,0,50.144,0.9520000000000001,MC
87,1.78,22,58.415,30.654,0,45.701,0.977,MC
88,1.8,18,58.373000000000005,30.618000000000002,0,43.839,0.995,MC
89,1.82,33,58.159,30.581,0,45.115,1.08,MC
90,1.84,31,58.293,30.673000000000002,0,44.547,1.08,MC
91,1.86,8,57.81100000000001,30.734,0,39.56,1.148,MC
92,1.88,14,57.5,30.74,0,42.185,1.251,MC
93,1.9,33,57.591,30.734,0,47.532,1.2570000000000001,MC
94,1.92,41,58.617,30.721,0,53.856,1.178,MC
95,1.94,45,58.903999999999996,30.721,0,51.438,1.025,MC
96,1.96,37,58.696000000000005,30.715,0,49.766000000000005,0.934,MC
97,1.98,56,58.33,30.721,0,50.034,0.9640000000000001,MC
98,2.0,19,58.495,30.746,0,44.327,0.946,MC
99,2.02,24,58.403,30.746,0,43.021,0.958,MC
100,2.04,17,58.019,30.74,0,42.343,1.013,MC
101,2.06,12,58.281000000000006,30.74,0,42.623999999999995,1.0070000000000001,MC
102,2.08,7,57.549,30.807,0,38.412,1.178,MC
103,2.1,9,57.542,30.868000000000002,0,39.400999999999996,1.227,MC
104,2.12,13,57.42,30.984,0,39.755,1.227,MC
105,2.14,22,57.262,31.13,0,41.843,1.251,MC
106,2.16,31,57.213,30.746,0,44.114,1.2570000000000001,MC
107,2.18,31,57.256,30.74,0,44.791000000000004,1.2570000000000001,MC
108,2.2,30,57.57899999999999,30.734,0,45.023,1.2329999999999999,MC
109,2.22,24,57.97,30.715,0,49.265,1.148,MC
110,2.24,29,58.031000000000006,30.715,0,50.004,1.068,MC
111,2.26,10,58.177,30.734,0,45.523999999999994,0.9640000000000001,MC
112,2.28,9,57.628,30.74,0,43.229,1.025,MC
113,2.3,6,57.915,30.764,0,42.435,0.9890000000000001,MC
114,2.32,11,57.207,30.892,0,43.766000000000005,1.141,MC
115,2.34,31,57.011,30.746,0,46.757,1.202,MC
116,2.36,25,56.968999999999994,30.74,0,46.036,1.2329999999999999,MC
117,2.38,22,56.95,30.734,0,46.13399999999999,1.251,MC
118,2.4,28,56.803999999999995,30.715,0,46.665,1.2570000000000001,MC
119,2.42,25,56.858999999999995,30.709,0,45.81100000000001,1.2570000000000001,MC
120,2.44,18,56.888999999999996,30.685,0,46.653,1.264,MC
121,2.46,23,56.81,30.66,0,45.994,1.2570000000000001,MC
122,2.48,31,56.748999999999995,30.66,0,46.744,1.27,MC
123,2.5,31,56.693999999999996,30.691,0,43.625,1.264,MC
124,2.52,28,56.748999999999995,30.709,0,45.353,1.27,MC
125,2.54,23,56.888999999999996,30.74,0,47.306000000000004,1.2819999999999998,MC
126,2.56,7,57.358999999999995,30.905,0,42.636,1.19,MC
127,2.58,10,57.071999999999996,30.886,0,40.817,1.196,MC
128,2.6,14,56.888999999999996,31.160999999999998,0,43.161,1.227,MC
129,2.62,15,56.858999999999995,30.831,0,45.402,1.2329999999999999,MC
130,2.64,10,56.876999999999995,30.746,0,44.528999999999996,1.2209999999999999,MC
131,2.66,12,56.803999999999995,30.74,0,42.343,1.2209999999999999,MC
132,2.68,10,56.908,30.74,0,42.423,1.19,MC
133,2.7,10,56.803999999999995,30.746,0,41.519,1.209,MC
134,2.72,10,57.115,30.837,0,43.662,1.135,MC
135,2.74,10,57.298,31.014,0,45.748999999999995,1.038,MC
136,2.76,8,57.207,30.813000000000002,0,43.198,1.056,MC
137,2.78,9,56.931999999999995,30.862,0,42.716,1.074,MC
138,2.8,11,56.553999999999995,31.045,0,42.648999999999994,1.172,MC
139,2.82,14,56.528999999999996,30.965999999999998,0,43.076,1.2209999999999999,MC
140,2.84,9,57.353,30.795,0,46.104,0.995,MC
141,2.86,10,56.847,30.764,0,42.777,1.068,MC
142,2.88,30,57.042,30.703000000000003,0,42.428999999999995,1.392,MC
143,2.9,7,56.566,30.746,0,40.64,1.2819999999999998,MC
144,2.92,9,56.309,30.66,0,43.357,1.27,MC
145,2.94,20,56.743,30.569000000000003,0,41.062,1.2329999999999999,MC
146,2.96,24,56.218,30.531999999999996,0,40.085,1.251,MC
147,2.98,18,56.163000000000004,30.496,0,41.361000000000004,1.27,MC
148,3.0,17,56.071000000000005,30.476999999999997,0,39.768,1.2819999999999998,MC
149,3.02,18,56.132,30.476999999999997,0,39.554,1.2819999999999998,MC
150,3.04,11,57.053999999999995,30.459,0,39.510999999999996,1.2819999999999998,MC
