,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.04,253,54.728,0.111,0,15.968,3.235,L
1,0.06,248,54.70399999999999,0.11599999999999999,0,15.877,2.332,L
2,0.08,239,54.75899999999999,0.114,0,16.517,1.801,L
3,0.1,229,54.832,0.11599999999999999,0,17.372,1.422,L
4,0.12,221,54.857,0.111,0,18.159000000000002,1.209,L
5,0.14,228,54.857,0.11900000000000001,0,18.636,0.9279999999999999,L
6,0.16,236,54.826,0.127,0,18.721,0.836,L
7,0.18,233,54.79,0.13,0,18.135,0.861,L
8,0.2,233,54.81399999999999,0.124,0,18.391,0.83,L
9,0.22,218,54.851000000000006,0.175,0,18.831,0.8,L
10,0.24,189,54.979,0.20800000000000002,0,20.308,0.745,L
11,0.26,182,55.125,0.215,0,21.73,0.555,L
12,0.28,171,55.229,0.218,0,22.535999999999998,0.311,L
13,0.3,172,55.29,0.215,0,22.401999999999997,0.18899999999999997,SL
14,0.32,175,55.302,0.215,0,23.085,0.061,SL
15,0.34,176,55.253,0.214,0,23.366,0.0,SL
16,0.36,172,55.217,0.21100000000000002,0,24.201999999999998,0.012,SL
17,0.38,154,55.302,0.215,0,23.635,0.0,SL
18,0.4,149,55.461000000000006,0.215,0,24.239,0.0,SL
19,0.42,126,55.736000000000004,0.218,0,24.311999999999998,0.0,SL
20,0.44,114,55.961000000000006,0.217,0,25.910999999999998,0.0,SL
21,0.46,96,56.23,0.218,0,25.802,0.0,SL
22,0.48,79,56.401,0.215,0,25.808000000000003,0.0,SL
23,0.5,72,56.523,0.214,0,25.588,0.0,SL
24,0.52,67,56.633,0.21100000000000002,0,25.471999999999998,0.0,SL
25,0.54,50,56.828,0.21100000000000002,0,25.105999999999998,0.0,SL
26,0.56,155,55.412,0.21100000000000002,0,24.849,0.0,SL
27,0.58,159,55.003,0.21100000000000002,0,24.239,0.0,SL
28,0.6,156,55.095,0.21100000000000002,0,24.263,0.0,SL
29,0.62,162,55.07,0.21100000000000002,0,24.66,0.0,SL
30,0.64,152,55.198,0.21100000000000002,0,24.575,0.0,SL
31,0.66,155,55.119,0.21100000000000002,0,24.642,0.0,SL
32,0.68,168,55.125,0.209,0,24.337,0.0,SL
33,0.7,158,55.06399999999999,0.209,0,23.945999999999998,0.0,SL
34,0.72,160,55.07,0.21100000000000002,0,23.787,0.0,SL
35,0.74,165,55.034,0.21100000000000002,0,23.842,0.0,SL
36,0.76,171,55.101000000000006,0.209,0,23.934,0.0,SL
37,0.78,156,55.137,0.209,0,23.323,0.0,SL
38,0.8,155,55.162,0.209,0,23.421,0.0,SL
39,0.82,158,55.198,0.21100000000000002,0,22.596999999999998,0.0,SL
40,0.84,154,55.26,0.21100000000000002,0,22.371,0.0,SL
41,0.86,147,55.308,0.21100000000000002,0,22.713,0.0,SL
42,0.88,145,55.308,0.21100000000000002,0,23.268,0.0,SL
43,0.9,151,55.29,0.214,0,23.549,0.0,SL
44,0.92,144,55.351000000000006,0.214,0,23.561,0.0,SL
45,0.94,140,55.394,0.214,0,23.701999999999998,0.0,SL
46,0.96,135,55.4,0.21100000000000002,0,23.854,0.0,SL
47,0.98,136,55.467,0.209,0,23.915,0.0,SL
48,1.0,126,55.54600000000001,0.214,0,24.281999999999996,0.0,SL
49,1.02,125,55.565,0.21100000000000002,0,24.947,0.0,SL
50,1.04,121,55.54600000000001,0.21100000000000002,0,24.978,0.0,SL
51,1.06,129,55.54600000000001,0.214,0,24.874000000000002,0.0,SL
52,1.08,120,55.565,0.21100000000000002,0,24.984,0.0,SL
53,1.1,123,55.583,0.21100000000000002,0,25.643,0.0,SL
54,1.12,125,55.559,0.209,0,25.899,0.0,SL
55,1.14,117,55.559,0.209,0,26.064,0.0,SL
56,1.16,114,55.614,0.21100000000000002,0,26.198,0.0,SL
57,1.18,119,55.589,0.209,0,25.973000000000003,0.0,SL
58,1.2,117,55.589,0.209,0,26.143,0.0,SL
59,1.22,115,55.675,0.209,0,26.204,0.0,SL
60,1.24,107,55.736000000000004,0.209,0,26.418000000000003,0.0,SL
61,1.26,106,55.717,0.209,0,27.053,0.0,SL
62,1.28,106,55.736000000000004,0.209,0,26.723000000000003,0.0,SL
63,1.3,99,55.809,0.21100000000000002,0,26.65,0.0,SL
64,1.32,92,55.894,0.209,0,27.114,0.0,SL
65,1.34,96,55.864,0.209,0,26.296,0.0,SL
66,1.36,15,56.92,0.214,0,26.107,0.0,SL
67,1.38,99,55.73,0.214,0,28.518,0.0,SL
68,1.4,98,55.553000000000004,0.21100000000000002,0,28.188000000000002,0.0,SL
69,1.42,100,55.516000000000005,0.214,0,28.664,0.0,SL
70,1.44,100,55.485,0.214,0,28.17,0.0,SL
71,1.46,107,55.412,0.215,0,27.413,0.0,SL
72,1.48,107,55.406000000000006,0.215,0,27.303,0.0,SL
73,1.5,109,55.369,0.217,0,27.26,0.0,SL
74,1.52,111,55.4,0.223,0,27.180999999999997,0.0,SL
75,1.54,104,55.43,0.221,0,27.608,0.0,SL
76,1.56,115,55.406000000000006,0.217,0,27.083000000000002,0.0,SL
77,1.58,114,55.412,0.218,0,26.772,0.0,SL
78,1.6,113,55.345,0.226,0,26.803,0.0,SL
79,1.62,119,55.31399999999999,0.22399999999999998,0,26.741999999999997,0.0,SL
80,1.64,126,55.272,0.22399999999999998,0,26.162,0.0,SL
81,1.66,136,55.15,0.223,0,26.381,0.0,SL
82,1.68,138,55.04600000000001,0.221,0,25.759,0.0,SL
83,1.7,142,55.015,0.215,0,24.788,0.0,SL
84,1.72,151,55.003,0.221,0,24.385,0.0,SL
85,1.74,153,54.905,0.221,0,24.147,0.0,SL
86,1.76,156,54.851000000000006,0.221,0,23.805999999999997,0.0,SL
87,1.78,158,54.832,0.221,0,23.183000000000003,0.0,SL
88,1.8,167,54.826,0.221,0,24.025,0.0,SL
89,1.82,154,54.79600000000001,0.221,0,24.404,0.0,SL
90,1.84,154,54.851000000000006,0.218,0,24.19,0.0,SL
91,1.86,143,54.905,0.22399999999999998,0,24.831,0.0,SL
92,1.88,135,55.04,0.223,0,25.484,0.0,SL
93,1.9,140,55.015,0.221,0,25.399,0.0,SL
94,1.92,127,55.07,0.223,0,25.551,0.0,SL
95,1.94,125,55.125,0.221,0,24.66,0.0,SL
96,1.96,149,54.985,0.221,0,23.568,0.0,SL
97,1.98,163,54.843999999999994,0.22399999999999998,0,22.878,0.0,SL
98,2.0,157,54.79,0.217,0,22.359,0.0,SL
99,2.02,165,54.81399999999999,0.218,0,22.603,0.0,SL
100,2.04,135,54.967,0.221,0,23.316999999999997,0.0,SL
101,2.06,126,55.18600000000001,0.221,0,24.331,0.0,SL
102,2.08,122,55.302,0.226,0,24.581,0.0,SL
103,2.1,123,55.302,0.221,0,24.721,0.0,SL
104,2.12,142,55.125,0.226,0,24.544,0.0,SL
105,2.14,155,54.942,0.226,0,22.846999999999998,0.0,SL
106,2.16,158,54.912,0.23,0,22.145,0.0,SL
107,2.18,164,54.826,0.23199999999999998,0,22.353,0.0,SL
108,2.2,168,54.753,0.23199999999999998,0,21.436999999999998,0.0,SL
109,2.22,165,54.735,0.24100000000000002,0,22.438000000000002,0.0,SL
110,2.24,172,54.648999999999994,0.237,0,22.176,0.0,SL
111,2.26,177,54.619,0.24,0,21.889,0.0,SL
112,2.28,185,54.527,0.23,0,21.309,0.0,SL
113,2.3,180,54.558,0.23199999999999998,0,21.285,0.0,SL
114,2.32,170,54.611999999999995,0.233,0,22.225,0.0,SL
115,2.34,156,54.698,0.233,0,23.476,0.0,SL
116,2.36,158,54.832,0.226,0,25.094,0.0,SL
117,2.38,167,54.851000000000006,0.233,0,25.893,0.0,SL
118,2.4,173,54.692,0.23,0,24.324,0.0,SL
119,2.42,175,54.582,0.237,0,22.158,0.0,SL
120,2.44,176,54.576,0.23,0,22.438000000000002,0.0,SL
121,2.46,176,54.558,0.24600000000000002,0,23.805999999999997,0.0,SL
122,2.48,165,54.6,0.244,0,24.27,0.0,SL
123,2.5,174,54.588,0.23800000000000002,0,24.726999999999997,0.0,SL
124,2.52,170,54.74100000000001,0.24,0,26.308000000000003,0.0,SL
125,2.54,169,54.728,0.22899999999999998,0,27.163,0.0,SL
126,2.56,175,54.588,0.24,0,25.503,0.0,SL
127,2.58,180,54.521,0.237,0,24.361,0.0,SL
128,2.6,186,54.50899999999999,0.23800000000000002,0,23.329,0.0,SL
129,2.62,188,54.466,0.24100000000000002,0,22.469,0.061,SL
