,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,6,3.64,1.42,,41.88,,R
1,0.02,52,3.41,0.3,,39.13,,R
2,0.03,187,2.73,0.0,,37.91,,R
3,0.04,220,2.73,0.0,,36.69,,R
4,0.05,144,2.73,0.0,,52.06,,R
5,0.06,107,2.43,0.22,,52.59,,R
6,0.07,68,2.2,0.0,,54.05,,R
7,0.08,44,3.79,0.0,,54.28,,R
8,0.09,39,12.92,0.0,,47.08,,R
9,0.1,113,30.49,0.3,,65.99,,R
10,0.11,145,26.99,0.07,,79.03,,R
11,0.12,107,32.39,0.0,,70.21,,R
12,0.13,91,35.28,0.22,,70.82,,R
13,0.14,91,35.28,0.22,,70.82,,R
14,0.15,104,35.43,0.3,,74.04,,R
15,0.16,110,34.75,0.0,,72.35,,R
16,0.17,104,35.28,0.15,,79.56,,R
17,0.18,75,35.66,0.22,,74.81,,R
18,0.19,76,32.54,0.15,,72.43,,R
19,0.2,73,35.43,0.15,,74.66,,R
20,0.21,64,34.67,0.0,,66.3,,R
21,0.22,72,34.06,0.0,,71.97,,R
22,0.23,79,34.75,0.0,,74.58,,R
23,0.24,91,33.61,0.0,,88.16,,R
24,0.25,101,33.3,0.22,,94.84,,R
25,0.26,96,32.62,0.3,,85.24,,R
26,0.27,98,33.99,0.0,,82.86,,R
27,0.28,93,33.76,0.0,,81.17,,R
28,0.29,91,35.28,0.07,,85.55,,R
29,0.3,91,35.28,0.07,,85.55,,R
30,0.31,87,1.01,0.22,,84.24,,R
31,0.32,101,33.68,0.3,,84.24,,R
32,0.33,87,33.91,0.3,,83.25,,R
33,0.34,76,34.22,0.0,,80.33,,R
34,0.35,96,33.45,0.0,,82.4,,R
35,0.36,85,34.6,0.07,,0.0,,R
36,0.37,85,35.43,0.0,,81.25,,R
37,0.38,69,33.76,0.0,,74.96,,R
38,0.39,72,34.82,0.3,,81.25,,R
39,0.4,68,32.31,0.0,,78.18,,R
40,0.41,65,33.53,0.0,,76.11,,R
41,0.42,79,34.6,0.0,,77.88,,R
42,0.43,89,32.24,0.0,,77.57,,R
43,0.44,83,32.69,0.0,,76.57,,R
44,0.45,87,34.06,0.0,,78.8,,R
45,0.46,87,33.45,0.0,,79.1,,R
46,0.47,87,33.45,0.0,,79.1,,R
47,0.48,96,32.69,0.0,,81.25,,R
48,0.49,75,33.91,0.0,,78.03,,R
49,0.5,85,33.38,0.0,,74.58,,R
50,0.51,89,33.07,0.0,,78.64,,R
51,0.52,76,33.91,0.0,,76.34,,R
52,0.53,79,33.61,0.0,,72.89,,R
53,0.54,96,32.92,0.0,,78.72,,R
54,0.55,101,33.23,0.07,,77.88,,R
55,0.56,101,32.92,0.0,,80.25,,R
56,0.57,121,32.54,0.0,,74.66,,R
57,0.58,107,32.54,0.0,,76.88,,R
58,0.59,117,32.77,0.0,,77.49,,R
59,0.6,125,32.85,0.0,,78.11,,R
60,0.61,107,32.69,0.07,,79.72,,R
61,0.62,121,32.77,0.0,,79.41,,R
62,0.63,129,34.75,0.0,,83.09,,R
63,0.64,129,34.75,0.0,,83.09,,R
64,0.65,139,31.02,0.0,,78.11,,R
65,0.66,104,34.44,0.0,,81.25,,R
66,0.67,125,33.3,0.07,,76.11,,R
67,0.68,121,32.77,0.0,,76.34,,R
68,0.69,129,31.78,0.0,,80.18,,R
69,0.7,134,32.62,0.0,,77.49,,R
70,0.71,139,31.48,0.0,,78.72,,R
71,0.72,150,31.86,0.0,,78.8,,R
72,0.73,150,30.79,0.0,,80.87,,R
73,0.74,89,36.35,0.0,,65.76,,R
74,0.75,72,0.58,0.0,,64.69,,R
75,0.76,56,36.35,0.07,,63.39,,R
76,0.77,9,2.13,0.82,,36.46,,R
77,0.78,534,2.96,0.6,,35.85,,R
78,0.79,621,2.96,0.6,,36.38,,R
79,0.8,748,3.11,0.6,,37.76,,R
80,0.81,623,3.03,0.6,,39.97,,R
81,0.82,623,3.03,0.6,,39.97,,R
82,0.83,234,3.49,0.6,,50.37,,R
83,0.84,129,29.27,0.6,,60.4,,R
84,0.85,288,28.81,0.6,,81.1,,R
85,0.86,170,31.7,0.6,,70.67,,R
86,0.87,156,30.79,0.75,,75.88,,R
87,0.88,144,30.79,0.6,,73.12,,R
88,0.89,129,32.16,0.9,,69.21,,R
89,0.9,139,31.55,0.6,,69.29,,R
90,0.91,129,33.23,0.6,,69.14,,R
91,0.92,117,33.61,0.82,,75.35,,R
92,0.93,121,33.76,0.9,,72.2,,R
93,0.94,121,33.61,0.9,,73.12,,R
94,0.95,121,33.15,0.67,,72.51,,R
95,0.96,110,33.07,0.6,,74.2,,R
96,0.97,107,32.69,0.9,,72.43,,R
97,0.98,139,32.54,0.6,,74.04,,R
98,0.99,139,32.54,0.6,,74.04,,R
99,1.0,101,32.92,0.9,,75.42,,R
100,1.01,117,33.07,0.9,,73.27,,R
101,1.02,113,32.62,0.9,,72.35,,R
102,1.03,107,33.53,0.9,,70.82,,R
103,1.04,107,33.23,0.6,,71.51,,R
104,1.05,96,34.06,0.9,,69.67,,R
105,1.06,85,35.74,0.6,,78.18,,R
106,1.07,107,33.99,0.6,,73.35,,R
107,1.08,76,35.43,0.6,,69.75,,R
108,1.09,68,30.41,0.75,,63.39,,R
109,1.1,29,35.05,0.6,,58.1,,R
110,1.11,1,37.87,0.6,,58.1,,R
111,1.12,35,36.5,0.6,,59.1,,R
112,1.13,34,32.54,0.82,,62.24,,R
113,1.14,38,32.62,0.9,,70.98,,R
114,1.15,58,33.07,0.6,,62.55,,R
115,1.16,58,33.07,0.6,,62.55,,R
116,1.17,47,31.1,0.6,,59.33,,R
117,1.18,45,30.79,0.6,,66.3,,R
118,1.19,55,31.02,0.6,,61.09,,R
119,1.2,57,28.66,0.6,,62.47,,R
120,1.21,61,30.34,0.6,,61.09,,R
121,1.22,76,27.6,0.6,,64.38,,R
122,1.23,72,29.65,0.6,,62.62,,R
123,1.24,93,28.97,0.6,,67.68,,R
124,1.25,79,30.34,0.6,,68.22,,R
125,1.26,85,29.19,0.6,,63.7,,R
126,1.27,83,29.42,0.6,,62.7,,R
127,1.28,83,28.59,0.6,,66.3,,R
128,1.29,73,29.8,0.6,,65.0,,R
129,1.3,93,26.3,0.6,,72.81,,R
130,1.31,79,29.5,0.6,,59.48,,R
131,1.32,79,29.5,0.6,,59.48,,R
132,1.33,1,30.64,0.6,,68.98,,R
133,1.34,89,29.88,0.6,,66.3,,R
134,1.35,83,29.73,0.6,,61.7,,R
135,1.36,79,29.27,0.6,,60.1,,R
136,1.37,79,29.73,0.6,,64.15,,R
137,1.38,75,29.57,0.6,,62.39,,R
138,1.39,72,29.57,0.6,,63.39,,R
139,1.4,76,29.8,0.6,,66.38,,R
140,1.41,85,29.96,0.6,,63.31,,R
141,1.42,70,29.96,0.6,,66.22,,R
142,1.43,72,29.35,0.6,,63.01,,R
143,1.44,64,29.35,0.6,,59.41,,R
144,1.45,75,30.34,0.6,,60.94,,R
145,1.46,70,29.5,0.6,,61.63,,R
146,1.47,75,30.11,0.6,,62.93,,R
147,1.48,87,29.88,0.6,,60.55,,R
148,1.49,87,29.88,0.6,,60.55,,R
149,1.5,73,29.27,0.6,,60.55,,R
150,1.51,87,28.43,0.6,,61.4,,R
151,1.52,72,29.73,0.6,,60.94,,R
152,1.53,69,30.79,0.6,,60.94,,R
153,1.54,65,32.01,0.6,,71.36,,R
154,1.55,62,31.17,0.6,,70.36,,R
155,1.56,56,32.47,0.6,,68.83,,R
156,1.57,52,31.63,0.6,,62.01,,R
157,1.58,52,31.48,0.6,,64.0,,R
158,1.59,63,29.5,0.6,,67.53,,R
159,1.6,52,31.48,0.6,,68.22,,R
160,1.61,57,31.78,0.6,,64.69,,R
161,1.62,65,32.54,0.6,,67.3,,R
162,1.63,75,33.38,0.6,,64.77,,R
163,1.64,83,33.3,0.6,,81.56,,R
164,1.65,85,28.36,0.6,,79.64,,R
165,1.66,85,28.36,0.6,,79.64,,R
166,1.67,91,26.99,0.6,,80.56,,R
167,1.68,51,35.81,0.6,,77.57,,R
168,1.69,61,33.23,0.6,,74.35,,R
169,1.7,48,32.54,0.6,,72.35,,R
170,1.71,56,35.51,0.6,,67.91,,R
171,1.72,45,32.39,0.6,,65.38,,R
172,1.73,50,33.38,0.6,,68.29,,R
173,1.74,45,32.77,0.6,,67.14,,R
174,1.75,40,33.61,0.6,,64.61,,R
175,1.76,43,33.3,0.6,,65.53,,R
176,1.77,44,32.31,0.6,,68.68,,R
177,1.78,44,32.47,0.6,,65.15,,R
178,1.79,50,30.26,0.6,,64.61,,R
179,1.8,50,30.26,0.6,,64.61,,R
180,1.81,45,32.62,0.6,,67.22,,R
181,1.82,40,32.16,0.6,,61.47,,R
182,1.83,37,32.62,0.52,,65.46,,R
183,1.84,46,31.55,0.6,,65.46,,R
184,1.85,45,33.3,0.6,,63.24,,R
185,1.86,44,35.89,0.52,,0.0,,R
186,1.87,41,33.84,0.6,,63.47,,R
187,1.88,49,33.45,0.6,,61.63,,R
188,1.89,37,30.56,0.6,,61.4,,R
189,1.9,33,32.62,0.6,,63.47,,R
190,1.91,31,33.0,0.6,,62.09,,R
191,1.92,32,32.69,0.6,,60.4,,R
192,1.93,28,32.69,0.6,,61.24,,R
193,1.94,28,33.0,-0.29,,61.63,,R
194,1.95,27,32.77,0.15,,66.38,,R
195,1.96,30,33.07,0.0,,65.76,,R
196,1.97,30,33.07,0.0,,65.76,,R
197,1.98,38,29.5,0.0,,66.84,,R
198,1.99,31,33.23,0.0,,64.46,,R
199,2.0,32,32.31,0.0,,64.69,,R
200,2.01,36,33.07,0.0,,64.08,,R
201,2.02,38,32.16,0.0,,64.77,,R
202,2.03,37,31.78,0.0,,62.32,,R
203,2.04,34,33.07,0.0,,66.76,,R
204,2.05,31,32.24,0.0,,62.09,,R
205,2.06,34,31.63,0.0,,62.24,,R
206,2.07,33,32.16,0.0,,60.78,,R
207,2.08,34,33.0,0.0,,60.71,,R
208,2.09,32,33.15,0.0,,66.76,,R
209,2.1,33,32.77,0.0,,63.62,,R
210,2.11,34,33.15,0.0,,63.77,,R
211,2.12,26,33.53,0.0,,0.0,,R
212,2.13,26,33.53,0.0,,0.0,,R
213,2.14,25,34.52,0.0,,65.92,,R
214,2.15,29,31.93,0.0,,65.69,,R
215,2.16,26,32.54,0.0,,59.18,,R
216,2.17,30,31.55,0.0,,71.28,,R
217,2.18,27,32.47,0.0,,64.23,,R
218,2.19,22,32.92,0.0,,59.64,,R
219,2.2,25,31.02,0.0,,71.44,,R
220,2.21,22,32.47,0.0,,62.24,,R
221,2.22,24,32.85,0.0,,63.39,,R
222,2.23,29,29.35,0.07,,65.92,,R
223,2.24,19,34.67,0.0,,61.93,,R
224,2.25,16,32.47,0.0,,68.83,,R
225,2.26,19,29.8,0.0,,63.47,,R
226,2.27,21,33.91,0.0,,62.47,,R
227,2.28,21,34.98,0.0,,61.32,,R
228,2.29,19,34.67,0.0,,65.61,,R
229,2.3,19,34.67,0.0,,65.61,,R
230,2.31,21,34.75,0.0,,61.4,,R
231,2.32,22,34.82,0.0,,63.77,,R
232,2.33,18,34.14,0.0,,65.53,,R
233,2.34,23,33.84,0.0,,60.48,,R
234,2.35,26,35.21,0.0,,60.4,,R
235,2.36,33,34.98,0.0,,64.69,,R
236,2.37,30,30.26,0.0,,68.29,,R
237,2.38,22,33.76,0.0,,67.3,,R
238,2.39,24,35.05,0.0,,65.76,,R
239,2.4,35,36.04,0.0,,68.06,,R
240,2.41,26,37.64,0.0,,69.29,,R
241,2.42,24,35.05,0.0,,68.91,,R
242,2.43,24,34.14,0.0,,66.99,,R
243,2.44,24,34.29,0.0,,61.01,,R
244,2.45,26,34.22,0.0,,61.86,,R
245,2.46,22,34.22,0.0,,67.76,,R
246,2.47,22,34.22,0.0,,67.76,,R
247,2.48,23,34.75,0.0,,64.84,,R
248,2.49,25,34.82,0.0,,62.78,,R
249,2.5,26,33.76,0.0,,62.24,,R
250,2.51,26,34.37,0.0,,65.3,,R
251,2.52,22,34.06,0.0,,59.71,,R
252,2.53,20,34.9,0.0,,62.85,,R
253,2.54,23,35.05,0.0,,61.09,,R
254,2.55,24,34.22,0.0,,63.62,,R
255,2.56,21,34.9,0.0,,61.4,,R
256,2.57,26,33.0,0.0,,61.47,,R
257,2.58,24,34.9,0.0,,61.7,,R
258,2.59,26,33.84,0.0,,60.48,,R
259,2.6,23,35.36,0.0,,66.38,,R
260,2.61,33,32.47,0.0,,64.84,,R
261,2.62,26,35.66,0.0,,61.93,,R
262,2.63,26,35.66,0.0,,61.93,,R
263,2.64,24,33.45,0.0,,65.61,,R
264,2.65,25,33.68,0.0,,67.83,,R
265,2.66,26,34.6,0.0,,61.93,,R
266,2.67,26,34.37,0.0,,63.85,,R
267,2.68,24,34.9,0.0,,65.99,,R
268,2.69,29,33.07,0.0,,66.07,,R
269,2.7,22,34.6,0.0,,64.38,,R
270,2.71,25,33.3,0.0,,65.15,,R
271,2.72,23,35.05,0.0,,62.7,,R
272,2.73,24,34.82,0.0,,66.3,,R
273,2.74,25,35.05,0.0,,64.69,,R
274,2.75,24,35.28,0.0,,64.77,,R
275,2.76,27,34.98,0.0,,64.77,,R
276,2.77,27,33.38,0.0,,62.62,,R
277,2.78,22,34.37,0.0,,63.77,,R
278,2.79,26,34.67,0.0,,64.0,,R
279,2.8,26,34.67,0.0,,64.0,,R
280,2.81,26,32.85,0.0,,64.38,,R
281,2.82,25,34.06,0.0,,68.52,,R
282,2.83,13,35.66,0.0,,50.76,,R
283,2.84,121,3.79,0.22,,54.89,,R
284,2.85,89,30.41,0.0,,77.26,,R
285,2.86,89,30.41,0.0,,77.26,,R
286,2.87,25,34.44,0.07,,67.6,,R
287,2.88,26,34.44,0.6,,62.01,,R
288,2.89,29,34.9,0.3,,62.85,,R
289,2.9,26,35.36,0.52,,65.0,,R
290,2.91,35,35.97,0.0,,67.3,,R
291,2.92,30,33.07,0.6,,71.59,,R
292,2.93,37,33.84,0.6,,69.06,,R
293,2.94,27,35.05,0.37,,61.7,,R
294,2.95,25,35.28,0.3,,61.17,,R
295,2.96,23,35.05,0.07,,60.48,,R
296,2.97,26,34.52,0.37,,63.7,,R
297,2.98,33,34.75,0.6,,63.85,,R
298,2.99,27,34.67,0.6,,62.55,,R
299,3.0,25,35.28,0.6,,60.94,,R
300,3.01,28,35.97,0.3,,68.68,,R
301,3.02,35,35.21,0.52,,62.93,,R
302,3.03,35,35.21,0.52,,62.93,,R
303,3.04,27,36.12,0.0,,65.3,,R
304,3.05,21,33.61,0.0,,63.62,,R
305,3.06,24,35.05,0.0,,64.38,,R
306,3.07,23,34.37,0.3,,66.3,,R
307,3.08,24,34.6,0.3,,67.45,,R
308,3.09,26,35.13,0.3,,63.39,,R
309,3.1,32,35.13,0.3,,66.3,,R
310,3.11,27,34.52,0.52,,61.78,,R
311,3.12,31,33.99,0.6,,68.22,,R
312,3.13,28,34.98,0.6,,64.77,,R
313,3.14,26,34.82,0.0,,60.55,,R
314,3.15,24,33.68,0.37,,67.37,,R
315,3.16,27,34.75,0.3,,64.84,,R
316,3.17,21,34.98,0.0,,73.27,,R
317,3.18,24,34.98,0.3,,67.3,,R
318,3.19,26,35.05,0.0,,66.07,,R
319,3.2,26,35.05,0.0,,66.07,,R
320,3.21,29,33.68,0.52,,72.58,,R
321,3.22,32,33.07,0.07,,70.98,,R
322,3.23,23,34.22,0.0,,62.24,,R
323,3.24,34,33.99,0.0,,65.76,,R
324,3.25,29,33.38,0.6,,61.47,,R
325,3.26,27,35.21,0.0,,61.4,,R
326,3.27,33,35.36,0.6,,58.33,,R
327,3.28,41,34.37,0.0,,63.31,,R
328,3.29,35,34.6,0.3,,61.32,,R
329,3.3,30,34.82,0.0,,65.3,,R
330,3.31,36,33.23,0.0,,67.14,,R
331,3.32,40,33.07,0.37,,65.38,,R
332,3.33,37,31.4,0.52,,69.06,,R
333,3.34,26,33.61,0.0,,64.15,,R
334,3.35,54,34.44,0.3,,73.2,,R
335,3.36,54,34.44,0.3,,73.2,,R
336,3.37,22,0.0,0.0,,63.31,,R
337,3.38,32,34.75,0.0,,66.61,,R
338,3.39,43,34.29,0.45,,67.91,,R
339,3.4,31,34.82,0.3,,64.54,,R
340,3.41,36,35.13,0.15,,67.3,,R
341,3.42,28,35.05,0.22,,65.23,,R
342,3.43,28,34.75,0.07,,61.09,,R
343,3.44,29,34.67,0.6,,65.53,,R
344,3.45,30,34.75,0.3,,60.78,,R
345,3.46,25,35.21,0.15,,62.47,,R
346,3.47,27,34.67,0.0,,62.09,,R
347,3.48,26,35.13,0.0,,62.39,,R
348,3.49,31,34.6,0.0,,66.07,,R
349,3.5,27,34.67,0.37,,63.77,,R
350,3.51,25,34.75,0.0,,61.86,,R
351,3.52,32,35.43,0.0,,0.0,,R
352,3.53,32,35.43,0.0,,0.0,,R
353,3.54,31,34.98,0.0,,64.0,,R
354,3.55,30,33.99,0.3,,68.37,,R
355,3.56,32,34.82,0.37,,68.98,,R
356,3.57,25,34.75,0.6,,75.5,,R
357,3.58,30,34.22,0.0,,75.35,,R
358,3.59,30,34.14,0.0,,73.89,,R
359,3.6,35,34.98,0.3,,77.65,,R
360,3.61,46,32.39,0.6,,103.14,,R
361,3.62,69,32.62,0.3,,91.08,,R
362,3.63,61,32.77,0.3,,111.45,,R
363,3.64,85,32.24,0.0,,120.3,,R
364,3.65,93,31.48,0.6,,126.3,,R
365,3.66,83,32.39,0.22,,111.83,,R
366,3.67,62,33.15,0.6,,105.91,,R
367,3.68,34,34.06,1.2,,103.91,,R
368,3.69,14,34.37,0.0,,69.14,,R
369,3.7,14,34.37,0.0,,69.14,,R
370,3.71,14,34.82,0.6,,72.35,,R
371,3.72,10,34.22,0.6,,85.09,,R
372,3.73,10,34.37,0.3,,81.02,,R
373,3.74,197,3.57,0.3,,78.18,,R
374,3.75,42,33.23,0.15,,114.6,,R
375,3.76,150,33.38,0.6,,102.45,,R
376,3.77,24,33.3,0.6,,99.45,,R
377,3.78,34,33.84,0.6,,97.22,,R
378,3.79,39,32.62,0.3,,101.91,,R
379,3.8,43,33.84,0.9,,113.6,,R
380,3.81,32,32.09,0.3,,63.85,,R
381,3.82,17,35.43,0.0,,54.43,,R
382,3.83,14,35.05,0.6,,66.45,,R
383,3.84,19,36.12,0.6,,68.06,,R
384,3.85,21,30.64,0.0,,71.44,,R
385,3.86,19,33.0,0.15,,66.76,,R
386,3.87,17,33.15,0.6,,68.37,,R
387,3.88,39,38.02,0.15,,73.2,,R
388,3.89,16,33.38,0.07,,61.32,,R
389,3.9,16,33.38,0.07,,61.32,,R
390,3.91,32,31.4,0.22,,67.68,,R
391,3.92,33,35.28,0.6,,64.15,,R
392,3.93,23,35.89,0.0,,59.79,,R
393,3.94,17,34.37,0.6,,56.8,,R
394,3.95,22,34.6,0.6,,57.34,,R
395,3.96,19,34.14,0.0,,56.65,,R
396,3.97,17,34.22,0.6,,58.56,,R
397,3.98,18,33.99,0.6,,60.4,,R
398,3.99,20,34.44,0.37,,66.99,,R
399,4.0,20,33.76,0.6,,58.41,,R
400,4.01,20,36.35,0.6,,61.09,,R
401,4.02,56,42.82,0.6,,74.96,,R
402,4.03,42,30.26,0.0,,108.52,,R
403,4.04,34,30.72,0.6,,100.99,,R
404,4.05,16,23.87,0.0,,100.3,,R
405,4.06,14,38.17,0.45,,89.62,,R
406,4.07,14,38.17,0.45,,89.62,,R
407,4.08,17,30.03,0.6,,120.45,,R
408,4.09,12,31.32,0.15,,0.0,,R
409,4.1,41,37.41,0.6,,76.65,,R
410,4.11,30,29.5,0.3,,77.72,,R
411,4.12,26,30.94,0.22,,83.25,,R
412,4.13,19,34.29,0.6,,77.03,,R
413,4.14,32,34.75,0.6,,69.9,,R
414,4.15,25,33.3,0.6,,65.61,,R
415,4.16,27,33.91,0.3,,66.91,,R
416,4.17,25,33.68,0.6,,56.88,,R
417,4.18,39,35.81,0.37,,61.86,,R
418,4.19,21,33.91,0.6,,58.18,,R
419,4.2,23,34.37,0.0,,58.33,,R
420,4.21,22,34.52,0.3,,60.63,,R
421,4.22,25,34.29,0.37,,62.78,,R
422,4.23,28,34.6,0.22,,63.7,,R
423,4.24,28,34.6,0.22,,63.7,,R
424,4.25,25,35.05,0.22,,68.29,,R
