,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,8.0,15.78,1.74,,5.17,,R
1,0.02,8.0,15.78,1.74,,5.17,,R
2,0.03,57.0,16.17,0.68,,6.24,,R
3,0.04,58.0,15.94,2.12,,6.54,,R
4,0.05,51.0,16.55,1.51,,7.84,,R
5,0.06,60.0,16.17,2.49,,7.84,,R
6,0.07,59.0,16.32,2.27,,7.68,,R
7,0.08,59.0,16.01,2.19,,6.62,,R
8,0.09,66.0,16.24,1.81,,7.53,,R
9,0.1,67.0,16.47,1.81,,7.0,,R
10,0.11,72.0,16.17,1.44,,6.69,,R
11,0.12,72.0,16.24,2.04,,4.64,,R
12,0.13,70.0,16.55,1.89,,2.74,,R
13,0.14,68.0,16.32,1.51,,0.53,,R
14,0.15,48.0,16.17,1.51,,4.79,,R
15,0.16,42.0,16.32,0.68,,12.56,,R
16,0.17,39.0,16.32,1.06,,9.67,,R
17,0.18,42.0,15.94,1.58,,10.05,,R
18,0.19,37.0,16.09,1.29,,5.17,,R
19,0.2,38.0,16.09,1.89,,2.74,,R
20,0.21,39.0,15.94,1.44,,6.69,,R
21,0.22,39.0,15.94,1.44,,6.69,,R
22,0.23,37.0,16.78,1.81,,4.33,,R
23,0.24,41.0,16.86,2.57,,1.9,,R
24,0.25,54.0,16.17,1.29,,-0.22,,R
25,0.26,48.0,15.78,1.58,,-0.38,,R
26,0.27,50.0,16.93,1.51,,2.21,,R
27,0.28,59.0,16.4,0.76,,0.46,,R
28,0.29,50.0,16.55,2.19,,8.45,,R
29,0.3,106.0,15.94,1.44,,1.75,,R
30,0.31,49.0,16.32,1.81,,8.9,,R
31,0.32,52.0,15.71,0.61,,2.89,,R
32,0.33,53.0,16.24,1.81,,9.67,,R
33,0.34,58.0,16.4,0.61,,5.1,,R
34,0.35,52.0,16.4,1.14,,6.92,,R
35,0.36,50.0,16.63,1.81,,7.0,,R
36,0.37,46.0,16.09,1.81,,2.51,,R
37,0.38,48.0,16.09,1.81,,0.08,,R
38,0.39,39.0,16.86,1.44,,7.0,,R
39,0.4,43.0,16.01,1.21,,10.43,,R
40,0.41,45.0,15.71,0.61,,9.28,,R
41,0.42,45.0,15.71,0.61,,9.28,,R
42,0.43,43.0,16.7,1.81,,17.21,,R
43,0.44,65.0,16.24,2.12,,0.91,,R
44,0.45,38.0,16.86,1.21,,7.0,,R
45,0.46,60.0,17.01,2.27,,3.35,,R
46,0.47,46.0,16.93,1.81,,4.64,,R
47,0.48,48.0,17.09,2.04,,0.99,,R
48,0.49,32.0,17.32,1.89,,12.79,,R
49,0.5,41.0,17.7,4.69,,11.8,,R
50,0.51,35.0,17.32,2.72,,9.82,,R
51,0.52,44.0,17.09,2.87,,8.22,,R
52,0.53,37.0,16.86,2.95,,8.37,,R
53,0.54,50.0,17.16,2.72,,9.67,,R
54,0.55,38.0,16.63,2.57,,4.49,,R
55,0.56,43.0,16.32,0.61,,10.05,,R
56,0.57,39.0,16.17,1.74,,20.18,,R
57,0.58,65.0,15.78,1.36,,18.35,,R
58,0.59,37.0,15.25,1.66,,-18.4,,R
59,0.6,26.0,16.78,0.61,,-8.74,,R
60,0.61,33.0,18.62,1.58,,-10.26,,R
61,0.62,33.0,18.62,1.58,,-10.26,,R
62,0.63,39.0,18.62,4.46,,20.56,,R
63,0.64,75.0,19.01,1.51,,21.25,,R
64,0.65,37.0,18.7,0.83,,18.28,,R
65,0.66,44.0,18.7,0.83,,14.69,,R
66,0.67,49.0,18.7,1.14,,15.0,,R
67,0.68,31.0,18.7,1.29,,11.72,,R
68,0.69,22.0,19.01,0.98,,14.62,,R
69,0.7,13.0,18.7,2.34,,14.85,,R
70,0.71,14.0,19.24,2.04,,9.06,,R
71,0.72,11.0,19.24,2.27,,11.87,,R
72,0.73,13.0,19.08,0.61,,15.3,,R
73,0.74,9.0,18.7,1.81,,11.34,,R
74,0.75,9.0,18.78,0.61,,8.9,,R
75,0.76,10.0,18.7,0.61,,13.4,,R
76,0.77,11.0,18.7,1.74,,8.52,,R
77,0.78,6.0,18.93,1.14,,9.67,,R
78,0.79,7.0,19.01,0.61,,12.41,,R
79,0.8,7.0,18.7,0.61,,15.23,,R
80,0.81,12.0,18.7,0.61,,6.92,,R
81,0.82,12.0,18.7,0.61,,6.92,,R
82,0.83,10.0,18.7,0.61,,14.08,,R
83,0.84,14.0,18.7,0.61,,17.28,,R
84,0.85,21.0,18.55,0.23,,15.38,,R
85,0.86,13.0,18.31,0.3,,7.91,,R
86,0.87,13.0,18.31,0.3,,7.91,,R
87,0.88,26.0,18.47,0.61,,14.77,,R
88,0.89,15.0,18.39,0.61,,13.47,,R
89,0.9,28.0,18.39,0.23,,15.23,,R
90,0.91,19.0,18.39,0.3,,12.56,,R
91,0.92,38.0,18.39,0.38,,10.12,,R
92,0.93,23.0,18.24,0.61,,8.98,,R
93,0.94,59.0,18.39,0.0,,12.71,,R
94,0.95,29.0,18.24,0.3,,23.92,,R
95,0.96,64.0,17.78,0.0,,20.33,,R
96,0.97,39.0,18.08,0.23,,8.29,,R
97,0.98,59.0,18.39,0.3,,9.13,,R
98,0.99,30.0,18.08,0.3,,13.63,,R
99,1.0,48.0,18.24,0.61,,8.52,,R
100,1.01,38.0,17.62,0.3,,13.02,,R
101,1.02,75.0,18.24,0.61,,7.0,,R
102,1.03,32.0,17.78,0.3,,12.18,,R
103,1.04,54.0,18.39,0.15,,12.48,,R
104,1.05,35.0,17.78,0.3,,11.26,,R
105,1.06,65.0,17.78,0.3,,13.86,,R
106,1.07,65.0,17.78,0.3,,13.86,,R
107,1.08,42.0,18.08,0.61,,13.09,,R
108,1.09,45.0,18.08,0.61,,10.35,,R
109,1.1,39.0,17.78,0.61,,14.16,,R
110,1.11,37.0,18.31,0.38,,10.5,,R
111,1.12,39.0,18.39,0.45,,16.52,,R
112,1.13,61.0,17.39,0.61,,-1.21,,R
113,1.14,38.0,17.16,0.38,,21.86,,R
114,1.15,43.0,17.16,0.3,,16.22,,R
115,1.16,40.0,17.16,0.0,,1.14,,R
116,1.17,26.0,17.78,0.0,,14.69,,R
117,1.18,23.0,18.01,0.3,,12.94,,R
118,1.19,29.0,17.78,0.07,,9.36,,R
119,1.2,39.0,17.78,0.0,,7.99,,R
120,1.21,59.0,17.32,0.3,,9.36,,R
121,1.22,59.0,17.32,0.3,,9.36,,R
122,1.23,53.0,17.16,0.3,,9.51,,R
123,1.24,64.0,17.16,0.38,,12.18,,R
124,1.25,67.0,17.16,0.3,,18.2,,R
125,1.26,72.0,17.16,0.3,,14.31,,R
126,1.27,64.0,17.16,0.38,,15.46,,R
127,1.28,54.0,17.16,0.61,,11.72,,R
128,1.29,53.0,17.16,0.3,,8.98,,R
129,1.3,66.0,17.16,0.3,,9.44,,R
130,1.31,109.0,17.16,0.61,,7.53,,R
131,1.32,1.0,17.24,0.38,,8.98,,R
132,1.33,53.0,17.16,0.3,,10.96,,R
133,1.34,77.0,17.16,0.61,,8.98,,R
134,1.35,65.0,17.16,0.3,,4.11,,R
135,1.36,66.0,17.16,0.3,,10.12,,R
136,1.37,67.0,17.16,0.3,,9.44,,R
137,1.38,75.0,17.16,0.45,,9.67,,R
138,1.39,95.0,17.09,0.3,,8.52,,R
139,1.4,97.0,16.86,0.3,,8.68,,R
140,1.41,79.0,16.86,0.61,,9.44,,R
141,1.42,79.0,16.86,0.61,,9.44,,R
142,1.43,119.0,16.86,1.14,,8.07,,R
143,1.44,79.0,16.86,0.98,,8.22,,R
144,1.45,95.0,16.86,0.61,,9.06,,R
145,1.46,77.0,17.16,0.45,,6.09,,R
146,1.47,97.0,17.01,1.66,,9.74,,R
147,1.48,70.0,17.16,1.21,,8.37,,R
148,1.49,103.0,16.24,0.61,,11.8,,R
149,1.5,70.0,16.86,0.61,,8.6,,R
150,1.51,103.0,17.01,1.21,,9.28,,R
151,1.52,112.0,21.15,0.91,,6.01,,R
152,1.53,112.0,21.15,0.91,,6.01,,R
153,1.54,79.0,22.0,0.61,,13.85,,R
154,1.55,90.0,22.0,0.61,,5.32,,R
155,1.56,88.0,21.46,0.61,,8.44,,R
156,1.57,1.0,21.38,0.61,,4.1,,R
157,1.58,86.0,21.46,0.3,,8.52,,R
158,1.59,84.0,22.07,0.61,,8.52,,R
159,1.6,95.0,22.07,0.61,,11.18,,R
160,1.61,106.0,22.07,0.61,,8.82,,R
161,1.62,90.0,21.46,0.61,,10.04,,R
162,1.63,100.0,21.46,0.91,,11.49,,R
163,1.64,103.0,21.61,0.98,,9.05,,R
164,1.65,1.0,21.15,0.91,,6.61,,R
165,1.66,82.0,21.46,0.68,,7.45,,R
166,1.67,103.0,21.38,0.91,,8.37,,R
167,1.68,84.0,21.77,0.91,,8.67,,R
168,1.69,90.0,21.77,0.91,,10.04,,R
169,1.7,77.0,22.07,0.91,,11.26,,R
170,1.71,95.0,21.92,0.91,,10.8,,R
171,1.72,88.0,21.61,0.91,,9.2,,R
172,1.73,88.0,21.61,0.91,,9.2,,R
173,1.74,100.0,21.61,0.61,,8.75,,R
174,1.75,88.0,21.46,0.91,,7.68,,R
175,1.76,92.0,21.46,0.91,,8.9,,R
176,1.77,84.0,21.61,0.91,,9.43,,R
177,1.78,103.0,21.46,0.91,,8.52,,R
178,1.79,92.0,21.61,0.91,,9.81,,R
179,1.8,97.0,21.46,1.21,,11.34,,R
180,1.81,142.0,21.38,0.91,,10.35,,R
181,1.82,97.0,21.69,0.61,,7.68,,R
182,1.83,75.0,21.46,0.91,,9.28,,R
183,1.84,79.0,22.07,0.91,,10.57,,R
184,1.85,79.0,21.84,1.21,,9.05,,R
185,1.86,67.0,21.69,0.91,,8.67,,R
186,1.87,59.0,21.92,0.68,,10.27,,R
187,1.88,56.0,21.46,0.68,,7.98,,R
188,1.89,47.0,21.92,0.91,,9.58,,R
189,1.9,53.0,21.84,0.83,,10.19,,R
190,1.91,59.0,21.46,0.91,,10.95,,R
191,1.92,70.0,21.15,0.61,,7.68,,R
192,1.93,70.0,21.15,0.61,,7.68,,R
193,1.94,59.0,21.84,0.76,,6.92,,R
194,1.95,65.0,21.77,0.61,,6.54,,R
195,1.96,48.0,21.69,0.91,,6.77,,R
196,1.97,57.0,21.84,0.91,,5.93,,R
197,1.98,51.0,21.46,0.91,,7.38,,R
198,1.99,59.0,21.77,0.61,,11.26,,R
199,2.0,52.0,21.31,0.91,,6.31,,R
200,2.01,63.0,21.61,0.76,,6.61,,R
201,2.02,42.0,22.07,0.3,,8.59,,R
202,2.03,53.0,21.77,0.3,,7.3,,R
203,2.04,47.0,21.46,0.61,,12.71,,R
204,2.05,51.0,22.07,0.76,,11.18,,R
205,2.06,42.0,22.0,0.76,,11.26,,R
206,2.07,37.0,21.54,0.38,,19.34,,R
207,2.08,19.0,22.07,0.3,,14.99,,R
208,2.09,28.0,22.38,0.3,,4.94,,R
209,2.1,23.0,22.07,0.91,,10.35,,R
210,2.11,29.0,22.07,0.91,,7.91,,R
211,2.12,22.0,22.0,0.3,,6.31,,R
212,2.13,22.0,22.0,0.3,,6.31,,R
213,2.14,24.0,22.23,0.3,,8.52,,R
214,2.15,38.0,22.07,0.3,,9.81,,R
