,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,81.0,17.25,0.9,,44.99,,R
1,0.03,124.0,23.88,0.9,,68.05,,R
2,0.04,104.0,22.68,0.83,,71.96,,R
3,0.05,36.0,26.07,0.9,,63.84,,R
4,0.06,187.0,26.07,0.9,,49.05,,R
5,0.07,124.0,26.07,0.83,,48.74,,R
6,0.08,101.0,27.28,0.9,,50.27,,R
7,0.09,93.0,28.33,0.9,,61.23,,R
8,0.1,104.0,26.52,0.6,,51.19,,R
9,0.11,65.0,27.58,0.3,,48.89,,R
10,0.12,68.0,27.43,0.9,,54.64,,R
11,0.13,56.0,28.11,0.9,,56.17,,R
12,0.14,42.0,27.65,1.59,,52.65,,R
13,0.15,42.0,27.65,0.9,,55.79,,R
14,0.16,42.0,27.65,0.9,,55.79,,R
15,0.17,56.0,27.65,1.21,,54.26,,R
16,0.18,39.0,27.8,5.68,,54.49,,R
17,0.19,52.0,-1.42,1.21,,54.03,,R
18,0.2,17.0,-1.57,2.88,,58.55,,R
19,0.21,25.0,27.43,2.88,,63.76,,R
20,0.22,54.0,27.73,3.79,,64.91,,R
21,0.23,48.0,27.96,1.28,,72.73,,R
22,0.24,54.0,27.73,1.21,,72.73,,R
23,0.25,58.0,27.8,2.95,,67.44,,R
24,0.26,50.0,27.96,3.79,,65.68,,R
25,0.27,51.0,27.65,2.27,,73.27,,R
26,0.28,52.0,27.73,2.8,,79.02,,R
27,0.29,38.0,27.35,5.0,,68.05,,R
28,0.3,34.0,27.88,1.21,,75.34,,R
29,0.31,25.0,28.41,2.5,,75.49,,R
30,0.32,28.0,27.96,1.21,,77.56,,R
31,0.33,36.0,27.43,4.16,,81.7,,R
32,0.34,36.0,27.43,4.16,,81.7,,R
33,0.35,33.0,28.18,3.56,,83.85,,R
34,0.36,40.0,27.65,1.66,,77.02,,R
35,0.37,47.0,28.26,1.51,,84.0,,R
36,0.38,39.0,26.97,1.81,,74.19,,R
37,0.39,46.0,28.48,3.63,,80.01,,R
38,0.4,40.0,27.88,1.59,,81.32,,R
39,0.41,52.0,27.8,3.33,,21.33,,R
40,0.42,46.0,21.7,2.57,,28.52,,R
41,0.43,78.0,25.54,1.21,,31.36,,R
42,0.44,162.0,25.09,1.89,,35.26,,R
43,0.45,117.0,25.99,2.65,,36.49,,R
44,0.46,208.0,26.3,1.51,,34.73,,R
45,0.47,197.0,25.54,4.54,,38.94,,R
46,0.48,129.0,25.99,2.42,,38.94,,R
47,0.49,220.0,26.07,2.72,,36.41,,R
48,0.5,170.0,25.62,5.38,,41.39,,R
49,0.51,170.0,25.62,5.38,,41.39,,R
50,0.52,129.0,25.54,3.94,,35.87,,R
51,0.53,267.0,25.32,5.76,,36.49,,R
52,0.54,311.0,25.16,4.92,,37.02,,R
53,0.55,234.0,24.86,2.42,,35.19,,R
54,0.56,197.0,25.01,5.23,,36.1,,R
55,0.57,208.0,25.01,2.5,,36.56,,R
56,0.58,267.0,25.24,5.83,,37.18,,R
57,0.59,249.0,24.94,1.51,,36.41,,R
58,0.6,87.0,26.22,2.19,,40.62,,R
59,0.61,234.0,26.22,2.95,,36.18,,R
60,0.62,81.0,25.69,2.95,,37.1,,R
61,0.63,110.0,26.52,6.44,,37.64,,R
62,0.64,76.0,27.05,2.5,,37.71,,R
63,0.65,156.0,26.97,1.51,,38.32,,R
64,0.66,19.0,27.88,1.59,,29.06,,R
65,0.67,20.0,28.33,4.85,,33.04,,R
66,0.68,20.0,28.33,4.85,,33.04,,R
67,0.69,28.0,39.27,1.81,,42.54,,R
68,0.7,34.0,39.8,4.47,,37.64,,R
69,0.71,35.0,38.37,5.23,,40.93,,R
70,0.72,68.0,38.89,4.92,,42.38,,R
71,0.73,81.0,37.61,2.27,,45.68,,R
72,0.74,32.0,39.04,1.97,,47.75,,R
73,0.75,65.0,38.74,2.65,,41.92,,R
74,0.76,68.0,38.67,4.62,,43.99,,R
75,0.77,47.0,39.35,2.72,,43.46,,R
76,0.78,149.0,38.37,5.15,,43.23,,R
77,0.79,62.0,37.16,2.72,,37.33,,R
78,0.8,58.0,38.37,2.72,,40.09,,R
79,0.81,73.0,38.14,1.59,,45.22,,R
80,0.82,3000.0,38.29,2.57,,39.93,,R
81,0.83,162.0,37.08,4.01,,47.67,,R
82,0.84,104.0,37.08,1.81,,42.46,,R
83,0.85,162.0,36.18,3.03,,43.53,,R
84,0.86,162.0,36.18,3.03,,43.53,,R
85,0.87,373.0,34.59,2.42,,42.92,,R
86,0.88,746.0,31.35,2.42,,40.93,,R
87,0.89,1236.0,31.35,2.72,,40.93,,R
88,0.9,1236.0,31.35,2.72,,37.33,,R
89,0.91,1845.0,31.35,2.72,,37.33,,R
90,0.92,1550.0,31.35,2.72,,37.33,,R
91,0.93,1854.0,31.35,2.72,,37.33,,R
92,0.94,1854.0,31.35,2.72,,37.33,,R
93,0.95,1854.0,31.35,2.72,,37.33,,R
94,0.96,1240.0,27.5,2.72,,37.33,,R
95,0.97,339.0,26.82,0.68,,41.69,,R
96,0.98,415.0,26.97,0.3,,41.46,,R
97,0.99,415.0,26.97,0.3,,41.46,,R
98,1.0,931.0,26.97,0.3,,41.46,,R
99,1.01,619.0,27.05,1.21,,39.17,,R
100,1.02,931.0,27.8,1.21,,41.69,,R
101,1.03,746.0,27.8,0.3,,43.61,,R
102,1.04,533.0,29.92,1.21,,46.75,,R
103,1.05,373.0,31.12,1.21,,47.9,,R
104,1.06,170.0,33.01,1.21,,50.58,,R
105,1.07,220.0,34.52,1.21,,54.03,,R
106,1.08,249.0,35.2,0.98,,52.65,,R
107,1.09,220.0,35.12,1.21,,51.73,,R
108,1.1,138.0,36.63,1.21,,59.93,,R
109,1.11,208.0,35.95,0.68,,55.79,,R
110,1.12,156.0,36.48,0.75,,57.78,,R
111,1.13,170.0,35.88,1.97,,58.01,,R
112,1.14,1.0,36.25,2.72,,59.08,,R
113,1.15,178.0,36.63,2.42,,54.41,,R
114,1.16,178.0,36.63,2.42,,54.41,,R
115,1.17,170.0,35.72,2.27,,57.63,,R
116,1.18,178.0,36.71,2.12,,55.25,,R
117,1.19,249.0,36.25,1.51,,53.64,,R
118,1.2,117.0,36.48,1.21,,57.48,,R
119,1.21,234.0,35.65,1.51,,53.64,,R
120,1.22,178.0,36.33,1.21,,65.37,,R
121,1.23,234.0,36.4,1.13,,58.93,,R
122,1.24,156.0,35.72,1.66,,61.15,,R
123,1.25,234.0,36.25,2.12,,63.38,,R
124,1.26,149.0,34.82,2.72,,57.78,,R
125,1.27,267.0,35.57,1.74,,59.47,,R
126,1.28,220.0,35.42,1.66,,62.15,,R
127,1.29,156.0,36.33,1.51,,68.13,,R
128,1.3,220.0,36.33,1.81,,68.59,,R
129,1.31,129.0,36.63,2.34,,59.93,,R
130,1.32,187.0,35.42,2.57,,56.02,,R
131,1.33,120.0,36.86,1.21,,58.32,,R
132,1.34,120.0,36.86,1.21,,58.32,,R
133,1.35,197.0,37.31,1.51,,60.92,,R
134,1.36,133.0,37.16,1.21,,67.29,,R
135,1.37,234.0,34.97,3.25,,63.38,,R
136,1.38,16.0,34.74,0.9,,40.09,,R
137,1.39,156.0,20.87,0.6,,47.29,,R
138,1.4,249.0,21.09,1.36,,47.59,,R
139,1.41,373.0,21.17,1.21,,47.82,,R
140,1.42,234.0,21.17,0.98,,49.89,,R
141,1.43,374.0,21.17,0.9,,50.96,,R
142,1.44,374.0,21.17,0.9,,50.96,,R
143,1.45,220.0,21.17,1.21,,51.35,,R
144,1.46,340.0,21.17,0.75,,50.96,,R
145,1.47,249.0,21.24,1.43,,53.72,,R
