,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,63,12.91,1.82,,35.87,,R
1,0.02,177,13.44,1.82,,34.19,,R
2,0.03,465,13.75,1.82,,35.33,,R
3,0.04,465,13.75,1.82,,35.33,,R
4,0.05,143,12.53,1.82,,34.34,,R
5,0.06,414,11.61,1.82,,35.1,,R
6,0.07,215,12.53,1.82,,34.26,,R
7,0.08,207,12.53,1.82,,34.57,,R
8,0.09,149,12.53,1.82,,35.26,,R
9,0.1,149,12.53,1.82,,35.26,,R
10,0.11,219,12.45,1.82,,36.94,,R
11,0.12,465,13.83,1.82,,50.7,,R
12,0.13,207,12.22,1.82,,35.33,,R
13,0.14,174,8.86,1.82,,34.03,,R
14,0.15,100,9.54,1.82,,42.06,,R
15,0.16,1,8.93,1.82,,59.81,,R
16,0.17,155,9.31,1.82,,36.94,,R
17,0.18,155,9.31,1.82,,36.94,,R
18,0.19,169,9.31,1.82,,38.24,,R
19,0.2,1,9.7,1.82,,40.68,,R
20,0.21,149,9.77,1.82,,43.74,,R
21,0.22,100,10.38,1.82,,47.26,,R
22,0.23,177,10.38,1.82,,48.03,,R
23,0.24,129,11.23,1.82,,56.14,,R
24,0.25,79,11.3,1.82,,60.5,,R
25,0.26,133,11.91,1.82,,67.32,,R
26,0.27,133,11.91,1.82,,67.32,,R
27,0.28,1,11.91,1.82,,66.17,,R
28,0.29,155,12.45,1.82,,71.3,,R
29,0.3,81,12.6,1.82,,68.08,,R
30,0.31,155,12.75,1.82,,79.43,,R
31,0.32,83,13.29,1.82,,68.39,,R
32,0.33,286,13.29,1.82,,71.07,,R
33,0.34,67,13.37,1.82,,76.52,,R
34,0.35,149,14.06,1.82,,83.34,,R
35,0.36,74,14.97,1.82,,84.64,,R
36,0.37,149,14.36,1.82,,90.4,,R
37,0.38,77,14.44,1.82,,91.32,,R
38,0.39,143,14.36,1.82,,86.26,,R
39,0.4,83,13.98,1.82,,83.42,,R
40,0.41,196,13.98,1.82,,80.27,,R
41,0.42,196,13.98,1.82,,80.27,,R
42,0.43,84,14.06,1.82,,76.44,,R
43,0.44,169,13.37,1.82,,81.73,,R
44,0.45,82,14.82,1.82,,73.6,,R
45,0.46,177,14.97,1.82,,79.05,,R
46,0.47,83,15.05,1.82,,77.28,,R
47,0.48,143,15.36,1.82,,78.28,,R
48,0.49,95,14.28,1.82,,83.26,,R
49,0.5,177,13.98,1.82,,81.12,,R
50,0.51,155,13.98,1.82,,76.44,,R
51,0.52,194,14.74,1.82,,79.58,,R
52,0.53,127,14.21,1.82,,83.72,,R
53,0.54,127,14.21,1.82,,83.72,,R
54,0.55,81,14.06,1.82,,75.44,,R
55,0.56,212,13.37,1.82,,77.67,,R
56,0.57,93,13.75,1.82,,73.3,,R
57,0.58,388,13.52,1.82,,79.2,,R
58,0.59,388,13.52,1.82,,79.2,,R
59,0.6,113,12.83,1.82,,74.68,,R
60,0.61,207,12.6,1.82,,68.7,,R
61,0.62,106,13.29,1.82,,63.11,,R
62,0.63,162,13.52,1.82,,60.2,,R
63,0.64,91,13.44,1.82,,59.51,,R
64,0.65,207,12.83,1.82,,58.74,,R
65,0.66,202,14.21,1.82,,64.02,,R
66,0.67,202,14.21,1.82,,64.02,,R
67,0.68,106,11.53,1.82,,63.49,,R
68,0.69,126,11.3,1.82,,64.41,,R
69,0.7,98,11.0,1.82,,70.0,,R
70,0.71,207,10.38,1.82,,67.93,,R
71,0.72,82,9.01,1.82,,72.38,,R
72,0.73,138,8.86,1.82,,77.74,,R
73,0.74,67,9.47,1.82,,77.9,,R
74,0.75,120,10.08,1.82,,79.12,,R
75,0.76,73,10.38,1.82,,83.26,,R
76,0.77,128,11.0,1.82,,83.19,,R
77,0.78,64,11.0,1.82,,88.33,,R
78,0.79,64,11.0,1.82,,88.33,,R
79,0.8,143,11.3,1.82,,87.18,,R
80,0.81,67,12.14,1.82,,84.26,,R
81,0.82,141,12.45,1.82,,83.11,,R
82,0.83,60,12.53,1.82,,93.85,,R
83,0.84,207,12.91,1.82,,83.34,,R
84,0.85,77,12.53,1.82,,92.17,,R
85,0.86,186,12.83,1.82,,98.77,,R
86,0.87,82,12.91,1.82,,97.08,,R
87,0.88,138,13.6,1.82,,99.61,,R
88,0.89,93,13.75,1.82,,101.15,,R
89,0.9,93,13.75,1.82,,101.15,,R
90,0.91,143,13.6,1.82,,102.84,,R
91,0.92,106,13.44,1.82,,103.76,,R
92,0.93,86,11.99,1.82,,95.47,,R
93,0.94,15,8.86,1.82,,31.51,,R
94,0.95,155,9.16,1.82,,31.59,,R
95,0.96,145,10.0,1.82,,32.66,,R
96,0.97,233,10.08,1.82,,34.11,,R
97,0.98,128,10.38,1.82,,35.03,,R
98,0.99,3000,10.38,1.82,,35.49,,R
99,1.0,128,10.38,1.82,,34.42,,R
100,1.01,291,10.92,1.82,,35.79,,R
101,1.02,291,10.92,1.82,,35.79,,R
102,1.03,194,11.3,1.82,,37.63,,R
103,1.04,1,11.53,1.82,,39.92,,R
104,1.05,1,11.91,1.82,,44.36,,R
105,1.06,196,11.91,1.82,,46.65,,R
106,1.07,133,11.3,1.82,,43.13,,R
107,1.08,233,12.22,1.82,,43.28,,R
108,1.09,109,12.83,1.82,,55.6,,R
109,1.1,124,13.44,1.82,,54.99,,R
110,1.11,91,14.9,1.82,,60.04,,R
111,1.12,162,14.74,1.82,,67.93,,R
112,1.13,111,14.21,1.82,,76.75,,R
113,1.14,111,14.21,1.82,,76.75,,R
114,1.15,81,11.0,1.82,,83.72,,R
115,1.16,96,9.7,1.82,,84.72,,R
116,1.17,44,9.47,1.82,,82.27,,R
117,1.18,103,9.24,1.82,,85.87,,R
118,1.19,40,9.31,1.82,,79.43,,R
119,1.2,40,9.31,1.82,,79.43,,R
120,1.21,133,9.01,1.82,,82.96,,R
121,1.22,46,9.39,1.82,,80.58,,R
122,1.23,116,9.16,1.82,,81.5,,R
123,1.24,43,9.7,1.82,,78.66,,R
124,1.25,116,9.93,1.82,,74.52,,R
125,1.26,44,10.16,1.82,,75.52,,R
126,1.27,128,9.85,1.82,,75.52,,R
127,1.28,47,10.38,1.82,,73.45,,R
128,1.29,133,9.47,1.82,,83.8,,R
129,1.3,63,9.7,1.82,,75.75,,R
130,1.31,73,9.77,1.82,,77.82,,R
131,1.32,18,9.47,1.82,,64.64,,R
132,1.33,124,10.38,1.82,,75.21,,R
133,1.34,124,10.38,1.82,,75.21,,R
134,1.35,73,10.31,1.82,,72.45,,R
135,1.36,100,10.38,1.82,,68.7,,R
136,1.37,91,10.54,1.82,,68.39,,R
137,1.38,106,11.3,1.82,,62.72,,R
138,1.39,66,10.38,1.82,,66.02,,R
139,1.4,106,10.38,1.82,,68.47,,R
140,1.41,65,10.08,1.82,,64.02,,R
141,1.42,124,9.54,1.82,,64.1,,R
142,1.43,1,9.47,1.82,,61.65,,R
143,1.44,120,9.39,1.82,,63.95,,R
144,1.45,66,9.16,1.82,,62.88,,R
145,1.46,138,9.39,1.82,,62.8,,R
146,1.47,74,9.39,1.82,,59.43,,R
147,1.48,124,9.16,1.82,,60.66,,R
148,1.49,74,9.16,1.82,,59.58,,R
149,1.5,133,9.24,1.82,,60.58,,R
150,1.51,93,9.31,1.82,,58.05,,R
151,1.52,93,9.31,1.82,,58.05,,R
152,1.53,64,9.39,1.82,,57.59,,R
153,1.54,98,9.7,1.82,,56.52,,R
154,1.55,86,9.62,1.82,,57.44,,R
155,1.56,207,9.47,1.82,,57.98,,R
156,1.57,61,9.54,1.82,,59.2,,R
157,1.58,122,9.39,1.82,,60.2,,R
158,1.59,81,9.24,1.82,,60.58,,R
159,1.6,155,9.47,1.82,,59.51,,R
160,1.61,155,9.47,1.82,,59.51,,R
161,1.62,71,9.47,1.82,,60.73,,R
162,1.63,133,9.39,1.82,,64.1,,R
163,1.64,67,38.25,2.73,,85.03,,R
164,1.65,55,40.24,2.73,,84.72,,R
165,1.66,76,41.08,2.73,,86.1,,R
166,1.67,219,41.7,2.73,,90.25,,R
167,1.68,70,43.15,2.81,,88.94,,R
168,1.69,186,43.84,2.89,,92.24,,R
169,1.7,100,45.07,2.96,,84.8,,R
170,1.71,179,44.76,3.04,,87.71,,R
171,1.72,179,44.76,3.04,,87.71,,R
172,1.73,83,44.99,3.04,,94.93,,R
173,1.74,338,44.76,3.04,,90.63,,R
174,1.75,155,43.54,3.04,,94.93,,R
175,1.76,143,44.15,3.04,,96.39,,R
176,1.77,160,42.62,3.04,,94.47,,R
177,1.78,160,42.62,3.04,,94.47,,R
178,1.79,149,41.16,3.04,,96.46,,R
179,1.8,248,42.85,3.04,,91.7,,R
180,1.81,128,42.16,3.04,,94.08,,R
181,1.82,219,42.77,3.11,,95.85,,R
182,1.83,120,42.23,3.34,,94.47,,R
183,1.84,207,43.31,3.34,,94.24,,R
184,1.85,106,42.77,3.34,,93.47,,R
185,1.86,186,43.23,3.34,,94.7,,R
186,1.87,86,46.83,3.34,,87.25,,R
187,1.88,109,47.6,3.34,,88.4,,R
188,1.89,49,47.91,3.34,,88.94,,R
189,1.9,77,47.98,3.34,,89.86,,R
190,1.91,49,48.14,3.34,,91.55,,AS
191,1.92,103,48.29,3.34,,92.24,,AS
192,1.93,103,48.29,3.34,,92.24,,AS
193,1.94,35,47.45,3.34,,88.79,,AS
194,1.95,93,48.52,3.34,,89.63,,AS
195,1.96,39,46.45,3.34,,89.63,,AS
196,1.97,1,46.76,3.34,,91.93,,AS
197,1.98,32,46.53,3.34,,87.71,,AS
198,1.99,98,47.14,3.34,,90.32,,AS
199,2.0,40,47.06,3.34,,87.56,,AS
200,2.01,91,47.14,3.34,,87.79,,AS
201,2.02,21,49.82,2.12,,69.85,,AS
202,2.03,100,43.46,2.12,,90.4,,AS
203,2.04,84,44.76,2.28,,89.86,,AS
204,2.05,84,44.76,2.28,,89.86,,AS
205,2.06,1,46.68,2.43,,86.33,,AS
206,2.07,207,45.91,2.43,,88.71,,AS
207,2.08,73,46.14,2.43,,89.56,,AS
208,2.09,45,47.52,2.43,,89.71,,AS
209,2.1,103,46.45,2.58,,86.49,,AS
210,2.11,56,46.99,2.73,,81.12,,AS
211,2.12,50,47.22,3.04,,91.86,,AS
212,2.13,40,48.44,3.04,,89.4,,AS
213,2.14,28,47.06,3.34,,93.55,,AS
214,2.15,79,46.6,3.34,,94.7,,AS
215,2.16,42,48.14,3.34,,94.08,,AS
216,2.17,81,46.53,3.34,,92.24,,AS
217,2.18,65,45.07,3.34,,96.08,,AS
218,2.19,65,45.07,3.34,,96.08,,AS
219,2.2,150,45.76,3.34,,96.69,,AS
220,2.21,34,48.37,3.34,,89.56,,AS
221,2.22,65,47.45,3.34,,87.41,,AS
222,2.23,16,48.83,3.34,,86.41,,AS
223,2.24,45,46.99,3.34,,87.33,,AS
224,2.25,17,47.91,3.34,,87.79,,AS
225,2.26,45,47.83,3.34,,86.49,,AS
226,2.27,20,47.98,3.34,,88.33,,AS
227,2.28,52,47.06,3.34,,88.25,,AS
228,2.29,23,46.6,3.34,,91.55,,AS
229,2.3,67,47.29,3.34,,94.31,,AS
230,2.31,1,45.07,3.34,,99.31,,AS
231,2.32,143,45.53,3.34,,97.54,,AS
232,2.33,143,45.53,3.34,,97.54,,AS
233,2.34,16,45.3,3.65,,85.34,,AS
234,2.35,65,46.99,3.65,,87.48,,AS
235,2.36,15,48.37,3.5,,89.94,,AS
236,2.37,49,47.14,3.34,,89.02,,AS
237,2.38,13,46.6,3.34,,88.71,,AS
238,2.39,43,47.22,3.34,,86.49,,AS
239,2.4,17,47.98,3.34,,88.33,,AS
240,2.41,41,47.14,3.34,,87.1,,AS
241,2.42,14,46.83,3.34,,87.18,,AS
242,2.43,41,48.21,3.34,,86.18,,AS
243,2.44,16,46.91,3.34,,83.42,,AS
244,2.45,66,47.29,3.34,,84.87,,AS
245,2.46,3000,46.07,3.34,,86.79,,AS
246,2.47,86,46.76,3.34,,88.48,,AS
247,2.48,29,47.91,3.34,,84.87,,AS
248,2.49,43,47.22,3.34,,82.5,,AS
249,2.5,20,47.37,3.34,,84.95,,AS
250,2.51,20,47.37,3.34,,84.95,,AS
251,2.52,52,48.14,3.34,,84.72,,AS
252,2.53,32,45.53,3.34,,83.26,,AS
253,2.54,74,47.06,3.34,,83.03,,AS
254,2.55,27,44.92,3.34,,88.02,,AS
255,2.56,109,46.83,3.34,,87.56,,AS
256,2.57,41,44.84,3.34,,85.87,,AS
257,2.58,128,44.61,3.34,,86.79,,AS
258,2.59,45,46.76,3.34,,87.71,,AS
259,2.6,155,45.45,3.34,,90.94,,AS
260,2.61,63,44.61,3.34,,84.8,,AS
261,2.62,138,45.07,3.34,,84.18,,AS
262,2.63,76,44.15,3.34,,84.18,,AS
263,2.64,138,43.54,3.34,,83.65,,AS
264,2.65,138,43.54,3.34,,83.65,,AS
265,2.66,113,42.85,3.34,,85.57,,AS
266,2.67,74,43.54,3.57,,87.33,,AS
267,2.68,1,42.23,3.65,,86.41,,AS
268,2.69,97,43.46,3.65,,84.95,,AS
269,2.7,97,43.46,3.65,,84.95,,AS
270,2.71,186,41.54,3.65,,87.18,,AS
271,2.72,100,42.39,3.65,,87.41,,AS
272,2.73,219,41.47,3.65,,87.33,,AS
273,2.74,113,42.46,3.88,,87.64,,AS
274,2.75,207,40.85,3.95,,89.17,,AS
275,2.76,128,39.93,3.95,,87.79,,AS
276,2.77,338,39.4,3.95,,87.87,,AS
277,2.78,162,38.32,3.95,,87.02,,AS
