,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,55,29.13,2.72,,15.75,,R
1,0.03,90,28.6,-0.07,,19.18,,R
2,0.04,79,29.44,0.45,,20.7,,R
3,0.05,70,29.44,0.23,,33.5,,R
4,0.06,7,21.46,1.59,,19.1,,R
5,0.07,1,21.92,-0.15,,23.67,,R
6,0.08,137,23.38,0.76,,15.37,,R
7,0.09,148,25.14,0.15,,18.64,,R
8,0.1,106,25.14,-0.15,,22.22,,R
9,0.11,84,25.07,-0.15,,15.9,,R
10,0.12,70,26.06,-0.07,,21.99,,R
11,0.13,65,24.53,0.0,,14.68,,R
12,0.14,59,26.99,0.83,,19.1,,R
13,0.15,54,25.99,-0.15,,16.59,,R
14,0.16,43,27.6,-0.15,,21.92,,R
15,0.17,38,26.99,0.45,,21.46,,R
16,0.18,40,27.6,-0.15,,23.52,,R
17,0.19,49,26.06,-0.15,,17.73,,R
18,0.2,37,26.37,0.3,,19.18,,R
19,0.21,37,26.37,0.3,,19.18,,R
20,0.22,37,26.6,0.07,,19.86,,R
21,0.23,26,27.06,0.6,,16.66,,R
22,0.24,20,26.75,0.3,,21.16,,R
23,0.25,23,27.06,-0.15,,16.51,,R
24,0.26,26,27.06,0.83,,21.46,,R
25,0.27,20,25.91,-0.15,,19.25,,R
26,0.28,20,27.37,0.15,,21.08,,R
27,0.29,23,27.14,-0.07,,15.98,,R
28,0.3,28,26.29,-0.15,,17.27,,R
29,0.31,32,26.91,-0.15,,17.35,,R
30,0.32,32,26.68,-0.15,,20.01,,R
31,0.33,65,26.99,-0.15,,18.49,,R
32,0.34,41,27.29,-0.15,,24.97,,R
33,0.35,32,26.99,0.15,,17.04,,R
34,0.36,32,26.68,-0.15,,21.54,,R
35,0.37,29,26.91,0.15,,21.16,,R
36,0.38,30,25.68,-0.15,,21.38,,R
37,0.39,29,25.91,0.15,,21.61,,R
38,0.4,39,26.75,0.15,,26.11,,R
39,0.41,39,26.75,0.15,,26.11,,R
40,0.42,30,26.68,0.0,,20.01,,R
41,0.43,31,26.22,0.0,,22.07,,R
42,0.44,36,26.14,0.6,,19.94,,R
43,0.45,66,26.06,0.53,,20.24,,R
44,0.46,47,26.06,0.0,,21.38,,R
45,0.47,55,26.06,0.0,,20.78,,R
46,0.48,51,26.6,0.45,,25.96,,R
47,0.49,64,25.76,-0.15,,19.86,,R
48,0.5,56,25.14,0.3,,20.62,,R
49,0.51,67,25.76,0.98,,23.52,,R
50,0.52,54,24.53,0.15,,19.25,,R
51,0.53,74,24.45,1.36,,31.52,,R
52,0.54,77,23.3,0.68,,10.49,,R
53,0.55,72,26.68,0.98,,25.35,,R
54,0.56,49,25.3,0.53,,19.48,,R
55,0.57,64,25.91,0.15,,18.11,,R
56,0.58,40,26.29,0.45,,24.74,,R
57,0.59,48,25.68,0.15,,16.36,,R
58,0.6,49,26.29,0.15,,20.47,,R
59,0.61,49,26.29,0.15,,20.47,,R
60,0.62,60,26.68,0.45,,19.56,,R
61,0.63,52,25.45,1.13,,19.71,,R
62,0.64,56,26.06,1.59,,21.0,,R
63,0.65,71,25.99,0.38,,23.37,,R
64,0.66,71,26.06,0.38,,22.83,,R
65,0.67,1,25.45,0.45,,20.24,,R
66,0.68,79,25.83,1.82,,19.63,,R
67,0.69,68,25.76,0.38,,22.76,,R
68,0.7,95,24.53,0.45,,24.51,,R
69,0.71,103,24.15,0.45,,22.53,,R
70,0.72,132,23.69,0.3,,23.75,,R
71,0.73,92,24.07,0.45,,24.36,,R
72,0.74,119,24.76,0.45,,21.77,,R
73,0.75,97,25.14,0.45,,21.92,,R
74,0.76,106,25.76,0.45,,19.25,,R
75,0.77,103,24.84,0.23,,44.87,,R
76,0.78,206,26.29,0.3,,28.85,,R
77,0.79,195,24.99,2.04,,47.54,,R
78,0.8,185,23.69,0.15,,18.57,,R
79,0.81,185,23.69,0.15,,18.57,,R
80,0.82,128,23.38,0.3,,13.31,,R
81,0.83,137,25.45,0.53,,12.02,,R
82,0.84,132,25.76,0.15,,16.59,,R
83,0.85,195,21.23,0.53,,26.11,,R
84,0.86,137,23.53,0.45,,24.05,,R
85,0.87,137,25.76,0.68,,23.67,,R
86,0.88,103,25.91,0.45,,30.07,,R
87,0.89,119,25.91,0.45,,18.34,,R
88,0.9,70,26.52,0.15,,25.88,,R
89,0.91,65,26.37,0.15,,16.51,,R
90,0.92,53,23.99,0.15,,16.2,,R
91,0.93,53,26.37,0.45,,24.58,,R
92,0.94,55,25.83,0.23,,24.13,,R
93,0.95,63,26.45,1.21,,15.6,,R
94,0.96,63,25.07,1.59,,20.01,,R
95,0.97,49,26.37,0.23,,22.98,,R
96,0.98,46,25.76,0.15,,19.1,,R
97,0.99,53,26.14,0.15,,21.23,,R
98,1.0,40,26.22,0.68,,21.46,,R
99,1.01,40,26.22,0.68,,21.46,,R
100,1.02,38,24.53,0.91,,21.23,,R
101,1.03,22,25.76,0.15,,17.42,,R
102,1.04,59,25.76,0.98,,18.95,,R
103,1.05,56,25.45,0.07,,19.94,,R
104,1.06,1,25.76,0.15,,19.1,,R
105,1.07,58,25.68,0.45,,20.24,,R
106,1.08,103,25.76,2.35,,23.14,,R
107,1.09,3000,24.45,0.45,,23.82,,R
108,1.1,116,23.61,1.36,,15.21,,R
109,1.11,59,25.6,0.15,,19.63,,R
110,1.12,86,24.84,0.23,,21.38,,R
111,1.13,84,24.53,0.15,,21.54,,R
112,1.14,88,23.84,0.23,,25.12,,R
113,1.15,71,25.53,0.38,,19.4,,R
114,1.16,84,25.53,0.15,,21.16,,R
115,1.17,67,25.3,0.53,,16.36,,R
116,1.18,71,25.22,3.33,,18.49,,R
117,1.19,64,24.53,0.98,,18.26,,R
118,1.2,70,26.06,2.12,,18.03,,R
119,1.21,70,26.06,2.12,,18.03,,R
120,1.22,71,25.6,0.15,,19.4,,R
121,1.23,82,25.37,0.83,,22.6,,R
122,1.24,88,24.53,1.51,,19.4,,R
123,1.25,95,25.14,1.59,,20.17,,R
124,1.26,88,24.61,0.83,,19.4,,R
125,1.27,103,24.53,1.59,,21.77,,R
126,1.28,80,25.6,1.89,,20.62,,R
127,1.29,71,25.14,0.45,,20.47,,R
128,1.3,53,24.53,0.68,,17.8,,R
129,1.31,52,26.22,2.04,,21.38,,R
130,1.32,36,25.76,1.44,,18.87,,R
131,1.33,31,25.14,1.21,,17.5,,R
132,1.34,59,25.68,1.21,,17.27,,R
133,1.35,41,26.6,0.15,,22.68,,R
134,1.36,52,25.68,1.06,,21.23,,R
135,1.37,74,26.06,0.15,,17.96,,R
136,1.38,64,25.76,0.53,,14.99,,R
137,1.39,59,25.76,0.38,,18.41,,R
138,1.4,47,26.37,0.91,,18.41,,R
139,1.41,47,26.37,0.91,,18.41,,R
140,1.42,41,25.76,0.3,,13.54,,R
141,1.43,40,26.68,0.53,,17.8,,R
142,1.44,44,25.76,0.15,,18.26,,R
143,1.45,36,25.99,1.13,,17.58,,R
144,1.46,46,25.76,0.07,,17.35,,R
145,1.47,38,25.76,0.38,,21.16,,R
146,1.48,42,25.76,1.21,,19.18,,R
147,1.49,86,25.45,0.15,,19.94,,R
148,1.5,80,25.76,-0.07,,17.35,,R
149,1.51,41,25.76,1.21,,18.95,,R
150,1.52,47,25.76,0.15,,18.18,,R
151,1.53,66,25.76,0.0,,18.18,,R
152,1.54,40,26.68,1.82,,19.02,,R
153,1.55,26,25.76,1.06,,22.83,,R
154,1.56,32,25.99,0.0,,19.86,,R
155,1.57,37,26.22,0.76,,21.61,,R
156,1.58,42,26.14,0.68,,19.63,,R
157,1.59,28,26.52,0.6,,18.03,,R
158,1.6,20,26.6,0.07,,18.11,,R
159,1.61,37,26.37,0.23,,18.87,,R
160,1.62,32,27.22,0.6,,21.69,,R
161,1.63,33,25.6,0.45,,19.71,,R
162,1.64,33,25.6,0.45,,19.71,,R
163,1.65,23,26.68,0.45,,20.85,,R
164,1.66,20,26.68,-0.07,,19.25,,R
165,1.67,36,24.99,1.06,,28.62,,R
166,1.68,19,26.68,0.6,,22.83,,R
167,1.69,31,26.75,-0.07,,17.73,,R
168,1.7,53,26.83,1.82,,19.63,,R
169,1.71,30,25.45,0.6,,17.58,,R
170,1.72,22,23.46,0.76,,32.97,,R
171,1.73,22,26.52,0.45,,24.05,,R
172,1.74,29,25.53,0.07,,19.86,,R
173,1.75,37,26.68,1.59,,18.57,,R
174,1.76,29,26.22,0.53,,17.42,,R
175,1.77,22,26.52,1.51,,18.41,,R
176,1.78,63,24.76,1.06,,16.13,,R
177,1.79,46,25.99,0.07,,14.91,,R
