,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,8,36.2,-0.53,,41.39,,R
1,0.02,13,37.12,-0.91,,39.79,,R
2,0.03,9,41.12,0.0,,40.63,,R
3,0.04,1,31.9,-0.91,,36.81,,R
4,0.05,1,32.21,0.83,,40.24,,R
5,0.06,8,32.98,0.6,,39.18,,R
6,0.07,1,31.9,0.15,,32.84,,R
7,0.08,8,31.29,0.15,,35.44,,R
8,0.09,7,29.52,0.07,,17.21,,R
9,0.1,15,25.99,-0.07,,36.28,,R
10,0.11,43,27.68,-0.3,,22.09,,R
11,0.12,55,27.37,-0.07,,60.87,,R
12,0.13,61,34.74,0.45,,35.28,,R
13,0.14,40,33.21,0.0,,53.46,,R
14,0.15,39,26.61,0.83,,52.69,,R
15,0.16,24,31.67,-0.15,,29.33,,R
16,0.17,33,25.76,0.3,,40.32,,R
17,0.18,37,31.67,-0.3,,33.53,,R
18,0.19,37,31.67,-0.3,,33.53,,R
19,0.2,38,34.05,-0.22,,36.05,,R
20,0.21,21,33.13,0.15,,34.98,,R
21,0.22,14,34.21,0.6,,41.85,,R
22,0.23,12,29.06,-0.07,,24.83,,R
23,0.24,24,21.69,0.0,,45.36,,R
24,0.25,13,29.68,-0.15,,8.9,,R
25,0.26,24,31.29,-0.45,,36.05,,R
26,0.27,30,31.9,0.0,,44.82,,R
27,0.28,45,27.22,0.0,,56.82,,R
28,0.29,37,31.75,0.3,,41.01,,R
29,0.3,45,31.06,0.15,,23.08,,R
30,0.31,48,31.75,0.38,,38.49,,R
31,0.32,40,31.29,0.0,,46.66,,R
32,0.33,86,27.07,0.0,,46.12,,R
33,0.34,1,31.36,-0.38,,50.17,,R
34,0.35,64,28.98,0.0,,52.39,,R
35,0.36,52,30.98,0.0,,79.0,,R
36,0.37,49,30.67,-0.3,,39.48,,R
37,0.38,63,29.14,0.07,,38.34,,R
38,0.39,63,29.14,0.07,,38.34,,R
39,0.4,55,27.83,0.45,,47.57,,R
40,0.41,56,28.22,0.68,,47.57,,R
41,0.42,68,30.98,0.07,,34.44,,R
42,0.43,47,30.14,0.0,,47.5,,R
43,0.44,56,31.06,0.53,,39.25,,R
44,0.45,38,30.98,0.07,,47.12,,R
45,0.46,47,30.37,0.3,,50.32,,R
46,0.47,48,30.67,1.28,,38.64,,R
47,0.48,52,29.75,0.45,,40.85,,R
48,0.49,44,30.98,0.53,,37.95,,R
49,0.5,37,30.6,1.59,,38.41,,R
50,0.51,22,30.52,4.31,,42.08,,R
51,0.52,48,30.6,1.13,,41.85,,R
52,0.53,61,29.68,2.72,,42.46,,R
53,0.54,56,29.83,6.66,,41.16,,R
54,0.55,33,29.83,1.06,,42.15,,R
55,0.56,39,30.06,12.34,,39.63,,R
56,0.57,86,29.45,1.89,,46.43,,R
57,0.58,60,28.98,2.57,,36.35,,R
58,0.59,60,28.98,2.57,,36.35,,R
59,0.6,67,30.21,4.54,,44.6,,R
60,0.61,63,29.37,4.76,,41.08,,R
61,0.62,63,29.45,3.7,,42.31,,R
62,0.63,84,29.45,5.6,,42.99,,R
63,0.64,56,29.45,3.93,,44.14,,R
64,0.65,71,29.22,3.55,,46.2,,R
65,0.66,48,29.45,6.89,,45.82,,R
66,0.67,65,29.45,4.23,,44.75,,R
67,0.68,38,29.45,3.78,,45.66,,R
68,0.69,53,29.6,4.08,,44.98,,R
69,0.7,46,29.45,4.16,,44.52,,R
70,0.71,50,29.45,4.16,,41.92,,R
71,0.72,50,29.45,4.76,,45.51,,R
72,0.73,64,29.45,7.42,,43.53,,R
73,0.74,51,29.45,5.37,,42.69,,R
74,0.75,68,29.06,3.02,,45.36,,R
75,0.76,59,29.14,7.49,,44.82,,R
76,0.77,68,29.37,6.73,,46.73,,R
77,0.78,27,20.54,6.58,,28.87,,R
78,0.79,27,20.54,6.58,,28.87,,R
79,0.8,65,27.91,5.07,,29.1,,R
80,0.81,53,29.6,5.29,,30.25,,R
81,0.82,70,29.6,5.98,,29.18,,R
82,0.83,50,29.83,5.14,,30.02,,R
83,0.84,86,29.45,6.2,,30.86,,R
84,0.85,74,28.75,6.66,,27.27,,R
85,0.86,100,28.75,3.93,,24.76,,R
86,0.87,123,28.83,4.54,,24.37,,R
87,0.88,154,28.14,4.16,,29.03,,R
88,0.89,132,28.91,4.39,,31.77,,R
89,0.9,161,26.68,3.02,,29.26,,R
90,0.91,195,27.91,4.76,,29.18,,R
91,0.92,218,26.37,3.63,,27.12,,R
92,0.93,176,26.37,5.45,,26.97,,R
93,0.94,218,27.14,4.99,,23.23,,R
94,0.95,206,26.76,4.61,,29.48,,R
95,0.96,3000,26.37,5.29,,27.88,,R
96,0.97,185,26.68,6.28,,27.81,,R
97,0.98,247,26.68,2.95,,30.09,,R
98,0.99,247,26.68,2.95,,30.09,,R
99,1.0,206,25.68,4.39,,27.88,,R
100,1.01,247,26.68,5.22,,28.19,,R
101,1.02,232,25.76,5.6,,30.4,,R
102,1.03,247,25.76,4.01,,29.79,,R
103,1.04,232,26.99,7.42,,28.34,,R
104,1.05,205,26.68,4.39,,28.8,,R
105,1.06,185,25.91,4.61,,27.81,,R
106,1.07,232,26.99,5.6,,30.63,,R
107,1.08,185,27.3,4.99,,28.49,,R
108,1.09,218,26.68,5.98,,29.33,,R
109,1.1,148,27.3,5.98,,31.39,,R
110,1.11,168,27.07,6.96,,32.38,,R
111,1.12,128,27.91,5.83,,30.25,,R
112,1.13,142,28.45,6.2,,29.03,,R
113,1.14,103,28.45,7.19,,30.4,,R
114,1.15,137,28.22,4.39,,32.08,,R
115,1.16,116,27.6,4.31,,32.69,,R
116,1.17,161,27.68,3.25,,32.0,,R
117,1.18,123,27.3,3.86,,27.73,,R
118,1.19,123,27.3,3.86,,27.73,,R
119,1.2,142,27.91,4.01,,28.95,,R
120,1.21,132,27.91,5.29,,27.04,,R
121,1.22,148,27.91,3.7,,28.11,,R
122,1.23,123,28.22,4.39,,26.28,,R
123,1.24,168,27.37,2.65,,29.56,,R
124,1.25,247,27.22,3.02,,30.4,,R
125,1.26,185,27.3,1.82,,26.66,,R
126,1.27,154,27.6,3.86,,28.95,,R
127,1.28,195,27.3,4.46,,26.28,,R
128,1.29,185,26.68,3.25,,29.33,,R
129,1.3,206,26.68,4.39,,30.63,,R
130,1.31,176,26.99,2.95,,31.09,,R
131,1.32,218,27.14,3.78,,25.06,,R
132,1.33,206,26.61,2.87,,29.26,,R
133,1.34,206,26.37,4.23,,30.93,,R
134,1.35,154,26.68,2.79,,27.65,,R
135,1.36,195,27.91,1.89,,25.75,,R
136,1.37,337,24.76,1.66,,28.87,,R
137,1.38,103,-0.69,1.82,,30.17,,R
138,1.39,23,19.93,2.79,,25.52,,R
139,1.4,285,22.61,3.86,,26.05,,R
140,1.41,285,23.07,3.17,,27.73,,R
141,1.42,371,23.61,2.87,,25.75,,R
142,1.43,337,23.31,4.16,,27.27,,R
143,1.44,309,23.31,4.39,,26.36,,R
144,1.45,309,23.0,4.46,,27.12,,R
145,1.46,371,23.0,4.23,,25.9,,R
146,1.47,529,23.0,4.16,,26.66,,R
147,1.48,285,23.0,4.54,,27.73,,R
148,1.49,370,22.31,5.37,,26.05,,R
149,1.5,617,22.38,3.4,,29.79,,R
150,1.51,460,22.08,6.05,,27.96,,R
151,1.52,460,22.08,6.05,,27.96,,R
152,1.53,412,22.38,5.98,,25.14,,R
153,1.54,337,22.15,5.07,,29.26,,R
154,1.55,463,21.77,5.07,,29.26,,R
155,1.56,738,21.46,5.6,,25.44,,R
156,1.57,463,20.62,5.83,,24.45,,R
157,1.58,463,19.93,7.26,,25.37,,R
158,1.59,739,19.93,5.29,,22.77,,R
159,1.6,739,19.93,6.43,,21.48,,R
160,1.61,617,19.62,6.28,,21.48,,R
161,1.62,617,19.93,5.07,,24.98,,R
162,1.63,529,20.31,4.46,,21.25,,R
163,1.64,921,19.93,4.76,,18.73,,R
164,1.65,256,19.78,3.78,,18.73,,R
165,1.66,526,20.39,5.37,,23.0,,R
166,1.67,739,20.47,3.1,,21.1,,R
167,1.68,463,21.0,4.99,,22.54,,R
168,1.69,337,22.54,4.16,,26.51,,R
169,1.7,337,23.31,4.01,,24.07,,R
170,1.71,337,24.23,3.55,,25.9,,R
171,1.72,337,24.23,3.55,,25.9,,R
172,1.73,256,25.76,5.07,,27.04,,R
173,1.74,264,25.15,4.23,,24.53,,R
174,1.75,168,25.76,4.76,,25.14,,R
175,1.76,309,27.14,4.16,,27.04,,R
176,1.77,195,26.99,3.63,,26.13,,R
177,1.78,128,27.91,3.93,,26.82,,R
178,1.79,161,26.99,3.48,,24.83,,R
179,1.8,176,26.45,2.72,,26.36,,R
180,1.81,247,27.3,3.17,,23.92,,R
181,1.82,142,26.68,2.04,,20.79,,R
182,1.83,218,26.68,2.35,,24.15,,R
183,1.84,337,26.14,2.42,,20.56,,R
184,1.85,195,27.3,4.01,,20.49,,R
185,1.86,176,27.68,2.5,,23.61,,R
186,1.87,119,28.37,2.72,,21.17,,R
187,1.88,128,28.29,2.5,,21.02,,R
188,1.89,176,29.14,1.89,,19.65,,R
189,1.9,92,28.68,0.68,,20.26,,R
190,1.91,75,28.37,1.82,,18.12,,R
191,1.92,75,28.37,1.82,,18.12,,R
192,1.93,119,29.29,2.04,,21.78,,R
193,1.94,90,28.83,1.66,,17.36,,R
194,1.95,88,29.29,1.82,,18.2,,R
195,1.96,88,29.37,0.91,,19.95,,R
196,1.97,77,29.45,0.91,,17.67,,R
197,1.98,106,29.45,1.21,,19.8,,R
198,1.99,53,29.14,1.21,,24.45,,R
199,2.0,77,29.14,0.91,,20.49,,R
200,2.01,103,29.45,1.82,,20.18,,R
201,2.02,79,28.75,0.6,,19.19,,R
202,2.03,65,28.83,1.21,,18.35,,R
203,2.04,77,29.37,0.6,,18.58,,R
204,2.05,72,29.45,1.06,,18.43,,R
205,2.06,106,29.45,1.51,,19.72,,R
206,2.07,70,29.06,0.6,,22.09,,R
207,2.08,80,28.52,1.74,,21.4,,R
208,2.09,168,28.37,0.68,,20.33,,R
209,2.1,88,29.22,0.75,,18.66,,R
210,2.11,48,30.29,0.6,,18.96,,R
211,2.12,48,30.29,0.6,,18.96,,R
212,2.13,50,29.45,0.68,,18.28,,R
213,2.14,49,29.6,2.19,,17.13,,R
214,2.15,75,29.75,1.21,,18.43,,R
215,2.16,38,30.37,1.44,,17.21,,R
216,2.17,57,29.14,1.66,,18.05,,R
