,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,112,25.45,0.45,,7.37,,R
1,0.03,112,25.45,0.76,,7.07,,R
2,0.04,160,25.45,1.14,,7.07,,R
3,0.05,88,25.37,0.76,,7.22,,R
4,0.06,88,25.37,0.76,,7.22,,R
5,0.07,148,25.45,0.6,,8.06,,R
6,0.08,92,25.45,2.42,,7.45,,R
7,0.09,168,25.37,0.53,,8.74,,R
8,0.1,88,25.45,1.51,,8.29,,R
9,0.11,154,25.45,0.23,,7.83,,R
10,0.12,193,25.14,1.66,,7.83,,R
11,0.13,109,25.45,2.65,,7.37,,R
12,0.14,106,25.45,2.27,,9.43,,R
13,0.15,103,25.75,0.98,,8.82,,R
14,0.16,112,25.45,0.53,,10.04,,R
15,0.17,97,25.45,0.3,,8.44,,R
16,0.18,79,5.28,1.29,,10.72,,R
17,0.19,9,25.75,0.6,,18.49,,R
18,0.2,77,24.83,0.38,,18.95,,R
19,0.21,77,24.83,0.38,,18.95,,R
20,0.22,109,25.45,3.33,,19.86,,R
21,0.23,106,24.83,3.41,,24.74,,R
22,0.24,1,25.37,0.15,,22.99,,R
23,0.25,72,25.45,0.83,,29.08,,R
24,0.26,77,25.45,0.98,,20.09,,R
25,0.27,59,25.45,0.45,,24.89,,R
26,0.28,60,25.45,2.27,,25.27,,R
27,0.29,74,25.45,1.14,,29.01,,R
28,0.3,70,25.45,2.49,,21.16,,R
29,0.31,1,25.37,0.45,,17.96,,R
30,0.32,75,25.45,1.29,,24.89,,R
31,0.33,75,25.45,2.57,,22.45,,R
32,0.34,77,25.45,2.65,,19.33,,R
33,0.35,65,25.45,1.36,,20.47,,R
34,0.36,74,25.45,0.6,,22.68,,R
35,0.37,70,25.68,3.79,,23.37,,R
36,0.38,88,24.83,1.43,,17.88,,R
37,0.39,57,25.45,0.91,,21.08,,R
38,0.4,90,25.14,2.8,,24.05,,R
39,0.41,90,25.14,2.8,,24.05,,R
40,0.42,54,25.45,0.83,,15.82,,R
41,0.43,86,25.45,0.3,,32.66,,R
42,0.44,58,25.45,1.89,,17.88,,R
43,0.45,77,25.45,2.42,,12.7,,R
44,0.46,161,24.99,0.3,,26.64,,R
45,0.47,72,25.29,1.29,,36.63,,R
46,0.48,65,25.14,1.14,,47.23,,R
47,0.49,92,25.45,0.45,,20.93,,R
48,0.5,59,25.52,1.14,,26.95,,R
49,0.51,70,25.98,0.6,,21.0,,R
50,0.52,58,26.37,1.81,,24.43,,R
51,0.53,75,25.45,1.29,,22.6,,R
52,0.54,67,25.22,3.1,,26.11,,R
53,0.55,61,25.75,2.88,,21.54,,R
54,0.56,50,25.45,4.47,,29.46,,R
55,0.57,60,25.83,0.38,,26.87,,R
56,0.58,58,25.45,0.98,,22.45,,R
57,0.59,68,26.52,2.04,,23.29,,R
58,0.6,67,27.9,0.53,,27.25,,R
59,0.61,67,27.9,0.53,,27.25,,R
60,0.62,65,26.67,1.14,,32.66,,R
61,0.63,77,25.75,0.45,,22.15,,R
62,0.64,72,26.14,3.56,,16.74,,R
63,0.65,63,26.06,0.23,,25.27,,R
64,0.66,55,26.67,0.45,,30.91,,R
65,0.67,52,26.67,0.45,,24.05,,R
66,0.68,53,26.75,0.07,,24.74,,R
67,0.69,50,27.9,1.14,,33.96,,R
68,0.7,52,28.21,1.74,,31.9,,R
69,0.71,45,29.67,0.3,,46.32,,R
70,0.72,61,29.74,0.83,,23.52,,R
71,0.73,37,30.28,0.98,,23.98,,R
72,0.74,28,29.59,0.68,,33.43,,R
73,0.75,17,29.44,2.95,,33.58,,R
74,0.76,17,31.05,1.43,,26.41,,R
75,0.77,18,31.51,0.3,,26.34,,R
76,0.78,13,32.51,0.45,,29.69,,R
77,0.79,30,30.82,0.83,,31.52,,R
78,0.8,44,32.2,2.34,,29.84,,R
79,0.81,44,32.2,2.34,,29.84,,R
80,0.82,45,31.59,0.3,,27.02,,R
81,0.83,53,31.51,0.6,,37.93,,R
82,0.84,39,30.66,2.04,,24.97,,R
83,0.85,53,32.35,0.45,,28.01,,R
84,0.86,56,30.43,2.34,,22.83,,R
85,0.87,86,30.9,0.3,,33.5,,R
86,0.88,74,30.51,1.36,,27.41,,R
87,0.89,103,31.2,1.29,,30.15,,R
88,0.9,75,30.97,3.18,,29.46,,R
89,0.91,106,32.2,0.83,,37.85,,R
90,0.92,64,32.66,2.27,,35.79,,R
91,0.93,74,31.97,0.53,,33.5,,R
92,0.94,54,31.82,0.38,,26.03,,R
93,0.95,57,32.2,1.58,,31.14,,R
94,0.96,59,32.51,3.26,,35.18,,R
95,0.97,50,32.12,1.58,,29.08,,R
96,0.98,59,32.51,0.53,,24.28,,R
97,0.99,63,32.66,2.34,,27.33,,R
98,1.0,59,32.58,2.11,,24.51,,R
99,1.01,59,32.58,2.11,,24.51,,R
100,1.02,68,31.05,0.6,,27.41,,R
101,1.03,56,31.28,0.45,,27.48,,R
102,1.04,84,30.82,1.21,,27.86,,R
103,1.05,80,29.9,1.66,,22.99,,R
104,1.06,75,31.43,0.45,,26.57,,R
105,1.07,75,31.82,1.06,,27.41,,R
106,1.08,97,31.13,0.3,,36.48,,R
107,1.09,106,32.51,0.91,,50.97,,R
108,1.1,123,31.2,0.98,,32.66,,R
109,1.11,116,29.82,1.89,,29.69,,R
110,1.12,137,31.2,3.33,,38.46,,R
111,1.13,137,31.28,0.98,,29.46,,R
112,1.14,185,30.05,0.38,,28.4,,R
113,1.15,168,27.6,2.8,,32.13,,R
114,1.16,265,27.9,0.38,,31.14,,R
115,1.17,285,26.75,0.45,,35.26,,R
116,1.18,309,27.29,1.06,,30.07,,R
117,1.19,369,25.45,0.6,,27.48,,R
