,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,170,35.36,0.15,0,11.823,4.523,R
1,0.04,1,17.244,0.19399999999999998,0,25.82,35.647,R
2,0.06,64,37.491,0.092,0,32.455,1.355,R
3,0.08,61,36.941,0.099,0,34.659,1.209,R
4,0.1,86,36.63,0.099,0,31.771,1.294,R
5,0.12,89,36.459,0.10400000000000001,0,29.945999999999998,1.569,R
6,0.14,97,36.361999999999995,0.096,0,28.048000000000002,1.66,R
7,0.16,114,36.288000000000004,0.096,0,25.521,2.0140000000000002,R
8,0.18,115,36.258,0.099,0,21.944000000000003,2.411,R
9,0.2,113,36.258,0.10099999999999999,0,20.215999999999998,2.49,R
10,0.22,110,36.275999999999996,0.096,0,19.905,2.472,R
11,0.24,98,36.385999999999996,0.10099999999999999,0,19.795,2.271,R
12,0.26,101,36.349000000000004,0.10099999999999999,0,20.314,2.112,R
13,0.28,96,36.459,0.099,0,21.553,2.088,R
14,0.3,98,36.459,0.099,0,23.165,2.0140000000000002,R
15,0.32,105,36.416,0.096,0,23.58,2.106,R
16,0.34,100,36.459,0.099,0,23.073,2.1430000000000002,R
17,0.36,104,36.423,0.10099999999999999,0,23.635,2.167,R
18,0.38,102,36.398,0.099,0,23.275,2.301,R
19,0.4,104,36.355,0.096,0,22.719,2.204,R
20,0.42,108,36.385999999999996,0.096,0,22.524,2.2769999999999997,R
21,0.44,108,36.416,0.099,0,23.592,2.307,R
22,0.46,102,36.349000000000004,0.102,0,23.531,2.3680000000000003,R
23,0.48,103,36.361999999999995,0.096,0,23.151999999999997,2.381,R
24,0.5,103,36.441,0.096,0,22.176,2.204,R
25,0.52,105,36.41,0.096,0,22.499000000000002,2.204,R
26,0.54,101,36.446999999999996,0.096,0,21.791,2.155,R
27,0.56,100,36.478,0.09300000000000001,0,21.944000000000003,2.094,R
28,0.58,98,36.453,0.099,0,23.024,2.106,R
29,0.6,98,36.49,0.095,0,23.543000000000003,2.075,R
30,0.62,92,36.545,0.095,0,23.397,1.996,R
31,0.64,88,36.655,0.10099999999999999,0,24.3,1.7819999999999998,R
32,0.66,85,36.655,0.096,0,24.849,1.7269999999999999,R
33,0.68,81,36.635999999999996,0.102,0,25.307,1.599,R
34,0.7,85,36.611999999999995,0.107,0,25.831999999999997,1.575,R
35,0.72,86,36.563,0.134,0,25.581999999999997,1.575,R
36,0.74,81,36.606,0.2,0,26.064,1.538,R
37,0.76,80,36.624,0.256,0,26.412,1.5630000000000002,R
38,0.78,77,36.635999999999996,0.43,0,25.85,1.544,R
39,0.8,77,36.52,0.45899999999999996,0,26.076,1.5019999999999998,R
40,0.82,83,36.423,0.45899999999999996,0,26.906,1.483,R
41,0.84,83,36.423,0.45799999999999996,0,27.144000000000002,1.544,R
42,0.86,84,36.416,0.45799999999999996,0,27.163,1.569,R
43,0.88,86,36.391999999999996,0.45799999999999996,0,27.358,1.605,R
44,0.9,90,36.336999999999996,0.45799999999999996,0,27.45,1.758,R
45,0.92,92,36.306999999999995,0.45799999999999996,0,26.784000000000002,1.819,R
46,0.94,90,36.306999999999995,0.45799999999999996,0,26.51,1.7209999999999999,R
47,0.96,91,36.288000000000004,0.45799999999999996,0,25.649,1.685,R
48,0.98,138,33.334,0.11,0,12.702,3.089,R
49,1.0,141,33.224000000000004,0.114,0,12.574000000000002,2.991,R
50,1.02,133,33.334,0.111,0,13.472000000000001,2.8080000000000003,R
51,1.04,122,33.34,0.11800000000000001,0,14.472999999999999,2.515,R
52,1.06,122,33.31,0.11900000000000001,0,14.869000000000002,2.326,R
53,1.08,110,33.346,0.13699999999999998,0,16.206,2.112,R
54,1.1,111,33.364000000000004,0.179,0,17.073,1.984,R
55,1.12,104,33.371,0.203,0,18.08,1.8980000000000001,R
56,1.14,83,33.603,0.23,0,25.166999999999998,1.526,R
57,1.16,93,33.603,0.363,0,26.778000000000002,1.361,R
58,1.18,92,33.461999999999996,0.455,0,21.712,1.483,R
59,1.2,96,33.376999999999995,0.461,0,20.113,1.5319999999999998,R
60,1.22,93,33.48,0.45899999999999996,0,19.081,1.538,R
61,1.24,90,33.554,0.45899999999999996,0,18.739,1.416,R
62,1.26,87,33.461999999999996,0.461,0,19.014,1.4340000000000002,R
63,1.28,72,33.639,0.45899999999999996,0,20.143,1.239,R
64,1.3,68,33.773,0.45899999999999996,0,22.541999999999998,0.9520000000000001,R
65,1.32,67,33.834,0.461,0,22.927,0.763,R
66,1.34,51,33.986999999999995,0.467,0,21.767,0.562,R
67,1.36,33,34.286,0.462,0,19.185,0.201,R
68,1.38,7,34.585,0.465,0,14.424000000000001,0.0,R
69,1.4,101,32.974000000000004,0.475,0,18.233,0.586,M
70,1.42,98,32.992,0.473,0,18.715,1.331,M
71,1.44,95,33.084,0.47600000000000003,0,18.66,1.5319999999999998,M
72,1.46,88,33.12,0.48200000000000004,0,20.009,1.557,M
73,1.48,88,33.248000000000005,0.48200000000000004,0,18.605,1.422,M
