,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,60,31.448,0.034,0,17.439,0.0,R
1,0.04,57,31.497,0.055,0,17.287,0.0,R
2,0.06,53,31.526999999999997,0.085,0,17.537,0.0,R
3,0.08,58,31.526999999999997,0.171,0,17.622,0.0,R
4,0.1,61,31.436,0.215,0,17.14,0.0,R
5,0.12,61,31.410999999999998,0.249,0,16.694000000000003,0.0,R
6,0.14,60,31.454,0.29,0,16.304000000000002,0.0,R
7,0.16,58,31.423000000000002,0.287,0,16.279,0.0,R
8,0.18,60,31.410999999999998,0.259,0,16.285,0.0,R
9,0.2,56,31.441999999999997,0.23199999999999998,0,16.157,0.0,R
10,0.22,61,31.386999999999997,0.226,0,16.389,0.0,R
11,0.24,66,31.375,0.223,0,16.243,0.0,R
12,0.26,64,31.381,0.215,0,16.121,0.0,R
13,0.28,62,31.410999999999998,0.21100000000000002,0,15.718,0.0,R
14,0.3,60,31.405,0.20800000000000002,0,15.706,0.0,R
15,0.32,62,31.381,0.2,0,15.754000000000001,0.0,R
16,0.34,58,31.393,0.19399999999999998,0,15.767000000000001,0.0,R
17,0.36,52,31.441999999999997,0.191,0,16.133,0.0,R
18,0.38,47,31.57,0.19399999999999998,0,16.462,0.0,R
19,0.4,42,31.729,0.21100000000000002,0,17.262,0.0,R
20,0.42,37,31.747,0.272,0,17.561,0.0,R
21,0.44,34,31.715999999999998,0.345,0,18.471,0.0,R
22,0.46,23,31.588,0.359,0,19.685,0.0,R
23,0.48,13,31.814,0.36,0,18.776,0.0,R
24,0.5,11,31.967,0.36,0,18.983,0.0,R
25,0.52,15,31.9,0.34,0,21.15,0.0,R
26,0.54,19,31.863000000000003,0.287,0,23.073,0.0,R
27,0.56,11,31.912,0.301,0,19.63,0.0,R
28,0.58,8,31.954,0.354,0,18.33,0.0,R
29,0.6,6,31.954,0.359,0,17.891,0.0,R
30,0.62,14,31.759,0.354,0,18.098,0.0,R
31,0.64,42,30.978,0.34600000000000003,0,18.067999999999998,0.0,R
32,0.66,45,30.959,0.353,0,18.067999999999998,0.0,R
33,0.68,45,30.905,0.348,0,18.08,0.0,R
34,0.7,40,31.021,0.34600000000000003,0,17.671,0.0,R
35,0.72,40,30.984,0.348,0,17.689,0.0,R
36,0.74,36,31.026999999999997,0.354,0,17.525,0.0,R
37,0.76,41,31.021,0.36,0,17.366,0.0,R
38,0.78,38,31.026999999999997,0.345,0,17.335,0.0,R
39,0.8,32,31.051,0.35100000000000003,0,16.908,0.0,R
40,0.82,13,31.619,0.218,0,22.078000000000003,0.317,R
41,0.84,14,31.436,0.33899999999999997,0,20.784000000000002,0.018000000000000002,R
42,0.86,66,30.349,0.354,0,18.465,0.0,R
43,0.88,70,30.264,0.35600000000000004,0,17.793,0.0,R
44,0.9,55,30.63,0.35600000000000004,0,19.185,0.0,R
45,0.92,25,31.35,0.354,0,19.368,0.0,R
46,0.94,52,33.499,0.36,0,20.912,0.0,R
47,0.96,80,35.287,0.359,0,23.659000000000002,0.0,R
48,0.98,74,35.299,0.36200000000000004,0,23.824,0.0,R
49,1.0,74,35.238,0.36,0,23.793000000000003,0.0,R
50,1.02,68,35.287,0.363,0,24.250999999999998,0.0,R
