,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,273,2.509,0.934,0,25.673000000000002,3.864,R
1,0.02,159,36.453,1.422,0,40.598,4.914,R
2,0.03,80,10.853,1.4769999999999999,0,40.274,4.096,R
3,0.04,190,37.918,1.4709999999999999,0,41.141000000000005,5.079,R
4,0.05,301,37.833,1.361,0,41.428000000000004,4.9319999999999995,R
5,0.06,286,37.393,1.422,0,41.153,5.4510000000000005,R
6,0.07,269,37.056999999999995,1.557,0,40.683,5.445,R
7,0.08,236,36.838,1.361,0,42.35,5.5,R
8,0.09,361,36.99,1.4040000000000001,0,46.273999999999994,5.218999999999999,R
9,0.1,338,36.453,1.4469999999999998,0,43.619,5.726,R
10,0.11,238,36.258,1.453,0,41.452,5.97,R
11,0.12,285,36.349000000000004,1.4409999999999998,0,43.015,5.646,R
12,0.13,224,36.41,1.392,0,44.169,5.4510000000000005,R
13,0.14,253,36.38,1.361,0,43.747,5.39,R
14,0.15,346,36.501999999999995,1.4340000000000002,0,45.57899999999999,5.292000000000001,R
15,0.16,302,36.032,1.355,0,45.365,5.646,R
16,0.17,399,35.891999999999996,1.422,0,45.321999999999996,5.877999999999999,R
17,0.18,374,35.788000000000004,1.41,0,44.833999999999996,6.104,R
18,0.19,295,35.751,1.392,0,45.06,6.08,R
19,0.2,244,35.898,1.325,0,45.902,6.055,R
20,0.21,260,36.075,1.386,0,46.604,5.591,R
21,0.22,327,35.959,1.5019999999999998,0,46.397,5.726,R
22,0.23,376,35.94,1.569,0,46.372,5.89,R
23,0.24,371,35.721,1.587,0,45.695,6.147,R
24,0.25,290,39.175,1.416,0,46.732,6.141,R
25,0.26,282,42.806999999999995,1.392,0,46.86,6.104,R
26,0.27,264,43.1,1.386,0,47.111000000000004,6.025,R
27,0.28,278,43.398999999999994,1.508,0,47.263000000000005,5.5360000000000005,R
28,0.29,264,43.357,1.599,0,48.008,5.481,R
29,0.3,269,43.277,1.4709999999999999,0,47.379,5.646,R
30,0.31,224,43.50899999999999,1.4340000000000002,0,46.653,5.2620000000000005,R
31,0.32,178,43.644,1.575,0,47.678000000000004,4.975,R
32,0.33,165,43.79600000000001,1.495,0,49.998000000000005,4.743,R
33,0.34,176,43.68600000000001,1.4709999999999999,0,49.809,4.803999999999999,R
34,0.35,219,43.625,1.4769999999999999,0,50.218,4.956,R
35,0.36,241,43.253,1.483,0,47.398,5.433,R
36,0.37,222,43.43,1.5019999999999998,0,47.465,5.2860000000000005,R
37,0.38,150,43.631,1.514,0,48.081,4.914,R
38,0.39,130,43.845,1.569,0,48.24,4.529,R
39,0.4,86,44.101000000000006,1.636,0,50.638999999999996,4.09,R
40,0.41,72,44.162,1.7209999999999999,0,52.31100000000001,3.7969999999999997,R
41,0.42,70,43.979,1.7819999999999998,0,53.331,3.803,R
42,0.43,85,44.089,1.892,0,53.489,3.833,R
43,0.44,112,45.341,2.063,0,55.29,4.059,R
44,0.45,94,46.335,2.124,0,54.497,4.2,R
45,0.46,132,46.305,2.149,0,51.658,4.242,R
46,0.47,75,46.494,2.045,0,52.098,4.01,R
47,0.48,100,46.488,2.0269999999999997,0,53.276,3.815,R
48,0.49,88,46.512,2.063,0,52.146,4.047,R
49,0.5,102,46.61600000000001,1.85,0,52.446000000000005,4.029,R
50,0.51,102,46.519,1.9040000000000001,0,55.028,4.059,R
51,0.52,124,46.32899999999999,1.8130000000000002,0,51.066,4.254,R
52,0.53,137,46.281000000000006,1.8430000000000002,0,50.053000000000004,4.383,R
53,0.54,101,46.482,1.8619999999999999,0,50.956,4.126,R
54,0.55,83,46.592,1.85,0,51.963,3.8939999999999997,R
55,0.56,152,46.25,1.85,0,47.355,4.377,R
56,0.57,131,46.25,1.758,0,48.251999999999995,4.37,R
57,0.58,151,46.342,1.709,0,56.346000000000004,4.059,R
58,0.59,128,46.218999999999994,1.8130000000000002,0,49.082,4.37,R
59,0.6,128,46.183,1.605,0,48.02,4.383,R
60,0.61,167,46.177,1.715,0,49.503,4.413,R
61,0.62,117,46.104,1.776,0,50.236000000000004,4.377,R
62,0.63,92,46.488,1.6969999999999998,0,51.506,3.864,R
63,0.64,129,46.299,1.715,0,51.365,4.059,R
64,0.65,75,46.36,1.776,0,51.121,4.041,R
65,0.66,99,46.494,1.819,0,53.55,3.772,R
66,0.67,137,46.11600000000001,1.7519999999999998,0,53.513999999999996,4.2,R
67,0.68,222,46.317,1.666,0,54.667,4.706,R
68,0.69,127,48.167,1.8130000000000002,0,54.606,4.993,R
69,0.7,112,48.728,1.8619999999999999,0,54.576,4.407,R
70,0.71,152,48.222,1.819,0,55.412,4.273,R
71,0.72,136,47.653999999999996,1.788,0,54.81399999999999,4.657,R
72,0.73,169,47.684,1.8980000000000001,0,55.54600000000001,4.505,R
73,0.74,95,47.873999999999995,1.88,0,54.216,4.346,R
74,0.75,162,47.782,1.868,0,56.541000000000004,4.407,R
75,0.76,97,47.923,1.7819999999999998,0,53.172,4.23,R
76,0.77,92,47.953,1.788,0,54.123999999999995,4.1080000000000005,R
77,0.78,133,47.843,1.874,0,53.044,4.151,R
78,0.79,175,47.526,1.874,0,55.565,4.493,R
79,0.8,154,47.403999999999996,2.045,0,52.714,4.731,R
80,0.81,121,47.703,1.972,0,53.813,4.34,R
81,0.82,102,47.763999999999996,2.124,0,54.68,4.218,R
82,0.83,90,47.873999999999995,2.332,0,55.766000000000005,4.065,R
83,0.84,99,47.873999999999995,2.521,0,55.467,4.01,R
84,0.85,116,47.691,2.722,0,53.911,4.273,R
85,0.86,104,47.794,3.052,0,53.52,4.126,R
86,0.87,112,47.831,3.491,0,53.544,4.096,R
87,0.88,95,47.813,3.803,0,52.818000000000005,4.065,R
