,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,6,1.758,0.317,0,2.338,4.59,AS
1,0.02,389,49.668,0.214,0,29.555999999999997,7.172000000000001,AS
2,0.03,403,50.516999999999996,0.256,0,32.156,7.202999999999999,AS
3,0.04,343,51.042,0.244,0,33.114000000000004,7.367999999999999,AS
4,0.05,352,51.261,0.317,0,33.743,7.404,AS
5,0.06,102,18.953,0.317,0,33.571999999999996,5.603,AS
6,0.07,47,3.467,0.244,0,31.869,4.596,AS
7,0.08,548,37.46,0.183,0,31.936,7.154,AS
8,0.09,554,45.963,0.293,0,31.875,8.106,AS
9,0.1,504,49.87,0.336,0,31.851,8.466000000000001,AS
10,0.11,457,50.401,0.348,0,32.174,8.521,AS
11,0.12,510,50.511,0.293,0,32.84,8.344,AS
12,0.13,440,50.645,0.23199999999999998,0,34.066,8.088,AS
13,0.14,420,50.559,0.305,0,34.396,8.057,AS
14,0.15,462,50.511,0.262,0,34.048,8.088,AS
15,0.16,518,50.395,0.305,0,34.274,8.216000000000001,AS
16,0.17,524,50.376000000000005,0.342,0,34.72,8.228,AS
17,0.18,491,50.303000000000004,0.281,0,34.671,8.314,AS
18,0.19,424,50.395,0.311,0,36.044000000000004,8.179,AS
19,0.2,376,50.59,0.287,0,36.722,8.002,AS
20,0.21,340,50.852,0.256,0,36.667,7.697,AS
21,0.22,293,51.261,0.317,0,38.028,7.172000000000001,AS
22,0.23,302,51.707,0.25,0,38.76,6.501,AS
23,0.24,291,51.88399999999999,0.433,0,39.346,6.2379999999999995,AS
24,0.25,338,51.976000000000006,0.439,0,40.897,6.165,AS
25,0.26,288,51.646,0.439,0,41.233000000000004,6.421,AS
26,0.27,295,51.608999999999995,0.501,0,42.643,6.457999999999999,AS
27,0.28,402,51.365,0.366,0,42.887,6.653,AS
28,0.29,385,51.31,0.415,0,43.54,6.733,AS
29,0.3,464,51.066,0.23199999999999998,0,40.286,7.056,AS
30,0.31,342,50.816,0.409,0,42.185,7.325,AS
31,0.32,238,51.292,0.293,0,43.398999999999994,6.867000000000001,AS
32,0.33,259,51.963,0.324,0,41.983000000000004,6.08,AS
33,0.34,274,52.067,0.354,0,43.961000000000006,5.903,AS
34,0.35,351,51.835,0.293,0,47.153,6.171,AS
35,0.36,288,51.371,0.305,0,48.648999999999994,6.598,AS
36,0.37,235,51.426,0.281,0,49.79,6.598,AS
37,0.38,299,51.652,0.214,0,45.933,6.292999999999999,AS
38,0.39,407,51.408,0.305,0,48.997,6.44,AS
39,0.4,414,50.797,0.25,0,50.73,7.252000000000001,AS
40,0.41,341,50.926,0.22,0,48.258,7.221,AS
41,0.42,271,51.248999999999995,0.11,0,39.493,6.867000000000001,AS
42,0.43,237,51.567,0.171,0,41.275,6.292999999999999,AS
43,0.44,316,51.713,0.153,0,47.873999999999995,6.196000000000001,AS
44,0.45,266,51.676,0.226,0,44.223,6.415,AS
45,0.46,206,51.597,0.23199999999999998,0,44.809,6.336,AS
46,0.47,143,52.433,0.165,0,44.931999999999995,5.524,AS
47,0.48,206,52.33,0.171,0,48.563,5.5120000000000005,AS
48,0.49,253,52.293,0.165,0,51.567,5.494,AS
49,0.5,181,51.982,0.22,0,53.025,5.7989999999999995,AS
50,0.51,220,51.835,0.165,0,51.608999999999995,5.9639999999999995,AS
51,0.52,265,52.195,0.214,0,53.813,5.622000000000001,AS
52,0.53,246,51.81100000000001,0.122,0,49.723,5.909,AS
53,0.54,237,51.553999999999995,0.244,0,58.58,6.135,AS
54,0.55,175,51.731,0.42700000000000005,0,50.711999999999996,5.994,AS
55,0.56,302,52.11600000000001,0.214,0,50.663000000000004,5.561,AS
56,0.57,273,51.64,0.348,0,54.343999999999994,6.0,AS
57,0.58,277,51.365,0.226,0,49.24100000000001,6.275,AS
58,0.59,275,51.255,0.305,0,54.893,6.391,AS
59,0.6,289,51.303999999999995,0.23199999999999998,0,52.586000000000006,6.354,AS
60,0.61,298,51.486999999999995,0.201,0,54.881,6.055,AS
61,0.62,333,51.048,0.214,0,51.231,6.489,AS
62,0.63,243,51.103,0.256,0,48.196999999999996,6.5920000000000005,AS
63,0.64,268,51.321999999999996,0.122,0,47.251000000000005,6.1770000000000005,AS
64,0.65,303,51.408,0.079,0,49.357,6.232,AS
65,0.66,300,51.468999999999994,0.195,0,45.762,6.1160000000000005,AS
66,0.67,299,51.316,0.11,0,45.78,6.232,AS
67,0.68,297,51.335,0.079,0,47.458999999999996,6.324,AS
68,0.69,300,51.028999999999996,0.122,0,47.019,6.641,AS
69,0.7,326,51.2,0.018000000000000002,0,48.501999999999995,6.324,AS
70,0.71,377,51.193999999999996,0.128,0,46.775,6.452000000000001,AS
71,0.72,309,50.888999999999996,0.122,0,42.636,6.763,AS
72,0.73,300,51.126999999999995,0.159,0,42.246,6.501,AS
73,0.74,359,51.2,0.10400000000000001,0,43.07,6.415,AS
74,0.75,399,50.998999999999995,0.165,0,41.953,6.641,AS
75,0.76,399,50.547,0.092,0,40.293,7.148,AS
76,0.77,413,50.59,0.171,0,41.3,7.215,AS
77,0.78,376,49.723,0.073,0,40.317,7.148,AS
78,0.79,331,49.845,0.201,0,40.5,7.447,AS
79,0.8,302,49.656000000000006,0.195,0,40.561,6.872999999999999,AS
80,0.81,386,50.95,0.122,0,39.865,6.849,AS
81,0.82,376,50.547,0.153,0,40.274,7.16,AS
82,0.83,422,49.387,0.256,0,41.129,7.117000000000001,AS
83,0.84,450,50.242,0.067,0,39.249,7.122999999999999,AS
84,0.85,423,50.395,0.122,0,38.351,7.587000000000001,AS
85,0.86,468,50.157,0.171,0,39.736999999999995,7.648,AS
86,0.87,452,49.577,0.134,0,37.82,8.008,AS
87,0.88,498,47.581,0.134,0,37.295,8.155,AS
88,0.89,505,45.933,0.11,0,37.918,8.375,AS
89,0.9,526,46.525,0.159,0,38.242,8.338,AS
90,0.91,611,46.67100000000001,0.195,0,37.375,8.503,AS
91,0.92,567,47.379,0.159,0,36.667,8.765,AS
92,0.93,548,48.623999999999995,0.128,0,35.574,9.052,AS
93,0.94,549,49.174,0.134,0,35.666,9.138,AS
94,0.95,562,49.247,0.128,0,37.118,9.101,AS
