,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,7.0,26.4,0.501,0.0,36.874,0.0,L
1,0.04,181.0,49.644,0.501,0.0,41.825,0.0,L
2,0.06,179.0,49.888000000000005,0.519,0.0,42.556999999999995,0.0,L
3,0.08,167.0,48.832,0.507,0.0,43.015,0.0,L
4,0.1,30.0,39.847,0.507,0.0,42.178999999999995,0.0,L
5,0.12,54.0,43.705,0.519,0.0,41.629,0.0,L
6,0.14,66.0,43.692,0.507,0.0,41.983000000000004,0.0,L
7,0.16,61.0,43.753,0.507,0.0,42.606,0.0,L
8,0.18,61.0,43.283,0.494,0.0,42.972,0.0,L
9,0.2,40.0,42.185,0.494,0.0,42.856,0.0,L
10,0.22,40.0,43.033,0.501,0.0,43.003,0.0,L
11,0.24,64.0,43.338,0.507,0.0,43.863,0.0,L
12,0.26,60.0,43.497,0.507,0.0,44.486000000000004,0.0,L
13,0.28,61.0,43.387,0.501,0.0,44.871,0.0,L
14,0.3,52.0,42.983999999999995,0.494,0.0,46.268,0.0,MC
15,0.32,9.0,35.995,0.501,0.0,43.308,0.0,MC
16,0.34,43.0,42.453,0.507,0.0,44.053000000000004,0.0,MC
17,0.36,42.0,42.343,0.494,0.0,44.327,0.0,MC
18,0.38,33.0,42.496,0.501,0.0,43.808,0.0,MC
19,0.4,37.0,42.038000000000004,0.501,0.0,43.167,0.0,MC
20,0.42,33.0,42.032,0.519,0.0,42.82,0.0,MC
21,0.44,5.0,27.029,0.507,0.0,36.501999999999995,0.0,MC
22,0.46,66.0,54.57,0.519,0.0,43.57,0.0,MC
23,0.48,65.0,54.648999999999994,0.525,0.0,43.387,0.0,MC
24,0.5,71.0,54.405,0.531,0.0,43.082,0.0,MC
25,0.52,57.0,54.661,0.525,0.0,42.806999999999995,0.0,MC
26,0.54,62.0,54.50899999999999,0.519,0.0,43.131,0.0,MC
27,0.56,65.0,54.338,0.507,0.0,43.839,0.0,MC
28,0.58,63.0,54.49,0.525,0.0,43.222,0.0,MC
29,0.6,64.0,54.387,0.507,0.0,43.106,0.0,MC
30,0.62,59.0,54.448,0.531,0.0,43.68,0.0,MC
31,0.64,64.0,54.343999999999994,0.507,0.0,43.229,0.0,MC
32,0.66,58.0,54.428999999999995,0.507,0.0,44.364,0.0,MC
33,0.68,57.0,54.497,0.507,0.0,43.442,0.0,MC
34,0.7,65.0,54.306999999999995,0.507,0.0,43.32,0.0,MC
35,0.72,61.0,54.326,0.507,0.0,44.022,0.0,MC
36,0.74,70.0,54.251999999999995,0.501,0.0,43.56399999999999,0.0,MC
37,0.76,71.0,54.20399999999999,0.507,0.0,43.357,0.0,MC
38,0.78,64.0,54.332,0.519,0.0,42.923,0.0,MC
39,0.8,72.0,54.185,0.507,0.0,42.593999999999994,0.0,MC
40,0.82,63.0,54.301,0.507,0.0,42.777,0.0,MC
41,0.84,66.0,54.373999999999995,0.501,0.0,42.881,0.0,MC
42,0.86,71.0,54.21,0.519,0.0,43.65,0.0,MC
43,0.88,61.0,54.251999999999995,0.507,0.0,43.808,0.0,MC
44,0.9,67.0,54.155,0.525,0.0,43.29600000000001,0.0,MC
45,0.92,59.0,54.295,0.501,0.0,44.528999999999996,0.0,MC
46,0.94,58.0,54.356,0.525,0.0,44.761,0.0,MC
47,0.96,43.0,54.50899999999999,0.519,0.0,44.852,0.0,MC
48,0.98,15.0,55.162,0.519,0.0,48.045,0.0,MC
49,1.0,26.0,54.918,0.525,0.0,48.771,0.0,MC
50,1.02,18.0,55.015,0.525,0.0,48.893,0.0,MC
51,1.04,21.0,54.95399999999999,0.525,0.0,49.06399999999999,0.0,MC
52,1.06,38.0,54.648999999999994,0.525,0.0,49.003,0.0,MC
53,1.08,24.0,54.857,0.519,0.0,46.879,0.0,MC
54,1.1,21.0,54.905,0.531,0.0,48.068999999999996,0.0,MC
55,1.12,38.0,54.558,0.531,0.0,47.715,0.0,MC
56,1.14,44.0,54.428999999999995,0.519,0.0,44.974,0.0,MC
57,1.16,30.0,54.674,0.519,0.0,46.433,0.0,MC
58,1.18,29.0,54.667,0.507,0.0,46.805,0.0,MC
59,1.2,22.0,54.826,0.507,0.0,46.769,0.0,MC
60,1.22,33.0,54.588,0.507,0.0,46.604,0.0,MC
61,1.24,48.0,54.283,0.507,0.0,44.846000000000004,0.0,MC
62,1.26,49.0,53.911,0.519,0.0,44.053000000000004,0.0,MC
63,1.28,49.0,53.898,0.525,0.0,46.787,0.0,MC
64,1.3,59.0,53.685,0.525,0.0,46.42100000000001,0.0,MC
65,1.32,56.0,53.746,0.525,0.0,45.88399999999999,0.0,MC
66,1.34,67.0,53.477,0.531,0.0,45.358999999999995,0.0,MC
67,1.36,55.0,53.691,0.519,0.0,45.341,0.0,MC
68,1.38,52.0,53.782,0.531,0.0,44.419,0.0,MC
69,1.4,48.0,53.911,0.531,0.0,47.312,0.0,MC
70,1.42,52.0,53.825,0.531,0.0,45.57899999999999,0.0,MC
71,1.44,62.0,53.568999999999996,0.525,0.0,44.602,0.0,MC
72,1.46,49.0,53.782,0.531,0.0,45.511,0.0,MC
73,1.48,49.0,53.813,0.519,0.0,45.278999999999996,0.0,MC
74,1.5,62.0,53.653999999999996,0.519,0.0,46.152,0.0,MC
75,1.52,55.0,53.776,0.519,0.0,44.48,0.0,MC
76,1.54,53.0,53.715,0.519,0.0,45.456,0.0,MC
77,1.56,57.0,53.636,0.501,0.0,46.183,0.0,MC
78,1.58,42.0,53.941,0.519,0.0,46.218999999999994,0.0,MC
79,1.6,61.0,53.623999999999995,0.531,0.0,45.523999999999994,0.0,MC
80,1.62,51.0,53.691,0.525,0.0,43.65,0.0,MC
81,1.64,60.0,53.63,0.525,0.0,45.817,0.0,MC
82,1.66,59.0,53.513999999999996,0.531,0.0,44.871,0.0,MC
83,1.68,59.0,53.593,0.531,0.0,44.077,0.0,MC
84,1.7,61.0,53.458999999999996,0.525,0.0,44.535,0.0,MC
85,1.72,39.0,53.903999999999996,0.537,0.0,46.11600000000001,0.0,MC
86,1.74,42.0,53.873999999999995,0.537,0.0,47.318000000000005,0.0,MC
87,1.76,43.0,53.813,0.537,0.0,46.25,0.0,MC
88,1.78,28.0,54.111999999999995,0.537,0.0,47.923,0.0,MC
89,1.8,27.0,54.093999999999994,0.537,0.0,48.527,0.0,MC
90,1.82,36.0,53.99,0.525,0.0,47.349,0.0,MC
91,1.84,52.0,53.538000000000004,0.519,0.0,46.592,0.0,MC
92,1.86,63.0,53.349,0.537,0.0,47.367,0.0,MC
93,1.88,43.0,53.696999999999996,0.537,0.0,46.342,0.0,MC
94,1.9,50.0,53.544,0.531,0.0,46.982,0.0,MC
95,1.92,52.0,53.52,0.525,0.0,45.762,0.0,MC
96,1.94,45.0,53.636,0.531,0.0,45.523999999999994,0.0,MC
97,1.96,39.0,53.776,0.531,0.0,47.843,0.0,MC
98,1.98,38.0,53.806999999999995,0.525,0.0,45.823,0.0,MC
99,2.0,46.0,53.666000000000004,0.525,0.0,46.586000000000006,0.0,MC
100,2.02,49.0,53.599,0.525,0.0,45.278999999999996,0.0,MC
