,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.02,67,51.696999999999996,0,0,27.38,4.769,L
1,0.04,26,52.056000000000004,0,0,26.456999999999997,3.7039999999999997,L
2,0.06,99,50.998999999999995,0,0,25.789,3.159,L
3,0.08,43,51.895,0,0,27.987,2.987,L
4,0.1,16,52.178000000000004,0,0,27.003,2.56,L
5,0.12,38,52.178000000000004,0,0,24.331999999999997,2.258,L
6,0.14,54,51.007,0,0,24.473000000000003,2.22,L
7,0.16,108,50.976000000000006,0,0,24.427,2.2319999999999998,L
8,0.18,58,51.071000000000005,0,0,25.393,2.255,L
9,0.2,98,51.163000000000004,0,0,26.133000000000003,2.239,L
10,0.22,59,51.125,0,0,26.819000000000003,2.22,L
11,0.24,92,51.068000000000005,0,0,26.228,2.205,L
12,0.26,83,50.998999999999995,0,0,24.801,2.213,L
13,0.28,86,50.881,0,0,23.737,2.186,L
14,0.3,129,50.861999999999995,0,0,23.71,2.194,L
15,0.32,73,50.865,0,0,24.553,2.201,L
16,0.34,161,50.865,0,0,24.435,2.1590000000000003,L
17,0.36,79,50.846000000000004,0,0,24.778000000000002,2.197,L
18,0.38,97,50.88399999999999,0,0,23.748,2.22,L
19,0.4,70,50.873000000000005,0,0,24.252,2.213,L
20,0.42,124,50.854,0,0,24.485,2.217,L
21,0.44,85,50.876999999999995,0,0,23.355,2.213,L
22,0.46,83,50.934,0,0,23.848000000000003,2.239,L
23,0.48,103,50.934,0,0,24.29,2.224,L
24,0.5,70,50.923,0,0,24.569000000000003,2.239,C
25,0.52,127,50.88399999999999,0,0,24.778000000000002,2.217,C
26,0.54,36,51.586000000000006,0,0,26.461,2.201,C
27,0.56,176,50.9,0,0,24.491999999999997,2.155,C
28,0.58,67,50.953,0,0,26.365,2.167,C
29,0.6,72,51.049,0,0,27.38,2.148,C
30,0.62,77,51.239,0,0,28.49,2.155,C
31,0.64,27,51.398999999999994,0,0,28.807,2.117,C
32,0.66,66,51.331,0,0,29.517,2.079,C
33,0.68,45,51.281000000000006,0,0,28.986,2.049,C
34,0.7,108,51.208999999999996,0,0,27.403000000000002,2.03,C
35,0.72,45,51.14,0,0,25.11,2.022,C
36,0.74,123,51.093999999999994,0,0,25.267,2.022,C
37,0.76,35,51.303999999999995,0,0,27.346,2.0140000000000002,C
38,0.78,53,51.486999999999995,0,0,27.258000000000003,1.976,C
39,0.8,47,51.303999999999995,0,0,27.116999999999997,1.976,C
40,0.82,28,51.495,0,0,27.17,1.953,C
41,0.84,58,51.56,0,0,27.186,1.9380000000000002,C
42,0.86,21,51.525,0,0,25.656,1.8730000000000002,C
43,0.88,47,52.269,0,0,28.078000000000003,1.824,C
44,0.9,9,53.856,0,0,26.362,1.801,C
45,0.92,27,53.83,0,0,26.19,1.7590000000000001,C
46,0.94,11,53.78,0,0,25.999000000000002,1.736,C
47,0.96,28,53.718999999999994,0,0,26.896,1.7209999999999999,C
48,0.98,16,53.715,0,0,27.403000000000002,1.705,C
49,1.0,27,53.662,0,0,26.674,1.686,C
50,1.02,33,53.555,0,0,26.999000000000002,1.682,C
51,1.04,31,53.379,0,0,26.98,1.671,C
52,1.06,24,53.795,0,0,23.539,1.679,C
53,1.08,9,53.723,0,0,25.491999999999997,1.614,C
54,1.1,21,53.738,0,0,26.842,1.614,C
55,1.12,12,53.658,0,0,27.365,1.5759999999999998,C
56,1.14,46,53.276,0,0,33.4,3.96,C
57,1.16,47,53.475,0,0,33.305,3.346,C
58,1.18,7,53.498000000000005,0,0,29.116,2.354,C
59,1.2,7,53.437,0,0,29.07,1.824,C
60,1.22,8,53.357,0,0,28.601,1.671,C
61,1.24,9,53.326,0,0,31.02,1.595,C
62,1.26,11,53.372,0,0,27.319000000000003,1.5719999999999998,C
63,1.28,9,53.345,0,0,28.791999999999998,1.534,C
64,1.3,11,53.341,0,0,28.353,1.507,C
65,1.32,8,53.25,0,0,29.031999999999996,1.476,C
66,1.34,12,53.269,0,0,29.596999999999998,1.48,C
67,1.36,10,53.227,0,0,29.383000000000003,1.476,C
68,1.38,8,53.242,0,0,27.247,1.4380000000000002,C
69,1.4,9,53.208,0,0,27.708000000000002,1.4380000000000002,C
70,1.42,12,53.097,0,0,32.34,1.4340000000000002,C
71,1.44,9,53.097,0,0,26.811999999999998,1.4340000000000002,C
72,1.46,6,53.11600000000001,0,0,28.230999999999998,1.4380000000000002,C
73,1.48,11,53.051,0,0,28.886999999999997,1.4340000000000002,C
74,1.5,6,52.971000000000004,0,0,28.01,1.4380000000000002,C
75,1.52,10,52.937,0,0,27.761999999999997,1.454,C
76,1.54,10,52.868,0,0,30.188000000000002,1.454,C
77,1.56,12,52.895,0,0,28.918000000000003,1.469,C
78,1.58,11,52.861000000000004,0,0,27.991,1.473,C
79,1.6,28,52.578,0,0,30.355999999999998,1.4880000000000002,C
80,1.62,57,52.468,0,0,32.263000000000005,1.495,C
81,1.64,12,52.742,0,0,29.559,1.476,C
82,1.66,22,52.731,0,0,32.79,1.469,C
83,1.68,10,52.685,0,0,34.728,1.48,C
84,1.7,29,52.597,0,0,29.340999999999998,1.4880000000000002,C
85,1.72,9,52.708,0,0,30.451,1.4880000000000002,C
86,1.74,16,52.632,0,0,31.916,1.499,C
87,1.76,18,52.575,0,0,30.886,1.507,C
88,1.78,15,52.597,0,0,30.366999999999997,1.518,C
89,1.8,18,52.578,0,0,32.256,1.515,C
90,1.82,13,52.525,0,0,33.183,1.511,C
91,1.84,37,52.327,0,0,34.201,1.534,C
92,1.86,16,52.479,0,0,32.664,1.518,C
93,1.88,16,52.563,0,0,29.833000000000002,1.545,C
94,1.9,17,52.516999999999996,0,0,33.885,1.537,C
95,1.92,10,52.559,0,0,30.15,1.534,C
96,1.94,14,52.468,0,0,33.61,1.526,C
97,1.96,9,52.54,0,0,28.601,1.515,C
98,1.98,15,52.54,0,0,29.226999999999997,1.499,C
99,2.0,15,52.372,0,0,32.778,1.511,C
100,2.02,28,52.346000000000004,0,0,29.73,1.53,C
101,2.04,8,52.46,0,0,28.689,1.518,C
102,2.06,15,52.464,0,0,28.326,1.53,C
103,2.08,7,52.475,0,0,29.04,1.537,C
104,2.1,14,52.43,0,0,28.276999999999997,1.534,C
105,2.12,11,52.43,0,0,28.070999999999998,1.557,C
106,2.14,7,52.398999999999994,0,0,28.143,1.557,C
107,2.16,23,52.315,0,0,28.535999999999998,1.53,C
108,2.18,6,52.29600000000001,0,0,27.895,1.5490000000000002,C
109,2.2,16,52.346000000000004,0,0,28.345,1.5490000000000002,C
110,2.22,7,52.346000000000004,0,0,28.136,1.526,C
111,2.24,15,52.292,0,0,28.029,1.5530000000000002,C
112,2.26,8,52.231,0,0,29.517,1.545,C
113,2.28,15,52.25,0,0,28.395,1.537,C
114,2.3,11,52.159,0,0,29.719,1.5530000000000002,C
115,2.32,10,52.136,0,0,29.07,1.557,C
116,2.34,15,52.063,0,0,27.468000000000004,1.564,C
117,2.36,15,52.025,0,0,29.226999999999997,1.5719999999999998,C
118,2.38,28,52.01,0,0,26.869,1.5830000000000002,C
119,2.4,8,52.063,0,0,25.549,1.568,C
120,2.42,15,51.888000000000005,0,0,25.179000000000002,1.5719999999999998,C
121,2.44,7,51.99100000000001,0,0,25.846999999999998,1.6019999999999999,C
122,2.46,14,51.979,0,0,25.129,1.5830000000000002,C
123,2.48,7,51.953,0,0,24.824,1.6059999999999999,C
124,2.5,9,52.346000000000004,0,0,25.736,1.595,C
125,2.52,21,52.369,0,0,22.718000000000004,1.64,C
126,2.54,28,51.674,0,0,27.647,1.66,C
127,2.56,22,51.93,0,0,23.26,1.66,C
128,2.58,6,52.025,0,0,26.671,1.629,C
129,2.6,23,52.044,0,0,29.7,1.6480000000000001,C
130,2.62,11,51.934,0,0,28.49,1.625,C
131,2.64,16,52.021,0,0,26.247,1.64,C
132,2.66,11,51.979,0,0,26.541,1.629,C
133,2.68,105,50.797,0,0,24.991999999999997,4.177,C
134,2.7,12,51.678000000000004,0,0,28.769000000000002,3.4139999999999997,C
135,2.72,16,51.85,0,0,29.089000000000002,2.617,C
136,2.74,8,51.827,0,0,27.785,2.182,C
137,2.76,15,51.818999999999996,0,0,29.459,1.969,C
138,2.78,11,51.812,0,0,29.726,1.8730000000000002,C
139,2.8,11,51.792,0,0,29.059,1.8119999999999998,C
140,2.82,11,51.815,0,0,28.868000000000002,1.7590000000000001,C
141,2.84,12,51.77,0,0,30.89,1.724,C
142,2.86,13,51.777,0,0,29.078000000000003,1.7280000000000002,C
143,2.88,10,51.724,0,0,28.67,1.709,C
144,2.9,15,51.681999999999995,0,0,28.791999999999998,1.686,C
145,2.92,10,51.701,0,0,28.921999999999997,1.6980000000000002,C
146,2.94,15,51.655,0,0,31.1,1.6980000000000002,C
147,2.96,9,51.647,0,0,29.795,1.6980000000000002,C
148,2.98,12,51.659,0,0,29.063000000000002,1.69,C
149,3.0,13,51.636,0,0,29.513,1.69,C
150,3.02,9,51.621,0,0,27.739,1.682,C
151,3.04,15,51.621,0,0,29.803,1.686,C
152,3.06,9,51.544,0,0,29.021,1.705,C
153,3.08,12,51.544,0,0,27.27,1.7169999999999999,C
154,3.1,9,51.513999999999996,0,0,29.822,1.6980000000000002,C
155,3.12,22,51.522,0,0,28.776999999999997,1.679,C
156,3.14,10,51.541000000000004,0,0,29.093000000000004,1.682,C
157,3.16,6,51.544,0,0,26.755,1.69,C
158,3.18,17,51.453,0,0,28.078000000000003,1.682,C
159,3.2,8,51.464,0,0,28.096999999999998,1.6980000000000002,C
160,3.22,7,51.449,0,0,27.43,1.7169999999999999,C
161,3.24,7,51.434,0,0,27.514,1.709,C
162,3.26,13,51.453,0,0,29.169,1.682,C
163,3.28,7,51.38,0,0,28.756999999999998,1.7009999999999998,C
164,3.3,12,51.398999999999994,0,0,28.044,1.705,C
165,3.32,7,51.331,0,0,27.555999999999997,1.686,C
166,3.34,12,51.293,0,0,29.261,1.7169999999999999,C
167,3.36,10,51.312,0,0,27.499000000000002,1.7169999999999999,C
168,3.38,7,51.293,0,0,25.811999999999998,1.7209999999999999,C
169,3.4,13,51.266000000000005,0,0,26.705,1.705,C
170,3.42,6,51.262,0,0,27.128,1.7209999999999999,C
